mineral_name,rruff,ima
Hydrobiotite,"K(Mg,Fe^2+^)_6_(Si,Al)_8_O_20_(OH)_4_·nH_2_O","K(Mg,Fe^2+^)_6_(Si,Al)_8_O_20_(OH)_4_·nH_2_O"
Hydrohonessite,"(Ni^2+^_1-x_Fe^3+^_x_)(S^6+^O_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)","(Ni_1-x_Fe^3+^_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"
Hydrowoodwardite,"(Cu^2+^_1-x_Al_x_)(S^6+^O_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)","(Cu_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"
Ikranite,"(Na,H_3_O)_15_(Ca,Mn^2+^,Ce^3+^)_6_Fe^3+^_2_Zr^4+^_3_Si_24_O_66_(O,OH)_6_Cl·nH_2_O","(Na,H_3_O)_15_(Ca,Mn,REE)_6_Fe^3+^_2_Zr_3_Si_24_O_66_(O,OH)_6_Cl·nH_2_O"
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(SO_4_)_x_·nH_2_O [x ≤ 1/3 n; ≤ (1-x)]
Jonesite,KBa_2_Ti^4+^_2_(Si_5_Al)O_18_·nH_2_O,KBa_2_Ti_2_(Si_5_Al)O_18_·nH_2_O
Kidwellite,NaFe^3+^_9+x_(PO_4_)_6_(OH)_11_·3H_2_O (x ≈ 1/3),NaFe^3+^_9+x_(PO_4_)_6_(OH)_11_·3H_2_O (x ≈ 0.33)
Kleinite,"Hg_2_N(Cl,SO_4_)·nH_2_O","(Hg_2_N)(Cl,SO_4_)·nH_2_O"
Kolovratite,"(Ni^2+^,Zn^2+^)_x_V^5+^O_4_·nH_2_O","(Ni,Zn)_x_(VO_4_)·nH_2_O"
Komarovite,"(Ca,Sr,Na)_6-x_(Nb^5+^,Ti^4+^)_6_(Si_4_O_12_)(O,OH,F)_16_·nH_2_O","(Ca,Sr,Na)_6-x_(Nb,Ti)_6_(Si_4_O_12_)(O,OH,F)_16_·nH_2_O"
Kotulskite,"Pd(Te,Bi)_2-x_ (x ≈ 0.4)","Pd(Te,Bi)_2-x_ (x ≈ 0.4)"
Lemmleinite-Ba,"Na_4_K_4_Ba_2+x_Ti^4+^_8_(Si_4_O_12_)_4_(O,OH)_8_·8H_2_O","Na_4_K_4_Ba_2+x_Ti_8_(Si_4_O_12_)_4_(OH,O)_8_·8H_2_O"
Lillianite,Pb_3-2x_Ag_x_Bi_2+x_S_6_,Pb_3-2x_Ag_x_Bi_2+x_S_6_
Mertieite-I,"Pd_5+x_(Sb,As)_2-x_ (x = 0.1-0.2)","Pd_5+x_(Sb,As)_2-x_ (x = 0.1-0.2)"
Meta-alunogen,Al_4_(SO_4_)_6_·27H_2_O,Al_2_(SO_4_)_3_·14H_2_O
Metauranocircite-I,Ba(UO_2_)_2_(PO_4_)_2_·8H_2_O,Ba(UO_2_)_2_(PO_4_)_2_·6H_2_O
Metahaiweeite,Ca(UO_2_)_2_Si_6_O_15_·nH_2_O,Ca(UO_2_)_2_Si_6_O_15_·nH_2_O
Metavandendriesscheite,PbU_7_O_22_·nH_2_O (n &lt; 12),PbU_7_O_22_·nH_2_O
Milarite,KCa_2_(Be_2_AlSi_12_O_30_)·xH_2_O,KCa_2_(Be_2_AlSi_12_)O_30_·H_2_O
Moganite,SiO_2_·nH_2_O,SiO_2_·nH_2_O
Montmorillonite,"(Na,Ca)_0.3_(Al,Mg)_2_Si_4_O_10_(OH)_2_·nH_2_O","(Na,Ca)_0.3_(Al,Mg)_2_Si_4_O_10_(OH)_2_·nH_2_O"
Moolooite,Cu^2+^(C_2_)^6+^O_4_·nH_2_O,Cu(C_2_O_4_)·nH_2_O
Mountkeithite,"(Mg_1-x_Fe^3+^_x_)(S^6+^O_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)","(Mg_1-x_Fe^3+^_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"
Mullite,Al_4+2x_Si_2-2x_O_10-x_ (x ≈ 0.4),Al_4+2x_Si_2-2x_O_10-x_ (x ≈ 0.4)
Nontronite,"Na_0.3_Fe^3+^_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O","Na_0.3_Fe^3+^_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O"
Nsutite,Mn^2+^_x_Mn^4+^_1-x_O_2-2x_(OH)_2x_,Mn^2+^_x_Mn^4+^_1-x_O_2-2x_(OH)_2x_
Opal,SiO_2_·<i>n</i>H_2_O,SiO_2_·<i>n</i>H_2_O
Orickite,CuFeS_2_·nH_2_O,CuFeS_2_·nH_2_O
Paraotwayite,"Ni^2+^(OH)_2-x_(S^6+^O_4_,C^4+^O_3_)_0.5x_","Ni(OH)_2-x_(SO_4_,CO_3_)_0.5x_"
Pitticite,Fe^3+^_x_(As^5+^O_4_)_y_(S^6+^O_4_)_z_·nH_2_O,"[Fe,AsO_4_,SO_4_,H_2_O] (?)"
Pollucite,Cs(Si_2_Al)O_6_·nH_2_O,Cs(Si_2_Al)O_6_·nH_2_O
Rathite,Ag_2_Pb_12-x_Tl_x/2_As_18+x/2_S_40_,Ag_2_Pb_12-x_Tl_x/2_As_18+x/2_S_40_
Richetite,"(Fe^3+^,Mg)_x_Pb^2+^_8.6_(UO_2_)_36_O_36_(OH)_24_·41H_2_O","(Fe^3+^,Mg)_x_Pb^2+^_8.6_(UO_2_)_36_O_36_(OH)_24_·41H_2_O"
Roggianite,Ca_2_BeAl_2_Si_4_O_13_(OH)_2_·nH_2_O (n &lt; 2.5),Ca_2_BeAl_2_Si_4_O_13_(OH)_2_·nH_2_O (n &lt; 2.5)
Rosieresite,Pb_x_Cu_y_Al_z_(PO_4_)_m_·nH_2_O,"[Pb,Cu,Al,PO_4_,H_2_O] (?)"
Sacrofanite,"(Na,Ca)_9_(Si,Al)_12_O_24_(OH,SO_4_,CO_3_,Cl)_4_·nH_2_O",(Na_61_K_19_Ca_32_)_Σ=112_(Si_84_Al_84_O_336_)(SO_4_)_26_Cl_2_F_6_·2H_2_O
Shafranovskite,"Na_3_K_2_(Mn^2+^,Fe^3+^,Na)_4_[Si_9_(O,OH)_27_](OH)_2_·nH_2_O","Na_3_K_2_(Mn,Fe,Na)_4_[Si_9_(O,OH)_27_](OH)_2_·nH_2_O"
Stevensite,"(Ca,Na)_x_Mg_3-y_Si_4_O_10_(OH)_2_","(Ca,Na)_x_Mg_3-y_Si_4_O_10_(OH)_2_"
Stilpnomelane,"(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_·nH_2_O","(K,Ca,Na)(Fe,Mg,Al)_8_(Si,Al)_12_(O,OH)_36_·nH_2_O"
Swamboite-(Nd),Nd^3+^_0.333_[(U^6+^O_2_)(SiO_3_OH)](H_2_O)_~2.5_,Nd_0.333_[(UO_2_)(SiO_3_OH)](H_2_O)_~2.5_
Swinefordite,"Ca_0.2_(Li,Al,Mg,Fe^3+^,Fe^2+^)_3_(Si,Al)_4_O_10_(OH,F)_2_·nH_2_O","Ca_0.2_(Li,Al,Mg,Fe)_3_(Si,Al)_4_O_10_(OH,F)_2_·nH_2_O"
Takanelite,"(Mn^2+^,Ca)_2x_Mn^4+^_1-x_O_2_·0.7H_2_O","(Mn^2+^,Ca)_2x_(Mn^4+^)_1-x_O_2_·0.7H_2_O"
Tamaite,"(Ca,K,Na)_x_Mn^2+^_6_(Si,Al)_10_O_24_(OH)_4_·nH_2_O (x = 1-2; n = 7-11)","(Ca,K,Na)_x_Mn_6_(Si,Al)_10_O_24_(OH)_4_·nH_2_O (x = 1-2; n = 7-11)"
Titantaramellite,"Ba_4_(Ti^4+^,Fe^3+^,Mg)_4_(O,OH)_2_[B_2_Si_8_O_27_]Cl_x_","Ba_4_(Ti,Fe^3+^,Mg)_4_(O,OH)_2_[B_2_Si_8_O_27_]Cl_x_"
Tobermorite,Ca_5_Si_6_O_16_(OH)_2_·nH_2_O,Ca_4_Si_6_O_17_(H_2_O)_2_·(Ca·3H_2_O)
Todorokite,"(Na,Ca,K,Ba,Sr)_1-x_(Mn^4+^,Mn^3+^,Mg,Al)_6_O_12_·3-4H_2_O","(Na,Ca,K,Ba,Sr)_1-x_(Mn,Mg,Al)_6_O_12_·3-4H_2_O"
