mineral_name,element,ima_count,rruff_count,ima,rruff
Aluminocerite-(Ce),Ce,3,4.5,"(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_","(Ce,Ca)_9_Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_"
Alumohydrocalcite,H,12,10,CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O,CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O
Alumohydrocalcite,O,14,13,CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O,CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O
Andersonite,H,71,11,Na_2_Ca(UO_2_)(CO_3_)_3_·5-66H_2_O,Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O
Andersonite,O,46.5,16.5,Na_2_Ca(UO_2_)(CO_3_)_3_·5-66H_2_O,Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O
Ankerite,Fe,0.5,1,"Ca(Fe^2+^,Mg)(CO_3_)_2_",CaFe^2+^(CO_3_)_2_
Augite,Si,2,1,"(Ca,Mg,Fe)_2_Si_2_O_6_","(Ca,Mg,Fe^2+^,Fe^3+^)_2_(Si,Al)_2_O_6_"
Aurichalcite,Zn,2.5,5,"(Zn,Cu)_5_(CO_3_)_2_(OH)_6_",Zn^2+^_5_(CO_3_)_2_(OH)_6_
Babkinite,S,1.5,3,"Pb_2_Bi_2_(S,Se)_3_",Pb_2_Bi_2_S_3_
Baghdadite,Ca,6,3,Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_,Ca_3_Zr^4+^(Si_2_O_7_)O_2_
Baghdadite,O,18,9,Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_,Ca_3_Zr^4+^(Si_2_O_7_)O_2_
Baghdadite,Si,4,2,Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_,Ca_3_Zr^4+^(Si_2_O_7_)O_2_
Baghdadite,Zr,2,1,Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_,Ca_3_Zr^4+^(Si_2_O_7_)O_2_
Baileychlore,Al,3.5,2,"(Zn,Fe^2+^,Al,Mg)_6_(Si,Al)_4_O_10_(OH)_8_",Zn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_
Baileychlore,Si,2,3,"(Zn,Fe^2+^,Al,Mg)_6_(Si,Al)_4_O_10_(OH)_8_",Zn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_
Baileychlore,Zn,1.5,5,"(Zn,Fe^2+^,Al,Mg)_6_(Si,Al)_4_O_10_(OH)_8_",Zn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_
Bambollaite,Se,1,2,"Cu(Se,Te)_2_",CuSe_2_
Baricite,Mg,1.5,3,"(Mg,Fe)_3_(PO_4_)_2_·8H_2_O",Mg_3_(PO_4_)_2_·8H_2_O
Barringerite,Fe,1,2,"(Fe,Ni)_2_P",Fe_2_P
Batisivite,V,4,8,"BaTi_6_(V,Cr)_8_(Si_2_O_7_)O_22_",BaTi^4+^_6_V^3+^_8_Si_2_O_29_
Burpalite,Ca,2,1,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Burpalite,F,4,2,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Burpalite,Na,4,2,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Burpalite,O,14,7,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Burpalite,Si,4,2,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Burpalite,Zr,2,1,Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_,Na_2_CaZr^4+^(Si_2_O_7_)F_2_
Bussyite-(Ce),Ce,1.5,3,"(Ce,REE)_3_(Na,H_2_O)_6_MnSi_9_Be_5_(O,OH)_30_F_4_","(Na,H_2_O)_6_Ce^3+^_3_Be_5_Mn^2+^Si_9_(O,OH)_30_F_4_"
Calciocatapleiite,H,4,2,CaZrSi_3_O_9_·2H_2_O,CaZr^4+^Si_3_O_9_·H_2_O
Calciocatapleiite,O,11,10,CaZrSi_3_O_9_·2H_2_O,CaZr^4+^Si_3_O_9_·H_2_O
Calciosamarskite,Nb,0.333333333333333,0.25,"(Ca,Fe,Y)(Nb,Ta,Ti)O_4_","(Ca,Fe^3+^,Fe^2+^,Y^3+^)(Nb^5+^Ta^5+^,Ti^4+^)O_4_"
Calciosamarskite,Ta,0.333333333333333,0.25,"(Ca,Fe,Y)(Nb,Ta,Ti)O_4_","(Ca,Fe^3+^,Fe^2+^,Y^3+^)(Nb^5+^Ta^5+^,Ti^4+^)O_4_"
Calciosamarskite,Ti,0.333333333333333,0.5,"(Ca,Fe,Y)(Nb,Ta,Ti)O_4_","(Ca,Fe^3+^,Fe^2+^,Y^3+^)(Nb^5+^Ta^5+^,Ti^4+^)O_4_"
Calcjarlite,Al,12,3,"Na_2_(Ca,[box])_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_",NaCa_3_Al_3_F_16_
Calcjarlite,Ca,14,3,"Na_2_(Ca,[box])_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_",NaCa_3_Al_3_F_16_
Calcjarlite,F,64,16,"Na_2_(Ca,[box])_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_",NaCa_3_Al_3_F_16_
Calcjarlite,Na,2,1,"Na_2_(Ca,[box])_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_",NaCa_3_Al_3_F_16_
Chamosite,Al,4,2,"(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_",Fe^2+^_5_Al(AlSi_3_)O_10_(OH)_8_
Chamosite,Fe,2,5,"(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_",Fe^2+^_5_Al(AlSi_3_)O_10_(OH)_8_
Chamosite,H,2,8,"(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_",Fe^2+^_5_Al(AlSi_3_)O_10_(OH)_8_
Chamosite,O,16,18,"(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_",Fe^2+^_5_Al(AlSi_3_)O_10_(OH)_8_
Chamosite,Si,2,3,"(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_",Fe^2+^_5_Al(AlSi_3_)O_10_(OH)_8_
Chirvinskyite,Ca,6.5,5,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,Fe,1,2,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,H,2,6,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,Na,6.5,8,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,O,34,40,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,Ti,3.5,2,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Chirvinskyite,Zr,1.5,3,"(Na,Ca)_13_(Fe,Mn,[box])_2_Ti_2_(Zr,Ti)_3_(Si_2_O_7_)_4_(OH,O,F)_12_",(Na_8_Ca_5_)Fe^2+^_2_Ti^4+^_2_Zr^4+^_3_(Si_2_O_7_)_4_O_6_(OH)_6_
Christelite,O,18,10,Zn_3_Cu_2_(SO_4_)_2_(OH)_6_·4H_2_O,Zn^2+^_3_Cu^2+^_2_(S^6+^_4_)_2_(OH)_6_·4H_2_O
Christelite,S,2,8,Zn_3_Cu_2_(SO_4_)_2_(OH)_6_·4H_2_O,Zn^2+^_3_Cu^2+^_2_(S^6+^_4_)_2_(OH)_6_·4H_2_O
Clinoenstatite,Mg,2,1,Mg_2_Si_2_O_6_,MgSiO_3_
Clinoenstatite,O,6,3,Mg_2_Si_2_O_6_,MgSiO_3_
Clinoenstatite,Si,2,1,Mg_2_Si_2_O_6_,MgSiO_3_
Clinoferrosilite,Fe,2,1,Fe^2+^_2_Si_2_O_6_,Fe^2+^SiO_3_
Clinoferrosilite,O,6,3,Fe^2+^_2_Si_2_O_6_,Fe^2+^SiO_3_
Clinoferrosilite,Si,2,1,Fe^2+^_2_Si_2_O_6_,Fe^2+^SiO_3_
Combeite,Ca,3.5,2,Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_,Na_2_Ca_2_Si_3_O_9_
Combeite,Na,4.5,2,Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_,Na_2_Ca_2_Si_3_O_9_
Combeite,O,18,9,Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_,Na_2_Ca_2_Si_3_O_9_
Combeite,Si,6,3,Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_,Na_2_Ca_2_Si_3_O_9_
Cookeite,Al,5.5,5,"(Al,Li)_3_Al_2_(Si,Al)_4_O_10_(OH)_8_",LiAl_4_(Si_3_Al)O_10_(OH)_8_
Cookeite,Li,1.5,1,"(Al,Li)_3_Al_2_(Si,Al)_4_O_10_(OH)_8_",LiAl_4_(Si_3_Al)O_10_(OH)_8_
Cookeite,Si,2,3,"(Al,Li)_3_Al_2_(Si,Al)_4_O_10_(OH)_8_",LiAl_4_(Si_3_Al)O_10_(OH)_8_
Cuspidine,Ca,8,4,Ca_8_(Si_2_O_7_)_2_F_4_,Ca_4_(Si_2_O_7_)F_2_
Cuspidine,F,4,2,Ca_8_(Si_2_O_7_)_2_F_4_,Ca_4_(Si_2_O_7_)F_2_
Cuspidine,O,14,7,Ca_8_(Si_2_O_7_)_2_F_4_,Ca_4_(Si_2_O_7_)F_2_
Cuspidine,Si,4,2,Ca_8_(Si_2_O_7_)_2_F_4_,Ca_4_(Si_2_O_7_)F_2_
Donpeacorite,Mg,1.5,1,"(Mn,Mg)MgSi_2_O_6_",Mn^2+^MgSi_2_O_6_
Donpeacorite,Mn,0.5,1,"(Mn,Mg)MgSi_2_O_6_",Mn^2+^MgSi_2_O_6_
Droninoite,Cl,2,1,Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Droninoite,Fe,2,1,Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Droninoite,H,24,12,Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Droninoite,Ni,6,3,Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Droninoite,O,20,10,Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Eltyubyuite,Ca,12,6,Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_,Ca_6_Fe^3+^_5_Si_2_O_16_Cl_3_
Eltyubyuite,Cl,6,3,Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_,Ca_6_Fe^3+^_5_Si_2_O_16_Cl_3_
Eltyubyuite,Fe,10,5,Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_,Ca_6_Fe^3+^_5_Si_2_O_16_Cl_3_
Eltyubyuite,O,32,16,Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_,Ca_6_Fe^3+^_5_Si_2_O_16_Cl_3_
Eltyubyuite,Si,4,2,Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_,Ca_6_Fe^3+^_5_Si_2_O_16_Cl_3_
Enstatite,Mg,2,1,Mg_2_Si_2_O_6_,MgSiO_3_
Enstatite,O,6,3,Mg_2_Si_2_O_6_,MgSiO_3_
Enstatite,Si,2,1,Mg_2_Si_2_O_6_,MgSiO_3_
Ferricopiapite,Fe,4.67,4.666666666666667,Fe^3+^_0.67_Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O,Fe^3+^_2/3_Fe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O
Ferrochiavennite,Be,3.66666666666666,2,"Ca_1-2_Fe[(Si,Al,Be)_5_Be_2_O_13_(OH)_2_]·2H_2_O",Ca_1-2_Fe^2+^Si_5_Be_2_O_13_(OH)_2_·2H_2_O
Ferrochiavennite,Si,1.66666666666666,5,"Ca_1-2_Fe[(Si,Al,Be)_5_Be_2_O_13_(OH)_2_]·2H_2_O",Ca_1-2_Fe^2+^Si_5_Be_2_O_13_(OH)_2_·2H_2_O
Galloplumbogummite,Al,0.999999999999999,1,"Pb(Ga,Al,Ge)_3_(PO_4_)_2_(OH)_6_","Pb(Ga,Al)_2_Ge(PO_4_)_2_(OH)_6_"
Galloplumbogummite,Ga,0.999999999999999,1,"Pb(Ga,Al,Ge)_3_(PO_4_)_2_(OH)_6_","Pb(Ga,Al)_2_Ge(PO_4_)_2_(OH)_6_"
Galloplumbogummite,Ge,0.999999999999999,1,"Pb(Ga,Al,Ge)_3_(PO_4_)_2_(OH)_6_","Pb(Ga,Al)_2_Ge(PO_4_)_2_(OH)_6_"
Garronite-Ca,Ca,3,2.5,Ca_3_(Al_6_Si_10_O_32_)·14H_2_O,NaCa_2.5_(Si_10_Al_6_)O_32_·14H_2_O
Georgbarsanovite,Mn,0.999999999999999,1.5,"Na_12_(Mn,Sr,REE)_3_Ca_6_Fe^2+^_3_Zr_3_NbSi_25_O_76_Cl_2_·H_2_O","Na_12_(Mn^2+^,Sr)_3_Ca_6_Fe^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_76_Cl_2_·H_2_O"
Georgbarsanovite,Sr,0.999999999999999,1.5,"Na_12_(Mn,Sr,REE)_3_Ca_6_Fe^2+^_3_Zr_3_NbSi_25_O_76_Cl_2_·H_2_O","Na_12_(Mn^2+^,Sr)_3_Ca_6_Fe^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_76_Cl_2_·H_2_O"
Gjerdingenite-Na,K,2,1,"K_2_Na(Nb,Ti)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O","(K,Na)_2_Na(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O"
Gjerdingenite-Na,Na,1,2,"K_2_Na(Nb,Ti)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O","(K,Na)_2_Na(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O"
Glaucodot,As,1,2,(Co_0.5_Fe_0.5_)AsS,Co^3+^Fe^3+^(AsS)^3-^_2_
Glaucodot,Co,0.5,1,(Co_0.5_Fe_0.5_)AsS,Co^3+^Fe^3+^(AsS)^3-^_2_
Glaucodot,Fe,0.5,1,(Co_0.5_Fe_0.5_)AsS,Co^3+^Fe^3+^(AsS)^3-^_2_
Glaucodot,S,1,2,(Co_0.5_Fe_0.5_)AsS,Co^3+^Fe^3+^(AsS)^3-^_2_
Grayite,Th,0.333333333333333,1,"(Th,Pb,Ca)(PO_4_)·H_2_O",Th^3+^PO_4_·H_2_O
Grossmanite,Ti,0.5,1,"Ca(Ti^3+^,Mg,Ti^4+^)AlSiO_6_",CaTi^3+^AlSiO_6_
Guettardite,As,7.04,1,Pb_8_(Sb_0.56_As_0.44_)_16_S_32_,PbSbAsS_4_
Guettardite,Pb,8,1,Pb_8_(Sb_0.56_As_0.44_)_16_S_32_,PbSbAsS_4_
Guettardite,S,32,4,Pb_8_(Sb_0.56_As_0.44_)_16_S_32_,PbSbAsS_4_
Guettardite,Sb,8.96,1,Pb_8_(Sb_0.56_As_0.44_)_16_S_32_,PbSbAsS_4_
Hannebachite,Ca,1,2,Ca(SO_3_)·0.5H_2_O,(CaS^4+^O_3_)_2_·H_2_O
Hannebachite,H,1,2,Ca(SO_3_)·0.5H_2_O,(CaS^4+^O_3_)_2_·H_2_O
Hannebachite,O,3.5,7,Ca(SO_3_)·0.5H_2_O,(CaS^4+^O_3_)_2_·H_2_O
Hannebachite,S,1,2,Ca(SO_3_)·0.5H_2_O,(CaS^4+^O_3_)_2_·H_2_O
Hematophanite,Cl,0.5,1,"Pb_4_Fe^3+^_3_O_8_(Cl,OH)",Pb^2+^_4_Fe^3+^_3_O_8_Cl^1-^
Hematophanite,O,8.25,8,"Pb_4_Fe^3+^_3_O_8_(Cl,OH)",Pb^2+^_4_Fe^3+^_3_O_8_Cl^1-^
Hielscherite,Ca,6,3,Ca_6_Si_2_[(SO_4_)_2_(SO_3_)_2_(OH)_12_]·22H_2_O,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O
Hielscherite,H,56,28,Ca_6_Si_2_[(SO_4_)_2_(SO_3_)_2_(OH)_12_]·22H_2_O,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O
Hielscherite,O,48,24,Ca_6_Si_2_[(SO_4_)_2_(SO_3_)_2_(OH)_12_]·22H_2_O,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O
Hielscherite,S,4,2,Ca_6_Si_2_[(SO_4_)_2_(SO_3_)_2_(OH)_12_]·22H_2_O,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O
Hielscherite,Si,2,1,Ca_6_Si_2_[(SO_4_)_2_(SO_3_)_2_(OH)_12_]·22H_2_O,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O
Hodrusite,Bi,12,6,Cu_8_Bi_12_S_22_,Cu_4_Bi_6_S_11_
Hodrusite,Cu,8,4,Cu_8_Bi_12_S_22_,Cu_4_Bi_6_S_11_
Hodrusite,S,22,11,Cu_8_Bi_12_S_22_,Cu_4_Bi_6_S_11_
Hydroxyapophyllite-(K),H,16.25,17,"KCa_4_Si_8_O_20_(OH,F)·8H_2_O",KCa_4_Si_8_O_20_(OH)·8H_2_O
Hydroxyapophyllite-(K),O,28.25,29,"KCa_4_Si_8_O_20_(OH,F)·8H_2_O",KCa_4_Si_8_O_20_(OH)·8H_2_O
Jagoite,Cl,6,3,"Pb_18_Fe^3+^_4_[Si_4_(Si,Fe^3+^)_6_][Pb_4_Si_16_(Si,Fe)_4_]O_82_Cl_6_","Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_"
Jagoite,Fe,9,4.5,"Pb_18_Fe^3+^_4_[Si_4_(Si,Fe^3+^)_6_][Pb_4_Si_16_(Si,Fe)_4_]O_82_Cl_6_","Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_"
Jagoite,O,82,41,"Pb_18_Fe^3+^_4_[Si_4_(Si,Fe^3+^)_6_][Pb_4_Si_16_(Si,Fe)_4_]O_82_Cl_6_","Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_"
Jagoite,Pb,22,11,"Pb_18_Fe^3+^_4_[Si_4_(Si,Fe^3+^)_6_][Pb_4_Si_16_(Si,Fe)_4_]O_82_Cl_6_","Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_"
Jagoite,Si,25,12.5,"Pb_18_Fe^3+^_4_[Si_4_(Si,Fe^3+^)_6_][Pb_4_Si_16_(Si,Fe)_4_]O_82_Cl_6_","Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_"
Juanite,Al,6.5,2,"Ca_10_(Mg,Fe^2+^)_4_(Si,Al)_13_(O,OH)_39_·4H_2_O (?)",Ca_10_Mg_4_Al_2_Si_11_O_39_·4H_2_O
Juanite,H,17.75,8,"Ca_10_(Mg,Fe^2+^)_4_(Si,Al)_13_(O,OH)_39_·4H_2_O (?)",Ca_10_Mg_4_Al_2_Si_11_O_39_·4H_2_O
Juanite,Mg,2,4,"Ca_10_(Mg,Fe^2+^)_4_(Si,Al)_13_(O,OH)_39_·4H_2_O (?)",Ca_10_Mg_4_Al_2_Si_11_O_39_·4H_2_O
Juanite,O,33.25,43,"Ca_10_(Mg,Fe^2+^)_4_(Si,Al)_13_(O,OH)_39_·4H_2_O (?)",Ca_10_Mg_4_Al_2_Si_11_O_39_·4H_2_O
Juanite,Si,6.5,11,"Ca_10_(Mg,Fe^2+^)_4_(Si,Al)_13_(O,OH)_39_·4H_2_O (?)",Ca_10_Mg_4_Al_2_Si_11_O_39_·4H_2_O
Killalaite,Ca,6.4,3.2,Ca_6.4_[H_0.6_Si_2_O_7_]_2_(OH)_2_,Ca_3.2_[H_0.6_Si_2_O_7_](OH)
Killalaite,H,3.2,1.6,Ca_6.4_[H_0.6_Si_2_O_7_]_2_(OH)_2_,Ca_3.2_[H_0.6_Si_2_O_7_](OH)
Killalaite,O,16,8,Ca_6.4_[H_0.6_Si_2_O_7_]_2_(OH)_2_,Ca_3.2_[H_0.6_Si_2_O_7_](OH)
Killalaite,Si,4,2,Ca_6.4_[H_0.6_Si_2_O_7_]_2_(OH)_2_,Ca_3.2_[H_0.6_Si_2_O_7_](OH)
Krieselite,O,4,6,Al_2_(GeO_4_)F_2_,Al_2_GeO_4_(OH)_2_
Kuannersuite-(Ce),Ba,3,6,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),Ce,1,2,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),Cl,0.5,1,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),F,0.5,1,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),Na,1,2,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),O,12,24,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuannersuite-(Ce),P,3,6,NaCeBa_3_(PO_4_)_3_F_0.5_Cl_0.5_,Na_2_Ce_2_Ba_6_(PO_4_)_6_FCl
Kuzmenkoite-Mn,H,15,24,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
Kuzmenkoite-Mn,K,2,4,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
Kuzmenkoite-Mn,Mn,1,2,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
