mineral_name,element,ima_count,rruff_count,ima,rruff
Aeschynite-(Y),Ca,0.25,0.333333333333333,"(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Th,0.25,0.333333333333333,"(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Y,0.25,0.333333333333333,"(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Afghanite,Na,11,22,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_",Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Albrechtschraufite,H,35,34,MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,O,39.5,39,MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Almarudite,Be,1.5,3,"K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_","K([box],Na)_2_Mn^2+^_2_(Be_3_Si_12_)O_30_"
Almarudite,Mn,0.666666666666666,2,"K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_","K([box],Na)_2_Mn^2+^_2_(Be_3_Si_12_)O_30_"
Aluminoceladonite,Mg,0.5,1,"K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_",KMgAlSi_4_O_10_(OH)_2_
Aluminocerite-(Ce),Al,0.5,1,"(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_","(Ce,Ca)_9_Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_"
Aluminocerite-(Ce),Ca,3,4.5,"(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_","(Ce,Ca)_9_Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_"
