mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Anapaite,Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O,Ca<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Ca Fe P O H
Ancylite-(Ce),CeSr(CO_3_)_2_(OH)·H_2_O,CeSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,Ce Sr C O H
Ancylite-(La),LaSr(CO_3_)_2_(OH)·H_2_O,LaSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,La Sr C O H
Andyrobertsite,KCd^2+^Cu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O,KCdCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>[As(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,K Cd Cu As O H
Angarfite,NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O,NaFe<sup>3+</sup><sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O,Na Fe P O H
Ankinovichite,Ni^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O,NiAl<sub>4</sub>(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>(OH)<sub>12</sub>·2H<sub>2</sub>O,Ni Al V O H
Annabergite,Ni^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ni As O H
Anorthominasragrite,V^4+^O(SO_4_)·5H_2_O,V<sup>4+</sup>O(SO<sub>4</sub>)·5H<sub>2</sub>O,V O S H
Ansermetite,Mn^2+^V^5+^_2_O_6_·4H_2_O,Mn<sup>2+</sup>V<sup>5+</sup><sub>2</sub>O<sub>6</sub>·4H<sub>2</sub>O,Mn V O H
Antarcticite,CaCl_2_·6H_2_O,CaCl<sub>2</sub>·6H<sub>2</sub>O,Ca Cl H O
Anthonyite,Cu^2+^(OH)_2_·3H_2_O,Cu(OH)<sub>2</sub>·3H<sub>2</sub>O,Cu O H
Antofagastaite,Na_2_Ca(S^6+^O_4_)_2_·1.5H_2_O,Na<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>·1.5H<sub>2</sub>O,Na Ca S O H
Apachite,Cu^2+^_9_Si_10_O_29_·11H_2_O,Cu<sup>2+</sup><sub>9</sub>Si<sub>10</sub>O<sub>29</sub>·11H<sub>2</sub>O,Cu Si O H
Apexite,NaMg(P^5+^O_4_)·9H_2_O,NaMg(PO<sub>4</sub>)·9H<sub>2</sub>O,Na Mg P O H
Apjohnite,Mn^2+^Al_2_(SO_4_)_4_·22H_2_O,Mn<sup>2+</sup>Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O,Mn Al S O H
Aplowite,Co^2+^S^6+^O_4_·4H_2_O,Co(SO<sub>4</sub>)·4H<sub>2</sub>O,Co S O H
Arangasite,Al_2_(SO_4_)(PO_4_)F·9H_2_O,Al<sub>2</sub>(SO<sub>4</sub>)(PO<sub>4</sub>)F·9H<sub>2</sub>O,Al S O P F H
Aravaipaite,Pb_3_AlF_9_·H_2_O,Pb<sub>3</sub>AlF<sub>9</sub>·H<sub>2</sub>O,Pb Al F H O
Ardealite,Ca_2_(PO_3_OH)(SO_4_)·4H_2_O,Ca<sub>2</sub>(PO<sub>3</sub>OH)(SO<sub>4</sub>)·4H<sub>2</sub>O,Ca P O H S
Armbrusterite,Na_6_K_5_Mn^3+^Mn^2+^_14_[Si_9_O_22_]_4_(OH)_10_·4H_2_O,Na<sub>6</sub>K<sub>5</sub>Mn<sup>3+</sup>Mn<sup>2+</sup><sub>14</sub>(Si<sub>9</sub>O<sub>22</sub>)<sub>4</sub>(OH)<sub>10</sub>·4H<sub>2</sub>O,Na K Mn Si O H
Armenite,BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O,BaCa<sub>2</sub>(Al<sub>6</sub>Si<sub>9</sub>)O<sub>30</sub>·2H<sub>2</sub>O,Ba Ca Al Si O H
Armstrongite,CaZr^4+^Si_6_O_15_·2H_2_O,CaZr(Si<sub>6</sub>O<sub>15</sub>)·2H<sub>2</sub>O,Ca Zr Si O H
Arseniosiderite,Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_·3H_2_O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Ca Fe O As H
Arsenohopeite,Zn^2+^_3_(As^5+^O_4_)_2_·4H_2_O,Zn<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Zn As O H
Arsenovanmeersscheite,U^6+^(U^6+^O_2_)_3_(As^5+^O_4_)_2_(OH)_6_·4H_2_O,U(UO<sub>2</sub>)<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,U O As H
Arsenuranospathite,Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·20H_2_O,Al(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>F·20H<sub>2</sub>O,Al U O As F H
Arsenuranylite,Ca(U^6+^O_2_)_4_(As^5+^O_4_)_2_(OH)_4_·6H_2_O,Ca(UO<sub>2</sub>)<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca U O As H
Arthurite,Cu^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O,CuFe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Cu Fe As O H
Artinite,Mg_2_CO_3_(OH)_2_·3H_2_O,Mg<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>·3H<sub>2</sub>O,Mg C O H
Arzrunite,Pb^2+^_2_Cu^2+^_4_S^6+^O_4_(OH)_4_Cl_6_·2H_2_O,Pb<sub>2</sub>Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>Cl<sub>6</sub>·2H<sub>2</sub>O,Pb Cu S O H Cl
Ashcroftine-(Y),K_5_Na_5_Y_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O,K<sub>5</sub>Na<sub>5</sub>Y<sub>12</sub>Si<sub>28</sub>O<sub>70</sub>(OH)<sub>2</sub>(CO<sub>3</sub>)<sub>8</sub>·8H<sub>2</sub>O,K Na Y Si O H C
Asselbornite,Pb^2+^(U^6+^O_2_)_4_(Bi^3+^O)_3_(As^5+^O_4_)_2_(OH)_7_·4H_2_O,Pb(UO<sub>2</sub>)<sub>4</sub>(BiO)<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>7</sub>·4H<sub>2</sub>O,Pb U O Bi As H
Astrocyanite-(Ce),Cu^2+^_2_Ce^3+^_2_(U^6+^O_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O,Cu<sub>2</sub>Ce<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>5</sub>(OH)<sub>2</sub>·1.5H<sub>2</sub>O,Cu Ce U O C H
Atencioite,Ca_2_Fe^2+^_3_Mg_2_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,Ca<sub>2</sub>Fe<sup>2+</sup><sub>3</sub>Mg<sub>2</sub>Be<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca Fe Mg Be P O H
Attikaite,Ca_3_Cu^2+^_2_Al_2_(As^5+^O_4_)_4_(OH)_4_·2H_2_O,Ca<sub>3</sub>Cu<sub>2</sub>Al<sub>2</sub>(AsO<sub>4</sub>)<sub>4</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,Ca Cu Al As O H
Aubertite,Cu^2+^Al(SO_4_)_2_Cl·14H_2_O,Cu<sup>2+</sup>Al(SO<sub>4</sub>)<sub>2</sub>Cl·14H<sub>2</sub>O,Cu Al S O Cl H
Aurorite,Mn^2+^Mn^4+^_3_O_7_·3H_2_O,Mn<sup>2+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Mn O H
Avdoninite,K_2_Cu^2+^_5_Cl_8_(OH)_4_·2H_2_O,K<sub>2</sub>Cu<sub>5</sub>Cl<sub>8</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,K Cu Cl O H
Babanekite,Cu^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Cu<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Cu As O H
Bairdite,Pb_2_Cu^2+^_4_Te^6+^_2_O_10_(OH)_2_(S^6+^O_4_)·H_2_O,Pb<sub>2</sub>Cu<sup>2+</sup><sub>4</sub>Te<sup>6+</sup><sub>2</sub>O<sub>10</sub>(OH)<sub>2</sub>(SO<sub>4</sub>)·H<sub>2</sub>O,Pb Cu Te O H S
Bakhchisaraitsevite,Na_2_Mg_5_(PO_4_)_4_·7H_2_O,Na<sub>2</sub>Mg<sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>·7H<sub>2</sub>O,Na Mg P O H
Bariandite,"Al_0.6_(V^5+^,V^4+^)_8_O_20_·9H_2_O","Al<sub>0.6</sub>(V<sup>5+</sup>,V<sup>4+</sup>)<sub>8</sub>O<sub>20</sub>·9H<sub>2</sub>O",Al V O H
Baricite,Mg_3_(PO_4_)_2_·8H_2_O,"(Mg,Fe)<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O",Mg Fe P O H
Bario-orthojoaquinite,Ba_4_Fe^2+^_2_Ti^4+^_2_O_2_(SiO_3_)_8_·H_2_O,Ba<sub>4</sub>Fe<sup>2+</sup><sub>2</sub>Ti<sub>2</sub>O<sub>2</sub>(SiO<sub>3</sub>)<sub>8</sub>·H<sub>2</sub>O,Ba Fe Ti O Si H
Bariopharmacoalumite,Ba_0.5_Al_4_(As^5+^O_4_)_3_(OH)_4_·4H_2_O,Ba<sub>0.5</sub>Al<sub>4</sub>[(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O,Ba Al As O H
Bariopharmacosiderite,Ba_0.5_Fe^3+^_4_(As^5+^O_4_)_3_(OH)_4_·5H_2_O,Ba<sub>0.5</sub>Fe<sup>3+</sup><sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·5H<sub>2</sub>O,Ba Fe As O H
Bariosincosite,Ba(V^4+^O)_2_(P^5+^O_4_)_2_·4H_2_O,Ba(VO)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Ba V O P H
Barnesite,Na_2_V^5+^_6_O_16_·3H_2_O,Na<sub>2</sub>V<sup>5+</sup><sub>6</sub>O<sub>16</sub>·3H<sub>2</sub>O,Na V O H
Barrerite,Na_2_(Al_2_Si_7_)O_18_·6H_2_O,Na<sub>2</sub>(Si<sub>7</sub>Al<sub>2</sub>)O<sub>18</sub>·6H<sub>2</sub>O,Na Si Al O H
Barrotite,Cu^2+^_9_Al(HSiO_4_)_2_(S^6+^O_4_)(HAs^5+^O_4_)_0.5_(OH)_12_·8H_2_O,Cu<sub>9</sub>Al(HSiO<sub>4</sub>)<sub>2</sub>[(SO<sub>4</sub>)(HAsO<sub>4</sub>)<sub>0.5</sub>](OH)<sub>12</sub>·8H<sub>2</sub>O,Cu Al H Si O S As
Barstowite,Pb_4_CO_3_Cl_6_·H_2_O,Pb<sub>4</sub>(CO<sub>3</sub>)Cl<sub>6</sub>·H<sub>2</sub>O,Pb C O Cl H
Bartelkeite,Pb^2+^Fe^2+^Ge(Ge_2_O_7_)(OH)_2_·H_2_O,PbFe<sup>2+</sup>Ge(Ge<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Pb Fe Ge O H
Bassanite,CaSO_4_·0.5H_2_O,Ca(SO<sub>4</sub>)·0.5H<sub>2</sub>O,Ca S O H
Bassoite,SrV^4+^_3_O_7_·4H_2_O,SrV<sup>4+</sup><sub>3</sub>O<sub>7</sub>·4H<sub>2</sub>O,Sr V O H
Bayleyite,Mg_2_(UO_2_)(CO_3_)_3_·18H_2_O,Mg<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·18H<sub>2</sub>O,Mg U O C H
Baylissite,K_2_Mg(CO_3_)_2_·4H_2_O,K<sub>2</sub>Mg(CO<sub>3</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Mg C O H
Bazhenovite,Ca_8_S_5_(S_2_O_3_)(OH)_12_·20H_2_O,Ca<sub>8</sub>S<sub>5</sub>(S<sub>2</sub>O<sub>3</sub>)(OH)<sub>12</sub>·20H<sub>2</sub>O,Ca S O H
Bearsite,Be_2_As^5+^O_4_(OH)·4H_2_O,Be<sub>2</sub>(AsO<sub>4</sub>)(OH)·4H<sub>2</sub>O,Be As O H
Becquerelite,Ca(UO_2_)_6_O_4_(OH)_6_·8H_2_O,Ca(UO<sub>2</sub>)<sub>6</sub>O<sub>4</sub>(OH)<sub>6</sub>·8H<sub>2</sub>O,Ca U O H
Bederite,Ca_2_Mn^2+^_4_Fe^3+^_2_(PO_4_)_6_·2H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O,Ca Mn Fe P O H
Bellbergite,"(K,Ba,Sr)_2_Sr_2_Ca_2_(Ca,Na)_4_(Si,Al)_36_O_72_·30H_2_O","(K,Ba,Sr)<sub>2</sub>Sr<sub>2</sub>Ca<sub>2</sub>(Ca,Na)<sub>4</sub>(Si,Al)<sub>36</sub>O<sub>72</sub>·30H<sub>2</sub>O",K Ba Sr Ca Na Si Al O H
Bellingerite,Cu^2+^_3_(I^5+^O_3_)_6_·2H_2_O,Cu<sub>3</sub>(IO<sub>3</sub>)<sub>6</sub>·2H<sub>2</sub>O,Cu I O H
Belogubite,Cu^2+^Zn^2+^(S^6+^O_4_)_2_·10H_2_O,CuZn(SO<sub>4</sub>)<sub>2</sub>·10H<sub>2</sub>O,Cu Zn S O H
Bendadaite,Fe^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Fe As O H
Bentorite,Ca_6_Cr^3+^_2_(S^6+^O_4_)_3_(OH)_12_·26H_2_O,Ca<sub>6</sub>Cr<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>12</sub>·26H<sub>2</sub>O,Ca Cr S O H
Benyacarite,KTi^4+^Mn^2+^_2_Fe^3+^_2_(PO_4_)_4_OF·15H_2_O,KTiMn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>OF·15H<sub>2</sub>O,K Ti Mn Fe P O F H
Beraunite,Fe^2+^Fe^3+^_5_(PO_4_)_4_(OH)_5_·6H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>5</sub>·6H<sub>2</sub>O,Fe P O H
Berborite,Be_2_BO_3_(OH)·H_2_O,Be<sub>2</sub>(BO<sub>3</sub>)(OH)·H<sub>2</sub>O,Be B O H
Bergenite,Ca_2_Ba_4_(UO_2_)_9_O_6_(PO_4_)_6_·16H_2_O,Ca<sub>2</sub>Ba<sub>4</sub>(UO<sub>2</sub>)<sub>9</sub>O<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>·16H<sub>2</sub>O,Ca Ba U O P H
Bermanite,Mn^2+^Mn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mn<sup>2+</sup>Mn<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Mn P O H
Beryllite,Be_3_SiO_4_(OH)_2_·H_2_O,Be<sub>3</sub>(SiO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Be Si O H
Beshtauite,(N^3-^H_4_)_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,(NH<sub>4</sub>)<sub>2</sub>(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,N H U O S
Bettertonite,Al_6_(As^5+^O_4_)_3_(OH)_9_·16H_2_O,Al<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>9</sub>(H<sub>2</sub>O)<sub>5</sub>·11H<sub>2</sub>O,Al As O H
Bianchite,Zn^2+^S^6+^O_4_·6H_2_O,Zn(SO<sub>4</sub>)·6H<sub>2</sub>O,Zn S O H
Bieberite,Co^2+^S^6+^O_4_·7H_2_O,Co(SO<sub>4</sub>)·7H<sub>2</sub>O,Co S O H
Bigcreekite,BaSi_2_O_5_·4H_2_O,BaSi<sub>2</sub>O<sub>5</sub>·4H<sub>2</sub>O,Ba Si O H
