mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Abernathyite,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,K U O As H
Acuminite,SrAlF_4_(OH)·H_2_O,SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O,Sr Al F O H
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O,Na Y C O H
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O",Ca Na Fe Mg Al Si O H C
Afmite,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O,Al O H P
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]·2H<sub>2</sub>O,Ca Si O H
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,CeCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Ce Cu As O H
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,LaCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,La Cu As O H
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,NdCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Nd Cu As O H
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,YCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Y Cu As O H
Agrinierite,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O,K<sub>2</sub>Ca[(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>]<sub>2</sub>·5H<sub>2</sub>O,K Ca U O H
Aheylite,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O,Fe<sup>2+</sup>Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Fe Al P O H
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Ni(SeO<sub>3</sub>)·2H<sub>2</sub>O,Ni Se O H
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K<sub>3</sub>Cu<sup>2+</sup><sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>76</sub>(OH)<sub>16</sub>·8H<sub>2</sub>O,K Cu Al Si O H
Aklimaite,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O,Ca<sub>4</sub>[Si<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>](OH)<sub>4</sub>·5H<sub>2</sub>O,Ca Si O H
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,Mn<sup>2+</sup><sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O,Mn As O H
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Mg B O H
Aldridgeite,"(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O","(Cd,Ca)(Cu,Zn)<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O",Cd Ca Cu Zn S O H
Alexkhomyakovite,K_6_(Ca_2_Na)(CO_3_)_5_Cl^1-^·6H_2_O,K<sub>6</sub>(Ca<sub>2</sub>Na)(CO<sub>3</sub>)<sub>5</sub>Cl·6H<sub>2</sub>O,K Ca Na C O Cl H
Alflarsenite,NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O,NaCa<sub>2</sub>Be<sub>3</sub>Si<sub>4</sub>O<sub>13</sub>(OH)·2H<sub>2</sub>O,Na Ca Be Si O H
Alfredopetrovite,Al_2_(Se^4+^O_3_)_3_·6H_2_O,Al<sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O,Al Se O H
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca<sub>0.2</sub>Mg<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O",Ca Mg Si Al O H
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O","Na<sub>19</sub>(Ca,Mn<sup>2+</sup>)<sub>6</sub>(Ti,Nb)<sub>3</sub>Si<sub>26</sub>O<sub>74</sub>Cl·2H<sub>2</sub>O",Na Ca Mn Ti Nb Si O Cl H
Alpersite,MgS^6+^O_4_·7H_2_O,Mg(SO<sub>4</sub>)·7H<sub>2</sub>O,Mg S O H
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","NaSrKZn(Ti,Nb)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(O,OH)<sub>4</sub>·7H<sub>2</sub>O",Na Sr K Zn Ti Nb Si O H
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,AlTh(UO<sub>2</sub>)<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub>·15H<sub>2</sub>O,Al Th U O P H
Alum-(K),KAl(SO_4_)_2_·12H_2_O,KAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,K Al S O H
Alum-(Na),NaAl(SO_4_)_2_·12H_2_O,NaAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,Na Al S O H
Aluminite,Al_2_S^6+^O_4_(OH)_4_·7H_2_O,Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·7H<sub>2</sub>O,Al S O H
Aluminocopiapite,"(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O","(Al,Mg)Fe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH,O)<sub>2</sub>·20H<sub>2</sub>O",Al Mg Fe S O H
Aluminocoquimbite,AlFe^3+^(S^6+^O_4_)_3_·9H_2_O,AlFe(SO<sub>4</sub>)<sub>3</sub>·9H<sub>2</sub>O,Al Fe S O H
Alumohydrocalcite,CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O,CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O,Ca Al C O H
Alunogen,Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O,Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(H<sub>2</sub>O)<sub>12</sub>·5H<sub>2</sub>O,Al S O H
Alwilkinsite-(Y),Y^3+^(U^6+^O_2_)_3_(S^6+^O_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O,Y(UO<sub>2</sub>)<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>O(OH)<sub>3</sub>(H<sub>2</sub>O)<sub>7</sub>·7H<sub>2</sub>O,Y U O S H
Amarantite,Fe^3+^_2_O(S^6+^O_4_)_2_·7H_2_O,Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O,Fe O S H
Amarillite,NaFe^3+^(SO_4_)_2_·6H_2_O,NaFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Na Fe S O H
Amicite,K_2_Na_2_(Si_4_Al_4_O_16_)·5H_2_O,K<sub>2</sub>Na<sub>2</sub>(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)·5H<sub>2</sub>O,K Na Al Si O H
Ammonioborite,(N^3-^H_4_)_3_B_15_O_20_(OH)_8_·4H_2_O,(NH<sub>4</sub>)<sub>3</sub>B<sub>15</sub>O<sub>20</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,N H B O
Ammoniomagnesiovoltaite,(N^3-^H_4_)_2_Mg_5_Fe^3+^_3_Al(S^6+^O_4_)_12_·18H_2_O,(NH<sub>4</sub>)<sub>2</sub>Mg<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>Al(SO<sub>4</sub>)<sub>12</sub>·18H<sub>2</sub>O,N H Mg Fe Al S O
Ammoniozippeite,(N^3-^H_4_)_2_[(U^6+^O_2_)_2_(S^6+^O_4_)O_2_]·H_2_O,(NH<sub>4</sub>)<sub>2</sub>[(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)O<sub>2</sub>]·H<sub>2</sub>O,N H U O S
Analcime,NaAlSi_2_O_6_·H_2_O,Na(AlSi<sub>2</sub>O<sub>6</sub>)·H<sub>2</sub>O,Na Al Si O H
