mineral_name,element,count,chem
Abellaite,C,2,NaPb^2+^_2_(CO_3_)_2_(OH)
Abellaite,H,1,NaPb^2+^_2_(CO_3_)_2_(OH)
Abellaite,Na,1,NaPb^2+^_2_(CO_3_)_2_(OH)
Abellaite,O,7,NaPb^2+^_2_(CO_3_)_2_(OH)
Abellaite,Pb,2,NaPb^2+^_2_(CO_3_)_2_(OH)
Abelsonite,C,31,Ni^2+^C_31_H_32_N_4_
Abelsonite,H,32,Ni^2+^C_31_H_32_N_4_
Abelsonite,N,4,Ni^2+^C_31_H_32_N_4_
Abelsonite,Ni,1,Ni^2+^C_31_H_32_N_4_
Abenakiite-(Ce),C,6,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),Ce,6,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),Na,26,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),O,63,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),P,6,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),S,1,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abenakiite-(Ce),Si,6,Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O
Abernathyite,As,1,K(U^6+^O_2_)As^5+^O_4_·3H_2_O
Abernathyite,H,6,K(U^6+^O_2_)As^5+^O_4_·3H_2_O
Abernathyite,K,1,K(U^6+^O_2_)As^5+^O_4_·3H_2_O
Abernathyite,O,9,K(U^6+^O_2_)As^5+^O_4_·3H_2_O
Abernathyite,U,1,K(U^6+^O_2_)As^5+^O_4_·3H_2_O
Abhurite,Cl,16,Sn^2+^_21_O_6_(OH)_14_Cl_16_
Abhurite,H,14,Sn^2+^_21_O_6_(OH)_14_Cl_16_
Abhurite,O,20,Sn^2+^_21_O_6_(OH)_14_Cl_16_
Abhurite,Sn,21,Sn^2+^_21_O_6_(OH)_14_Cl_16_
