mineral_name,element,count,chem
Abramovite,Bi,1,Pb_2_SnInBiS_7_
Abramovite,In,1,Pb_2_SnInBiS_7_
Abramovite,Pb,2,Pb_2_SnInBiS_7_
Abramovite,S,7,Pb_2_SnInBiS_7_
Abramovite,Sn,1,Pb_2_SnInBiS_7_
Acanthite,Ag,2,Ag^1+^_2_S^2-^
Acanthite,S,1,Ag^1+^_2_S^2-^
Acetamide,C,2,CH_3_CONH_2_
Acetamide,H,5,CH_3_CONH_2_
Acetamide,N,1,CH_3_CONH_2_
Acetamide,O,1,CH_3_CONH_2_
Achyrophanite,Al,1.25,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,As,5,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,Fe,1.25,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,K,1.5,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,Mg,1.25,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,Na,1.5,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,O,22,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Achyrophanite,Ti,1.25,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_"
Actinolite,Ca,2,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Actinolite,Fe,1.5,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Actinolite,H,2,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Actinolite,Mg,3.5,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Actinolite,O,24,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Actinolite,Si,8,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_
Acuminite,Al,1,SrAlF_4_(OH)·H_2_O
Acuminite,F,4,SrAlF_4_(OH)·H_2_O
Acuminite,H,3,SrAlF_4_(OH)·H_2_O
Acuminite,O,2,SrAlF_4_(OH)·H_2_O
Acuminite,Sr,1,SrAlF_4_(OH)·H_2_O
Adamite,As,1,Zn^2+^_2_As^5+^O_4_(OH)
Adamite,H,1,Zn^2+^_2_As^5+^O_4_(OH)
Adamite,O,5,Zn^2+^_2_As^5+^O_4_(OH)
Adamite,Zn,2,Zn^2+^_2_As^5+^O_4_(OH)
Adamsite-(Y),C,2,NaY^3+^(CO_3_)_2_·6H_2_O
Adamsite-(Y),H,12,NaY^3+^(CO_3_)_2_·6H_2_O
Adamsite-(Y),Na,1,NaY^3+^(CO_3_)_2_·6H_2_O
Adamsite-(Y),O,12,NaY^3+^(CO_3_)_2_·6H_2_O
Adamsite-(Y),Y,1,NaY^3+^(CO_3_)_2_·6H_2_O
Adelite,As,1,CaMgAs^5+^O_4_(OH)
Adelite,Ca,1,CaMgAs^5+^O_4_(OH)
Adelite,H,1,CaMgAs^5+^O_4_(OH)
Adelite,Mg,1,CaMgAs^5+^O_4_(OH)
Adelite,O,5,CaMgAs^5+^O_4_(OH)
Adolfpateraite,H,3,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)
Adolfpateraite,K,1,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)
Adolfpateraite,O,8,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)
Adolfpateraite,S,1,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)
Adolfpateraite,U,1,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)
Adranosite,Al,2,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,Cl,1,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,H,18,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,N,4,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,Na,1,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,O,18,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite,S,4,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),Cl,1,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),Fe,2,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),H,18,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),N,4,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),Na,1,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),O,18,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adranosite-(Fe),S,4,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_
Adrianite,Al,4,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Adrianite,Ca,12,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Adrianite,Cl,6,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Adrianite,Mg,3,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Adrianite,O,32,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Adrianite,Si,7,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_
Aegirine,Fe,1,NaFe^3+^Si_2_O_6_
Aegirine,Na,1,NaFe^3+^Si_2_O_6_
Aegirine,O,6,NaFe^3+^Si_2_O_6_
Aegirine,Si,2,NaFe^3+^Si_2_O_6_
Aegirine-augite,Ca,0.5,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aegirine-augite,Fe,0.666666666666666,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aegirine-augite,Mg,0.333333333333333,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aegirine-augite,Na,0.5,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aegirine-augite,O,6,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aegirine-augite,Si,2,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
Aenigmatite,Fe,10,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]
Aenigmatite,Na,4,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]
Aenigmatite,O,40,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]
Aenigmatite,Si,12,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]
Aenigmatite,Ti,2,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]
Aerinite,Al,4,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,C,1,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,Ca,3,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,Fe,2,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,H,36,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,Mg,4,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,Na,3,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,O,63,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerinite,Si,12,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
Aerugite,As,3,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_
Aerugite,Ni,8.5,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_
Aerugite,O,16,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_
Aeschynite-(Ce),Ca,0.25,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),Ce,0.25,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),Fe,0.25,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),H,1.5,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),Nb,1,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),O,4.5,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),Th,0.25,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Ce),Ti,1,"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),Ca,0.333333333333333,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),H,1.5,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),Ln,0.333333333333333,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),Nb,1,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),Nd,0.333333333333333,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),O,4.5,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Nd),Ti,1,"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Ca,0.333333333333333,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),H,1.5,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Nb,1,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),O,4.5,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Th,0.333333333333333,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Ti,1,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Aeschynite-(Y),Y,0.333333333333333,"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_"
Afghanite,Al,24,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,Ca,10,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,Cl,6,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,Na,22,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,O,120,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,S,6,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afghanite,Si,24,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_
Afmite,Al,3,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O
Afmite,H,13,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O
Afmite,O,16,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O
Afmite,P,2,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O
Afwillite,Ca,3,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O
Afwillite,H,6,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O
Afwillite,O,10,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O
Afwillite,Si,2,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O
Agaite,C,1,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agaite,Cu,1,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agaite,H,2,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agaite,O,10,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agaite,Pb,3,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agaite,Te,1,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)
Agakhanovite-(Y),Be,3,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agakhanovite-(Y),Ca,2,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agakhanovite-(Y),K,1,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agakhanovite-(Y),O,30,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agakhanovite-(Y),Si,12,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agakhanovite-(Y),Y,1,Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_
Agardite-(Ce),As,3,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Ce),Ce,1,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Ce),Cu,6,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Ce),H,12,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Ce),O,21,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(La),As,3,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(La),Cu,6,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(La),H,12,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(La),La,1,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(La),O,21,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Nd),As,3,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Nd),Cu,6,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Nd),H,12,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Nd),Nd,1,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Nd),O,21,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Y),As,3,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Y),Cu,6,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Y),H,12,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Y),O,21,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agardite-(Y),Y,1,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O
Agmantinite,Ag,2,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_
Agmantinite,Mn,1,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_
Agmantinite,S,4,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_
Agmantinite,Sn,1,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_
Agrellite,Ca,2,NaCa_2_Si_4_O_10_F
Agrellite,F,1,NaCa_2_Si_4_O_10_F
Agrellite,Na,1,NaCa_2_Si_4_O_10_F
Agrellite,O,10,NaCa_2_Si_4_O_10_F
Agrellite,Si,4,NaCa_2_Si_4_O_10_F
Agricolaite,C,3,K_4_(U^6+^O_2_)(CO_3_)_3_
Agricolaite,K,4,K_4_(U^6+^O_2_)(CO_3_)_3_
Agricolaite,O,11,K_4_(U^6+^O_2_)(CO_3_)_3_
Agricolaite,U,1,K_4_(U^6+^O_2_)(CO_3_)_3_
Agrinierite,Ca,1,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O
Agrinierite,H,14,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O
Agrinierite,K,2,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O
Agrinierite,O,27,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O
Agrinierite,U,6,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O
Aguilarite,Ag,4,Ag_4_SeS
Aguilarite,S,1,Ag_4_SeS
Aguilarite,Se,1,Ag_4_SeS
Aheylite,Al,6,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O
Aheylite,Fe,1,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O
Aheylite,H,16,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O
Aheylite,O,28,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O
Aheylite,P,4,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O
Ahlfeldite,H,4,Ni^2+^Se^4+^O_3_·2H_2_O
Ahlfeldite,Ni,1,Ni^2+^Se^4+^O_3_·2H_2_O
Ahlfeldite,O,5,Ni^2+^Se^4+^O_3_·2H_2_O
Ahlfeldite,Se,1,Ni^2+^Se^4+^O_3_·2H_2_O
Aikinite,Bi,1,CuPbBiS_3_
Aikinite,Cu,1,CuPbBiS_3_
Aikinite,Pb,1,CuPbBiS_3_
Aikinite,S,3,CuPbBiS_3_
Ajoite,Al,3,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Ajoite,Cu,20,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Ajoite,H,32,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Ajoite,K,3,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Ajoite,O,100,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Ajoite,Si,29,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O
Akdalaite,Al,10,Al_10_O_14_(OH)_2_
Akdalaite,H,2,Al_10_O_14_(OH)_2_
Akdalaite,O,16,Al_10_O_14_(OH)_2_
Akermanite,Ca,2,Ca_2_MgSi_2_O_7_
Akermanite,Mg,1,Ca_2_MgSi_2_O_7_
Akermanite,O,7,Ca_2_MgSi_2_O_7_
Akermanite,Si,2,Ca_2_MgSi_2_O_7_
Akhtenskite,Mn,1,Mn^4+^O_2_
Akhtenskite,O,2,Mn^4+^O_2_
Aklimaite,Ca,4,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O
Aklimaite,H,16,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O
Aklimaite,O,16,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O
Aklimaite,Si,2,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O
Akrochordite,As,2,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O
Akrochordite,H,12,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O
Akrochordite,Mn,5,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O
Akrochordite,O,16,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O
Aksaite,B,6,MgB_6_O_7_(OH)_6_·2H_2_O
Aksaite,H,10,MgB_6_O_7_(OH)_6_·2H_2_O
Aksaite,Mg,1,MgB_6_O_7_(OH)_6_·2H_2_O
Aksaite,O,15,MgB_6_O_7_(OH)_6_·2H_2_O
Aktashite,As,4,Cu_6_Hg_3_As_4_S_12_
Aktashite,Cu,6,Cu_6_Hg_3_As_4_S_12_
Aktashite,Hg,3,Cu_6_Hg_3_As_4_S_12_
Aktashite,S,12,Cu_6_Hg_3_As_4_S_12_
Alabandite,Mn,1,Mn^2+^S^2-^
Alabandite,S,1,Mn^2+^S^2-^
Alacranite,As,8,As_8_S_9_
Alacranite,S,9,As_8_S_9_
Alamosite,O,3,Pb^2+^SiO_3_
Alamosite,Pb,1,Pb^2+^SiO_3_
Alamosite,Si,1,Pb^2+^SiO_3_
Alarsite,Al,1,AlAs^5+^O_4_
Alarsite,As,1,AlAs^5+^O_4_
Alarsite,O,4,AlAs^5+^O_4_
Albite,Al,1,NaAlSi_3_O_8_
Albite,Na,1,NaAlSi_3_O_8_
Albite,O,8,NaAlSi_3_O_8_
Albite,Si,3,NaAlSi_3_O_8_
Albrechtschraufite,C,6,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,Ca,4,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,F,2,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,H,34,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,Mg,1,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,O,39,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Albrechtschraufite,U,2,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O
Alburnite,Ag,8,Ag_8_GeTe_2_S_4_
Alburnite,Ge,1,Ag_8_GeTe_2_S_4_
Alburnite,S,4,Ag_8_GeTe_2_S_4_
Alburnite,Te,2,Ag_8_GeTe_2_S_4_
Aldridgeite,Ca,0.5,"(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O"
