mineral_name,element,count
Agaite,H,2
Agaite,O,10
Agaite,Pb,3
Agaite,Te,1
Agakhanovite-(Y),Be,3
Agakhanovite-(Y),Ca,2
Agakhanovite-(Y),K,1
Agakhanovite-(Y),O,30
Agakhanovite-(Y),Si,12
Agakhanovite-(Y),Y,1
Agardite-(Ce),As,3
Agardite-(Ce),Ce,1
Agardite-(Ce),Cu,6
Agardite-(Ce),H,12
Agardite-(Ce),O,21
Agardite-(La),As,3
Agardite-(La),Cu,6
Agardite-(La),H,12
Agardite-(La),La,1
Agardite-(La),O,21
Agardite-(Nd),As,3
Agardite-(Nd),Cu,6
Agardite-(Nd),H,12
Agardite-(Nd),Nd,1
Agardite-(Nd),O,21
Agardite-(Y),As,3
Agardite-(Y),Cu,6
Agardite-(Y),H,12
Agardite-(Y),O,21
Agardite-(Y),Y,1
Agmantinite,Ag,2
Agmantinite,Mn,1
Agmantinite,S,4
Agmantinite,Sn,1
Agrellite,Ca,2
Agrellite,F,1
Agrellite,Na,1
Agrellite,O,10
Agrellite,Si,4
Agricolaite,C,3
Agricolaite,K,4
Agricolaite,O,11
Agricolaite,U,1
Agrinierite,Ca,1
Agrinierite,H,14
Agrinierite,K,2
Agrinierite,O,27
Agrinierite,U,6
Aguilarite,Ag,4
Aguilarite,S,1
Aguilarite,Se,1
Aheylite,Al,6
Aheylite,Fe,1
Aheylite,H,16
Aheylite,O,28
Aheylite,P,4
Ahlfeldite,H,4
Ahlfeldite,Ni,1
Ahlfeldite,O,5
Ahlfeldite,Se,1
Aikinite,Bi,1
Aikinite,Cu,1
Aikinite,Pb,1
Aikinite,S,3
Ajoite,Al,3
Ajoite,Cu,20
Ajoite,H,32
Ajoite,K,3
Ajoite,O,100
Ajoite,Si,29
Akdalaite,Al,10
Akdalaite,H,2
Akdalaite,O,16
Akermanite,Ca,2
Akermanite,Mg,1
Akermanite,O,7
Akermanite,Si,2
Akhtenskite,Mn,1
Akhtenskite,O,2
Aklimaite,Ca,4
Aklimaite,H,16
Aklimaite,O,16
Aklimaite,Si,2
Akrochordite,As,2
Akrochordite,H,12
Akrochordite,Mn,5
Akrochordite,O,16
Aksaite,B,6
Aksaite,H,10
Aksaite,Mg,1
Aksaite,O,15
Aktashite,As,4
Aktashite,Cu,6
Aktashite,Hg,3
Aktashite,S,12
Alabandite,Mn,1
Alabandite,S,1
Alacranite,As,8
Alacranite,S,9
Alamosite,O,3
Alamosite,Pb,1
Alamosite,Si,1
Alarsite,Al,1
Alarsite,As,1
Alarsite,O,4
Albite,Al,1
Albite,Na,1
Albite,O,8
Albite,Si,3
Albrechtschraufite,C,6
Albrechtschraufite,Ca,4
Albrechtschraufite,F,2
Albrechtschraufite,H,35
Albrechtschraufite,Mg,1
Albrechtschraufite,O,39.5
