mineral_name,rruff_chemistry,chemistry_elements
Carboborite,Ca_2_Mg[B(OH)_4_]_2_(CO_3_)_2_·4H_2_O,H
Carboborite,Ca_2_Mg[B(OH)_4_]_2_(CO_3_)_2_·4H_2_O,C
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",Sr
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",Ce
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",La
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",Ca
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",Na
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",C
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",O
Carboirite,Fe^2+^Al_2_GeO_5_(OH)_2_,Fe
Carboirite,Fe^2+^Al_2_GeO_5_(OH)_2_,Al
Carboirite,Fe^2+^Al_2_GeO_5_(OH)_2_,Ge
Carboirite,Fe^2+^Al_2_GeO_5_(OH)_2_,O
Carboirite,Fe^2+^Al_2_GeO_5_(OH)_2_,H
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Na
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Ce
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Ca
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Mn
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Zr
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Nb
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",Si
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",O
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",H
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(C^4+^O_3_)·H_2_O",C
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,Cu
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,Al
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,C
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,O
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,H
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,Fe
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,Al
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,O
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,H
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,C
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",K
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",Na
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",Ca
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",Si
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",O
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",C
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",F
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O",H
Carlfriesite,CaTe^6+^Te^4+^_2_O_8_,Ca
Carlfriesite,CaTe^6+^Te^4+^_2_O_8_,Te
Carlfriesite,CaTe^6+^Te^4+^_2_O_8_,O
Carlhintzeite,Ca_2_AlF_7_·H_2_O,Ca
Carlhintzeite,Ca_2_AlF_7_·H_2_O,Al
Carlhintzeite,Ca_2_AlF_7_·H_2_O,F
Carlhintzeite,Ca_2_AlF_7_·H_2_O,H
Carlhintzeite,Ca_2_AlF_7_·H_2_O,O
Carlinite,Tl^1+^_2_S^2-^,Tl
Carlinite,Tl^1+^_2_S^2-^,S
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,K
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,Na
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,Mg
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,I
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,O
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,Se
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,H
Carlsbergite,Cr^3+^N^3-^,Cr
Carlsbergite,Cr^3+^N^3-^,N
Carmichaelite,"(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_",Ti
Carmichaelite,"(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_",Cr
Carmichaelite,"(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_",Fe
Carmichaelite,"(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_",O
Carmichaelite,"(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_",H
Carminite,PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Pb
Carminite,PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Fe
Carminite,PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,As
Carminite,PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,O
Carminite,PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,H
Carnallite,KMgCl_3_·6H_2_O,K
Carnallite,KMgCl_3_·6H_2_O,Mg
Carnallite,KMgCl_3_·6H_2_O,Cl
Carnallite,KMgCl_3_·6H_2_O,H
Carnallite,KMgCl_3_·6H_2_O,O
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,K
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,U
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,O
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,V
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,H
Carobbiite,KF,K
Carobbiite,KF,F
Carpholite,Mn^2+^Al_2_Si_2_O_6_(OH)_4_,Mn
Carpholite,Mn^2+^Al_2_Si_2_O_6_(OH)_4_,Al
Carpholite,Mn^2+^Al_2_Si_2_O_6_(OH)_4_,Si
Carpholite,Mn^2+^Al_2_Si_2_O_6_(OH)_4_,O
Carpholite,Mn^2+^Al_2_Si_2_O_6_(OH)_4_,H
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,Ca
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,Ge
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,S
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,O
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,C
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,H
Carrboydite,Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O,Ni
Carrboydite,Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O,Al
Carrboydite,Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O,S
Carrboydite,Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O,O
Carrboydite,Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O,H
Carrollite,Cu^1+^Co^3+^_2_S_4_,Cu
Carrollite,Cu^1+^Co^3+^_2_S_4_,Co
Carrollite,Cu^1+^Co^3+^_2_S_4_,S
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",Na
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",Pb
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",Ca
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",Mn
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",As
Caryinite,"(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_",O
Caryopilite,Mn^2+^_3_Si_2_O_5_(OH)_4_,Mn
Caryopilite,Mn^2+^_3_Si_2_O_5_(OH)_4_,Si
Caryopilite,Mn^2+^_3_Si_2_O_5_(OH)_4_,O
Caryopilite,Mn^2+^_3_Si_2_O_5_(OH)_4_,H
Cascandite,CaSc^3+^Si_3_O_8_(OH),Ca
Cascandite,CaSc^3+^Si_3_O_8_(OH),Sc
Cascandite,CaSc^3+^Si_3_O_8_(OH),Si
Cascandite,CaSc^3+^Si_3_O_8_(OH),O
Cascandite,CaSc^3+^Si_3_O_8_(OH),H
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,Pb
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,V
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,O
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,Cr
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,H
Cassidyite,Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O,Ca
Cassidyite,Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O,Ni
Cassidyite,Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O,P
Cassidyite,Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O,O
Cassidyite,Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O,H
Cassiterite,SnO_2_,Sn
Cassiterite,SnO_2_,O
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,Na
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,Zr
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,Si
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,O
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,H
Cattierite,Co^2+^(S_2_)^2-^,Co
Cattierite,Co^2+^(S_2_)^2-^,S
Cattiite,Mg_3_(PO_4_)_2_·22H_2_O,Mg
Cattiite,Mg_3_(PO_4_)_2_·22H_2_O,P
Cattiite,Mg_3_(PO_4_)_2_·22H_2_O,O
Cattiite,Mg_3_(PO_4_)_2_·22H_2_O,H
Cavoite,CaV^4+^_3_O_7_,Ca
Cavoite,CaV^4+^_3_O_7_,V
Cavoite,CaV^4+^_3_O_7_,O
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",Ca
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",Yb
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",Er
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",Y
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",Si
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",O
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",C
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O",H
Cebaite-(Ce),Ba_3_Ce_2_(CO_3_)_5_F_2_,Ba
Cebaite-(Ce),Ba_3_Ce_2_(CO_3_)_5_F_2_,Ce
Cebaite-(Ce),Ba_3_Ce_2_(CO_3_)_5_F_2_,C
Cebaite-(Ce),Ba_3_Ce_2_(CO_3_)_5_F_2_,O
Cebaite-(Ce),Ba_3_Ce_2_(CO_3_)_5_F_2_,F
Cebollite,Ca_5_Al_2_(SiO_4_)_3_(OH)_4_,Ca
Cebollite,Ca_5_Al_2_(SiO_4_)_3_(OH)_4_,Al
Cebollite,Ca_5_Al_2_(SiO_4_)_3_(OH)_4_,Si
Cebollite,Ca_5_Al_2_(SiO_4_)_3_(OH)_4_,O
Cebollite,Ca_5_Al_2_(SiO_4_)_3_(OH)_4_,H
Cechite,Pb^2+^Fe^2+^V^5+^O_4_(OH),Pb
Cechite,Pb^2+^Fe^2+^V^5+^O_4_(OH),Fe
Cechite,Pb^2+^Fe^2+^V^5+^O_4_(OH),V
Cechite,Pb^2+^Fe^2+^V^5+^O_4_(OH),O
Cechite,Pb^2+^Fe^2+^V^5+^O_4_(OH),H
Cejkaite,Na_4_UO_2_(CO_3_)_3_,Na
Cejkaite,Na_4_UO_2_(CO_3_)_3_,U
Cejkaite,Na_4_UO_2_(CO_3_)_3_,O
Cejkaite,Na_4_UO_2_(CO_3_)_3_,C
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,K
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,Mg
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,Fe
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,Si
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,O
Celadonite,KMgFe^3+^Si_4_O_10_(OH)_2_,H
Celestine,SrSO_4_,Sr
Celestine,SrSO_4_,S
Celestine,SrSO_4_,O
Celsian,BaAl_2_Si_2_O_8_,Ba
Celsian,BaAl_2_Si_2_O_8_,Al
Celsian,BaAl_2_Si_2_O_8_,Si
Celsian,BaAl_2_Si_2_O_8_,O
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],Ba
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],Mn
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],Si
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],O
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],H
Cerchiaraite-(Mn),Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_],Cl
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,Ba
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,Mg
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,Zr
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,Nb
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,O
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,H
Cerianite-(Ce),CeO_2_,Ce
Cerianite-(Ce),CeO_2_,O
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Ce
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",La
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Ca
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Mg
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Fe
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Si
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",O
Cerite-(Ce),"(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",H
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",La
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Ce
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Ca
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Fe
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Mg
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",Si
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",O
Cerite-(La),"(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_",H
Cernyite,Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_,Cu
Cernyite,Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_,Cd
Cernyite,Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_,Sn
Cernyite,Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_,S
Ceruleite,Cu^2+^Al_4_[As^5+^O_4_]_2_(OH)_8_(H_2_O)_4_,Cu
Ceruleite,Cu^2+^Al_4_[As^5+^O_4_]_2_(OH)_8_(H_2_O)_4_,Al
Ceruleite,Cu^2+^Al_4_[As^5+^O_4_]_2_(OH)_8_(H_2_O)_4_,As
Ceruleite,Cu^2+^Al_4_[As^5+^O_4_]_2_(OH)_8_(H_2_O)_4_,O
Ceruleite,Cu^2+^Al_4_[As^5+^O_4_]_2_(OH)_8_(H_2_O)_4_,H
Cerussite,PbCO_3_,Pb
Cerussite,PbCO_3_,C
Cerussite,PbCO_3_,O
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Ce
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Nd
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",La
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Fe
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Ti
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Al
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",O
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",Si
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",As
Cervandonite-(Ce),"(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_",H
Cervantite,Sb^3+^Sb^5+^O_4_,Sb
Cervantite,Sb^3+^Sb^5+^O_4_,O
Cervelleite,Ag_4_TeS,Ag
Cervelleite,Ag_4_TeS,Te
Cervelleite,Ag_4_TeS,S
Cesanite,Ca_2_Na_3_(SO_4_)_3_OH,Ca
Cesanite,Ca_2_Na_3_(SO_4_)_3_OH,Na
Cesanite,Ca_2_Na_3_(SO_4_)_3_OH,S
Cesanite,Ca_2_Na_3_(SO_4_)_3_OH,O
Cesanite,Ca_2_Na_3_(SO_4_)_3_OH,H
Cesarolite,PbMn^4+^_3_O_6_(OH)_2_,Pb
Cesarolite,PbMn^4+^_3_O_6_(OH)_2_,Mn
Cesarolite,PbMn^4+^_3_O_6_(OH)_2_,O
Cesarolite,PbMn^4+^_3_O_6_(OH)_2_,H
Cesbronite,Cu^2+^_3_Te^6+^O_4_(OH)_4_,Cu
Cesbronite,Cu^2+^_3_Te^6+^O_4_(OH)_4_,Te
Cesbronite,Cu^2+^_3_Te^6+^O_4_(OH)_4_,O
Cesbronite,Cu^2+^_3_Te^6+^O_4_(OH)_4_,H
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,Cs
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,Na
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,Mn
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,Ti
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,Si
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,O
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,H
Kupletskite-(Cs),Cs^1+^_2_NaMn^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,F
Cesplumtantite,Cs_2_Pb_3_Ta_8_O_24_,Cs
Cesplumtantite,Cs_2_Pb_3_Ta_8_O_24_,Pb
Cesplumtantite,Cs_2_Pb_3_Ta_8_O_24_,Ta
Cesplumtantite,Cs_2_Pb_3_Ta_8_O_24_,O
Hydroxykenomicrolite,"([box],Na,Sb^3+^)_2_Ta^5+^_2_O_6_(OH)",Na
Hydroxykenomicrolite,"([box],Na,Sb^3+^)_2_Ta^5+^_2_O_6_(OH)",Sb
Hydroxykenomicrolite,"([box],Na,Sb^3+^)_2_Ta^5+^_2_O_6_(OH)",Ta
Hydroxykenomicrolite,"([box],Na,Sb^3+^)_2_Ta^5+^_2_O_6_(OH)",O
Hydroxykenomicrolite,"([box],Na,Sb^3+^)_2_Ta^5+^_2_O_6_(OH)",H
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,Na
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,K
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,Sb
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,S
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,O
Cetineite,NaK_5_Sb_14_S_6_O_18_·6H_2_O,H
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,Ca
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,Al
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,Si
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,O
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,H
Chabazite-K,(K_2_NaCa_0.5_)Al_4_Si_8_O_24_·11H_2_O,K
Chabazite-K,(K_2_NaCa_0.5_)Al_4_Si_8_O_24_·11H_2_O,Na
Chabazite-K,(K_2_NaCa_0.5_)Al_4_Si_8_O_24_·11H_2_O,Ca
