mineral_name,rruff_chemistry,element,redox
Acetamide,CH_3_CONH_2_,H,1
Acetamide,CH_3_CONH_2_,O,-2
Acetamide,CH_3_CONH_2_,N,0
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca,0
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Mg,0
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Fe,2
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Si,0
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,O,-2
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,H,1
Acuminite,SrAlF_4_(OH)·H_2_O,Sr,0
Acuminite,SrAlF_4_(OH)·H_2_O,Al,0
Acuminite,SrAlF_4_(OH)·H_2_O,F,0
Acuminite,SrAlF_4_(OH)·H_2_O,O,-2
Acuminite,SrAlF_4_(OH)·H_2_O,H,1
Adamite,Zn^2+^_2_As^5+^O_4_(OH),Zn,2
Adamite,Zn^2+^_2_As^5+^O_4_(OH),As,5
Adamite,Zn^2+^_2_As^5+^O_4_(OH),O,-2
Adamite,Zn^2+^_2_As^5+^O_4_(OH),H,1
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,Na,0
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,Y,3
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,C,0
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,O,-2
Adamsite-(Y),NaY^3+^(CO_3_)_2_·6H_2_O,H,1
Adelite,CaMgAs^5+^O_4_(OH),Ca,0
Adelite,CaMgAs^5+^O_4_(OH),Mg,0
Adelite,CaMgAs^5+^O_4_(OH),As,5
Adelite,CaMgAs^5+^O_4_(OH),O,-2
Adelite,CaMgAs^5+^O_4_(OH),H,1
Aegirine,NaFe^3+^Si_2_O_6_,Na,0
Aegirine,NaFe^3+^Si_2_O_6_,Fe,3
Aegirine,NaFe^3+^Si_2_O_6_,Si,0
Aegirine,NaFe^3+^Si_2_O_6_,O,-2
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na,0
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Fe,2
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Ti,4
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],O,-2
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Si,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Ca,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Na,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Fe,3
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Fe,2
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Mg,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Al,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",Si,0
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",O,-2
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",H,1
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_[Si_12_O_36_(OH)_12_](CO_3_)·12H_2_O",C,0
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ce,3
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ca,0
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Fe,2
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Th,4
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ti,4
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Nb,5
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",O,-2
Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",H,1
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Nd,3
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ln,3
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ca,0
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ti,4
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Nb,5
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",O,-2
Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",H,1
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Y,3
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ca,0
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Th,4
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ti,4
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Nb,5
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",O,-2
Aeschynite-(Y),"(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",H,1
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Na,0
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Ca,0
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Si,0
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Al,0
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,O,-2
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,S,6
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Cl,0
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca,0
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Si,0
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,O,-2
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,H,1
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Ce,3
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu,2
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As,5
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O,-2
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H,1
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,La,3
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu,2
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As,5
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O,-2
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H,1
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Nd,3
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu,2
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As,5
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O,-2
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H,1
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Y,3
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu,2
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As,5
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O,-2
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H,1
Agrellite,NaCa_2_Si_4_O_10_F,Na,0
Agrellite,NaCa_2_Si_4_O_10_F,Ca,0
Agrellite,NaCa_2_Si_4_O_10_F,Si,0
Agrellite,NaCa_2_Si_4_O_10_F,O,-2
Agrellite,NaCa_2_Si_4_O_10_F,F,0
Aguilarite,Ag_4_SeS,Ag,0
Aguilarite,Ag_4_SeS,Se,0
Aguilarite,Ag_4_SeS,S,0
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Ni,2
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Se,4
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,O,-2
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,H,1
Aikinite,CuPbBiS_3_,Cu,0
Aikinite,CuPbBiS_3_,Pb,0
Aikinite,CuPbBiS_3_,Bi,0
Aikinite,CuPbBiS_3_,S,0
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K,0
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Cu,2
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Al,0
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Si,0
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,O,-2
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,H,1
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Fe,3
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Ni,2
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",O,-2
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",H,1
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Cl,0
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Mn,2
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Al,0
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Si,0
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,O,-2
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,H,1
Akdalaite,(Al_2_O_3_)_5_·H_2_O,Al,0
Akdalaite,(Al_2_O_3_)_5_·H_2_O,O,-2
Akdalaite,(Al_2_O_3_)_5_·H_2_O,H,1
Akermanite,Ca_2_MgSi_2_O_7_,Ca,0
Akermanite,Ca_2_MgSi_2_O_7_,Mg,0
Akermanite,Ca_2_MgSi_2_O_7_,Si,0
Akermanite,Ca_2_MgSi_2_O_7_,O,-2
Akhtenskite,Mn^4+^O_2_,Mn,4
Akhtenskite,Mn^4+^O_2_,O,-2
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,Mn,2
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,As,5
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,O,-2
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,H,1
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,Mg,0
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,B,0
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,O,-2
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,H,1
Aktashite,Cu_6_Hg_3_As_4_S_12_,Cu,0
Aktashite,Cu_6_Hg_3_As_4_S_12_,Hg,0
Aktashite,Cu_6_Hg_3_As_4_S_12_,As,0
Aktashite,Cu_6_Hg_3_As_4_S_12_,S,0
Alabandite,Mn^2+^S^2-^,Mn,2
Alabandite,Mn^2+^S^2-^,S,-2
Alacranite,As_8_S_9_,As,0
Alacranite,As_8_S_9_,S,0
Alamosite,Pb^2+^SiO_3_,Pb,2
Alamosite,Pb^2+^SiO_3_,Si,0
Alamosite,Pb^2+^SiO_3_,O,-2
Alarsite,AlAs^5+^O_4_,Al,0
Alarsite,AlAs^5+^O_4_,As,5
Alarsite,AlAs^5+^O_4_,O,-2
Albite,NaAlSi_3_O_8_,Na,0
Albite,NaAlSi_3_O_8_,Al,0
Albite,NaAlSi_3_O_8_,Si,0
Albite,NaAlSi_3_O_8_,O,-2
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Ca,0
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Mg,0
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,U,6
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,O,-2
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,C,0
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,F,0
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,H,1
Alforsite,Ba_5_(PO_4_)_3_Cl,Ba,0
Alforsite,Ba_5_(PO_4_)_3_Cl,P,0
Alforsite,Ba_5_(PO_4_)_3_Cl,O,-2
Alforsite,Ba_5_(PO_4_)_3_Cl,Cl,0
Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),Cu,0
Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),As,0
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Ca,0
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Mg,0
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Si,0
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Al,0
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",O,-2
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",H,1
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca,0
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ce,0
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Al,0
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Fe,2
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Si,0
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),O,-2
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),H,1
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca,0
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Y,0
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Al,0
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Fe,2
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Si,0
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),O,-2
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),H,1
Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Ag,0
Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Sb,0
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Mn,2
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Si,0
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,O,-2
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,H,1
Alloclasite,Co^3+^(AsS)^3-^,Co,3
Alloclasite,Co^3+^(AsS)^3-^,As,0
Alloclasite,Co^3+^(AsS)^3-^,S,0
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al,0
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,O,-2
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Si,0
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,H,1
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Na,0
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Ca,0
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Mn,2
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Ti,4
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Nb,5
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Si,0
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",O,-2
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Cl,0
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",H,1
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Na,0
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Ca,0
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Mn,2
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Mn,2
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Mg,0
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Fe,2
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Fe,3
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",P,0
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",O,-2
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Fe,2
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Al,0
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Si,0
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,O,-2
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Na,0
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Sr,0
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",K,0
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Zn,2
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Ti,4
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Nb,5
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Si,0
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",O,-2
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",H,1
Alstonite,BaCa(CO_3_)_2_,Ba,0
Alstonite,BaCa(CO_3_)_2_,Ca,0
