mineral_name,rruff_chemistry,element,redox
Innelite,Ba_4_Ti^4+^_2_Na(NaCa)Ti^4+^(Si_2_O_7_)_2_[(S^6+^O_4_)(P^5+^O_4_)]O_2_[O(OH)],P,5
Innelite,Ba_4_Ti^4+^_2_Na(NaCa)Ti^4+^(Si_2_O_7_)_2_[(S^6+^O_4_)(P^5+^O_4_)]O_2_[O(OH)],H,1
Insizwaite,PtBi_2_,Pt,0
Insizwaite,PtBi_2_,Bi,0
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",Na,0
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",Mn,2
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",Ti,4
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",Nb,5
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",Si,0
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",O,-2
Intersilite,"Na_6_Mn^2+^(Ti^4+^,Nb^5+^)Si_10_(O,OH)_28_·4H_2_O",H,1
Inyoite,CaB_3_O_3_(OH)_5_·4H_2_O,Ca,0
Inyoite,CaB_3_O_3_(OH)_5_·4H_2_O,B,0
Inyoite,CaB_3_O_3_(OH)_5_·4H_2_O,O,-2
Inyoite,CaB_3_O_3_(OH)_5_·4H_2_O,H,1
Iodargyrite,Ag^1+^I^1-^,Ag,1
Iodargyrite,Ag^1+^I^1-^,I,-1
Iowaite,Mg_6_Fe^3+^_2_(OH)_16_Cl_2_·4H_2_O,Mg,0
Iowaite,Mg_6_Fe^3+^_2_(OH)_16_Cl_2_·4H_2_O,Fe,3
Iowaite,Mg_6_Fe^3+^_2_(OH)_16_Cl_2_·4H_2_O,O,-2
Iowaite,Mg_6_Fe^3+^_2_(OH)_16_Cl_2_·4H_2_O,H,1
Iowaite,Mg_6_Fe^3+^_2_(OH)_16_Cl_2_·4H_2_O,Cl,0
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,K,0
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,Na,0
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,Mg,0
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,Cr,6
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,O,-2
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,B,0
Iquiqueite,K_3_Na_4_Mg(Cr^6+^O_4_)B_24_O_39_(OH)·12H_2_O,H,1
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,Pb,2
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,Cu,2
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,Cr,6
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,O,-2
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,Si,0
Iranite,Pb^2+^_10_Cu^2+^(Cr^6+^O_4_)_6_(SiO_4_)_2_(OH)_2_,H,1
Irarsite,Ir^3+^(AsS)^3-^,Ir,3
Irarsite,Ir^3+^(AsS)^3-^,As,0
Irarsite,Ir^3+^(AsS)^3-^,S,0
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,Ca,0
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,Mg,0
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,As,5
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,As,5
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,O,-2
Irhtemite,Ca_4_Mg(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,H,1
Iridarsenite,IrAs_2_,Ir,0
Iridarsenite,IrAs_2_,As,0
Iridium,Ir,Ir,0
Iriginite,(U^6+^O_2_)Mo^6+^_2_O_7_·3H_2_O,U,6
Iriginite,(U^6+^O_2_)Mo^6+^_2_O_7_·3H_2_O,O,-2
Iriginite,(U^6+^O_2_)Mo^6+^_2_O_7_·3H_2_O,Mo,6
Iriginite,(U^6+^O_2_)Mo^6+^_2_O_7_·3H_2_O,H,1
Iron,Fe,Fe,0
Irtyshite,Na_2_Ta^5+^_4_O_11_,Na,0
Irtyshite,Na_2_Ta^5+^_4_O_11_,Ta,5
Irtyshite,Na_2_Ta^5+^_4_O_11_,O,-2
Isocubanite,Cu^1+^Fe^2+^Fe^3+^S^2-^_3_,Cu,1
Isocubanite,Cu^1+^Fe^2+^Fe^3+^S^2-^_3_,Fe,2
Isocubanite,Cu^1+^Fe^2+^Fe^3+^S^2-^_3_,Fe,3
Isocubanite,Cu^1+^Fe^2+^Fe^3+^S^2-^_3_,S,-2
Isoferroplatinum,Pt_3_Fe,Pt,0
Isoferroplatinum,Pt_3_Fe,Fe,0
Isokite,CaMgP^5+^O_4_F,Ca,0
Isokite,CaMgP^5+^O_4_F,Mg,0
Isokite,CaMgP^5+^O_4_F,P,5
Isokite,CaMgP^5+^O_4_F,O,-2
Isokite,CaMgP^5+^O_4_F,F,0
Isolueshite,NaNb^5+^O_3_,Na,0
Isolueshite,NaNb^5+^O_3_,Nb,5
Isolueshite,NaNb^5+^O_3_,O,-2
Isomertieite,Pd_11_Sb_2_As_2_,Pd,0
Isomertieite,Pd_11_Sb_2_As_2_,Sb,0
Isomertieite,Pd_11_Sb_2_As_2_,As,0
Isovite,"(Cr,Fe)_23_C_6_",Cr,0
Isovite,"(Cr,Fe)_23_C_6_",Fe,0
Isovite,"(Cr,Fe)_23_C_6_",C,0
Itoite,Pb^2+^_3_GeO_2_(S^6+^O_4_)_2_(OH)_2_,Pb,2
Itoite,Pb^2+^_3_GeO_2_(S^6+^O_4_)_2_(OH)_2_,Ge,0
Itoite,Pb^2+^_3_GeO_2_(S^6+^O_4_)_2_(OH)_2_,O,-2
Itoite,Pb^2+^_3_GeO_2_(S^6+^O_4_)_2_(OH)_2_,S,6
Itoite,Pb^2+^_3_GeO_2_(S^6+^O_4_)_2_(OH)_2_,H,1
Ixiolite,"(Ta^5+^,Mn^2+^,Nb^5+^)O_2_",Ta,5
Ixiolite,"(Ta^5+^,Mn^2+^,Nb^5+^)O_2_",Mn,2
Ixiolite,"(Ta^5+^,Mn^2+^,Nb^5+^)O_2_",Nb,5
Ixiolite,"(Ta^5+^,Mn^2+^,Nb^5+^)O_2_",O,-2
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",Pb,0
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",Cu,0
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",Fe,0
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",Sb,0
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",Bi,0
Izoklakeite,"Pb_26.4_(Cu,Fe)_2_(Sb,Bi)_19.6_S_57_",S,0
Jachymovite,(U^6+^O_2_)_8_(S^6+^O_4_)(OH)_14_·13H_2_O,U,6
Jachymovite,(U^6+^O_2_)_8_(S^6+^O_4_)(OH)_14_·13H_2_O,O,-2
Jachymovite,(U^6+^O_2_)_8_(S^6+^O_4_)(OH)_14_·13H_2_O,S,6
Jachymovite,(U^6+^O_2_)_8_(S^6+^O_4_)(OH)_14_·13H_2_O,H,1
Jacobsite,Mn^2+^Fe^3+^_2_O_4_,Mn,2
Jacobsite,Mn^2+^Fe^3+^_2_O_4_,Fe,3
Jacobsite,Mn^2+^Fe^3+^_2_O_4_,O,-2
Jadeite,NaAlSi_2_O_6_,Na,0
Jadeite,NaAlSi_2_O_6_,Al,0
Jadeite,NaAlSi_2_O_6_,Si,0
Jadeite,NaAlSi_2_O_6_,O,-2
Jaffeite,Ca_6_Si_2_O_7_(OH)_6_,Ca,0
Jaffeite,Ca_6_Si_2_O_7_(OH)_6_,Si,0
Jaffeite,Ca_6_Si_2_O_7_(OH)_6_,O,-2
Jaffeite,Ca_6_Si_2_O_7_(OH)_6_,H,1
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Pb,2
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Pb,2
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Fe,3
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Fe,3
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Fe,3
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Si,0
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",O,-2
Jagoite,"Pb^2+^_9_Fe^3+^_2_[Si_2_(Si,Fe^3+^)_3_][Pb^2+^_2_Si_8_(Si,Fe^3+^)_2_]O_41_Cl_3_",Cl,0
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Ca,0
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Fe,2
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Fe,3
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,P,5
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,O,-2
Jahnsite-(CaMnFe),CaMn^2+^Fe^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,H,1
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Ca,0
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mg,0
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Fe,3
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,P,5
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,O,-2
Jahnsite-(CaMnMg),CaMn^2+^Mg_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,H,1
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Ca,0
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Fe,3
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,P,5
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,O,-2
Jahnsite-(CaMnMn),CaMn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,H,1
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Mn,2
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,Fe,3
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,P,5
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,O,-2
Jahnsite-(MnMnMn),Mn^2+^Mn^2+^Mn^2+^_2_Fe^3+^_2_(P^5+^O_4_)_4_(OH)_2_·8H_2_O,H,1
Jalpaite,Ag^1+^_3_Cu^1+^S^2-^_2_,Ag,1
Jalpaite,Ag^1+^_3_Cu^1+^S^2-^_2_,Cu,1
Jalpaite,Ag^1+^_3_Cu^1+^S^2-^_2_,S,-2
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],Ni,2
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],Co,3
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],O,-2
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],H,1
Jamborite,Ni^2+^_1-x_Co^3+^_x_(OH)_2-x_(S^6+^O_4_)_x_·nH_2_O [x ≤ 1/3; n ≤ (1-x)],S,6
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",Pb,2
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",Zn,2
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",Zn,2
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",Fe,3
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",Fe,3
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",As,5
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",O,-2
Jamesite,"Pb^2+^_2_Zn^2+^Fe^3+^_2_(Fe^3+^,Zn^2+^)_4_(As^5+^O_4_)_4_(OH)_8_(OH,O)_2_",H,1
Jamesonite,Pb^2+^_4_Fe^2+^Sb^3+^_6_S^2-^_14_,Pb,2
Jamesonite,Pb^2+^_4_Fe^2+^Sb^3+^_6_S^2-^_14_,Fe,2
Jamesonite,Pb^2+^_4_Fe^2+^Sb^3+^_6_S^2-^_14_,Sb,3
Jamesonite,Pb^2+^_4_Fe^2+^Sb^3+^_6_S^2-^_14_,S,-2
Janggunite,"(Mn^4+^,Mn^2+^,Fe^3+^)_6_O_8_(OH)_6_",Mn,4
Janggunite,"(Mn^4+^,Mn^2+^,Fe^3+^)_6_O_8_(OH)_6_",Mn,2
Janggunite,"(Mn^4+^,Mn^2+^,Fe^3+^)_6_O_8_(OH)_6_",Fe,3
Janggunite,"(Mn^4+^,Mn^2+^,Fe^3+^)_6_O_8_(OH)_6_",O,-2
Janggunite,"(Mn^4+^,Mn^2+^,Fe^3+^)_6_O_8_(OH)_6_",H,1
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",Na,0
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",Mn,2
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",Ti,4
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",Si,0
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",O,-2
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",H,1
Janhaugite,"Na_3_Mn^2+^_3_Ti^4+^_2_(Si_2_O_7_)_2_(O,OH,F)_4_",F,0
Jankovicite,"Tl_5_Sb_9_(As,Sb)_4_S_22_",Tl,0
Jankovicite,"Tl_5_Sb_9_(As,Sb)_4_S_22_",Sb,0
Jankovicite,"Tl_5_Sb_9_(As,Sb)_4_S_22_",As,0
Jankovicite,"Tl_5_Sb_9_(As,Sb)_4_S_22_",S,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",Na,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",Sr,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",Mg,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",Al,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",F,0
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",O,-2
Jarlite,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4__",H,1
Jarosewichite,Mn^3+^Mn^2+^_3_As^5+^O_4_(OH)_6_,Mn,3
Jarosewichite,Mn^3+^Mn^2+^_3_As^5+^O_4_(OH)_6_,Mn,2
Jarosewichite,Mn^3+^Mn^2+^_3_As^5+^O_4_(OH)_6_,As,5
Jarosewichite,Mn^3+^Mn^2+^_3_As^5+^O_4_(OH)_6_,O,-2
Jarosewichite,Mn^3+^Mn^2+^_3_As^5+^O_4_(OH)_6_,H,1
Jarosite,KFe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,K,0
Jarosite,KFe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,Fe,3
Jarosite,KFe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,S,6
Jarosite,KFe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,O,-2
Jarosite,KFe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,H,1
Jaskolskiite,"Cu_0.15_Pb_2.15_(Sb,Bi)_1.85_S_5_",Cu,0
Jaskolskiite,"Cu_0.15_Pb_2.15_(Sb,Bi)_1.85_S_5_",Pb,0
Jaskolskiite,"Cu_0.15_Pb_2.15_(Sb,Bi)_1.85_S_5_",Sb,0
Jaskolskiite,"Cu_0.15_Pb_2.15_(Sb,Bi)_1.85_S_5_",Bi,0
Jaskolskiite,"Cu_0.15_Pb_2.15_(Sb,Bi)_1.85_S_5_",S,0
Jasmundite,Ca_11_O_2_(SiO_4_)_4_S^2-^,Ca,0
Jasmundite,Ca_11_O_2_(SiO_4_)_4_S^2-^,O,-2
Jasmundite,Ca_11_O_2_(SiO_4_)_4_S^2-^,Si,0
Jasmundite,Ca_11_O_2_(SiO_4_)_4_S^2-^,S,-2
Jeanbandyite,Fe^3+^Sn^4+^(OH)_5_O,Fe,3
Jeanbandyite,Fe^3+^Sn^4+^(OH)_5_O,Sn,4
Jeanbandyite,Fe^3+^Sn^4+^(OH)_5_O,O,-2
Jeanbandyite,Fe^3+^Sn^4+^(OH)_5_O,H,1
Jedwabite,Fe_7_Ta_3_,Fe,0
Jedwabite,Fe_7_Ta_3_,Ta,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",Ca,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",Na,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",Be,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",Al,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",Si,0
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",O,-2
Jeffreyite,"(Ca,Na)_2_(Be,Al)Si_2_(O,OH)_7_",H,1
Jennite,Ca_9_(Si_3_O_9_)_2_(OH)_6_·8H_2_O,Ca,0
Jennite,Ca_9_(Si_3_O_9_)_2_(OH)_6_·8H_2_O,Si,0
Jennite,Ca_9_(Si_3_O_9_)_2_(OH)_6_·8H_2_O,O,-2
Jennite,Ca_9_(Si_3_O_9_)_2_(OH)_6_·8H_2_O,H,1
Jensenite,Cu^2+^_3_Te^6+^O_6_·2H_2_O,Cu,2
Jensenite,Cu^2+^_3_Te^6+^O_6_·2H_2_O,Te,6
Jensenite,Cu^2+^_3_Te^6+^O_6_·2H_2_O,O,-2
Jensenite,Cu^2+^_3_Te^6+^O_6_·2H_2_O,H,1
Jentschite,PbTlAs_2_SbS_6_,Tl,0
Jentschite,PbTlAs_2_SbS_6_,Pb,0
Jentschite,PbTlAs_2_SbS_6_,As,0
Jentschite,PbTlAs_2_SbS_6_,Sb,0
Jentschite,PbTlAs_2_SbS_6_,S,0
Jeppeite,"(K,Ba)_2_(Ti^4+^,Fe^3+^)_6_O_13_",K,0
Jeppeite,"(K,Ba)_2_(Ti^4+^,Fe^3+^)_6_O_13_",Ba,0
Jeppeite,"(K,Ba)_2_(Ti^4+^,Fe^3+^)_6_O_13_",Ti,4
Jeppeite,"(K,Ba)_2_(Ti^4+^,Fe^3+^)_6_O_13_",Fe,3
Jeppeite,"(K,Ba)_2_(Ti^4+^,Fe^3+^)_6_O_13_",O,-2
Jeremejevite,Al_6_(BO_3_)_5_F_3_,Al,0
Jeremejevite,Al_6_(BO_3_)_5_F_3_,B,0
Jeremejevite,Al_6_(BO_3_)_5_F_3_,O,-2
Jeremejevite,Al_6_(BO_3_)_5_F_3_,F,0
Jerrygibbsite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,Mn,2
Jerrygibbsite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,Si,0
Jerrygibbsite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,O,-2
Jerrygibbsite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,H,1
Jervisite,NaSc^3+^Si_2_O_6_,Na,0
Jervisite,NaSc^3+^Si_2_O_6_,Sc,3
Jervisite,NaSc^3+^Si_2_O_6_,Si,0
Jervisite,NaSc^3+^Si_2_O_6_,O,-2
Jianshuiite,MgMn^4+^_3_O_7_·3H_2_O,Mg,0
Jianshuiite,MgMn^4+^_3_O_7_·3H_2_O,Mn,4
Jianshuiite,MgMn^4+^_3_O_7_·3H_2_O,O,-2
Jianshuiite,MgMn^4+^_3_O_7_·3H_2_O,H,1
Jimboite,Mn^2+^_3_(BO_3_)_2_,Mn,2
Jimboite,Mn^2+^_3_(BO_3_)_2_,B,0
Jimboite,Mn^2+^_3_(BO_3_)_2_,O,-2
Jimthompsonite,Mg_5_Si_6_O_16_(OH)_2_,Mg,0
Jimthompsonite,Mg_5_Si_6_O_16_(OH)_2_,Si,0
Jimthompsonite,Mg_5_Si_6_O_16_(OH)_2_,O,-2
Jimthompsonite,Mg_5_Si_6_O_16_(OH)_2_,H,1
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,Ba,0
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,Na,0
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,Fe,2
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,Ti,4
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,Si,0
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,O,-2
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,H,1
Jinshajiangite,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F,F,0
Joaquinite-(Ce),NaBa_2_Fe^2+^Ti^4+^_2_Ce^3+^_2_(Si_4_O_12_)_2_O_2_(OH)·H_2_O,Na,0
Joaquinite-(Ce),NaBa_2_Fe^2+^Ti^4+^_2_Ce^3+^_2_(Si_4_O_12_)_2_O_2_(OH)·H_2_O,Ba,0
Joaquinite-(Ce),NaBa_2_Fe^2+^Ti^4+^_2_Ce^3+^_2_(Si_4_O_12_)_2_O_2_(OH)·H_2_O,Fe,2
Joaquinite-(Ce),NaBa_2_Fe^2+^Ti^4+^_2_Ce^3+^_2_(Si_4_O_12_)_2_O_2_(OH)·H_2_O,Ti,4
