from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name,color
Berthierite,Fe+2,2,4,1,2.1533333333333333,0.1790386710418083,2,Berthierite,#800080
Berthierite,Sb+3,3,4,1,2.1533333333333333,0.1790386710418083,3,Berthierite,#800080
Berthierite,S-2,-2,4,1,2.1533333333333333,0.1790386710418083,-2,Berthierite,#800080
Bornite,Cu+1,1,4,6,2.1033333333333335,0.19696665703785887,1,Bornite,#800080
Bornite,Fe+3,3,4,6,2.1033333333333335,0.19696665703785887,3,Bornite,#800080
Bornite,S-2,-2,4,6,2.1033333333333335,0.19696665703785887,-2,Bornite,#800080
Chalcopyrite,Cu+1,1,4,34,2.1033333333333335,0.19696665703785887,1,Chalcopyrite,#800080
Chalcopyrite,Fe+3,3,4,34,2.1033333333333335,0.19696665703785887,3,Chalcopyrite,#800080
Chalcopyrite,S-2,-2,4,34,2.1033333333333335,0.19696665703785887,-2,Chalcopyrite,#800080
Chloritoid,Fe+2,2,4,2,2.196,0.33093148123127053,2,Chloritoid,#800080
Chloritoid,Al,NA,4,2,2.196,0.33093148123127053,NA,Chloritoid,#800080
Chloritoid,O-2,-2,4,2,2.196,0.33093148123127053,-2,Chloritoid,#800080
Chloritoid,Si+4,4,4,2,2.196,0.33093148123127053,4,Chloritoid,#800080
Chloritoid,H+1,1,4,2,2.196,0.33093148123127053,1,Chloritoid,#800080
Chromite,Fe+2,2,4.7,7,2.31,0.42523516677094486,2,Chromite,#800080
Chromite,Cr+3,3,4.7,7,2.31,0.42523516677094486,3,Chromite,#800080
Chromite,O-2,-2,4.7,7,2.31,0.42523516677094486,-2,Chromite,#800080
Cohenite,C,NA,4.62,1,2.19,0.23247346230790597,NA,Cohenite,#800080
Cohenite,Fe,NA,4.62,1,2.19,0.23247346230790597,NA,Cohenite,#800080
Coulsonite,Fe+2,2,4.5685,2,2.3,0.4314437011903018,2,Coulsonite,#800080
Coulsonite,V+3,3,4.5685,2,2.3,0.4314437011903018,3,Coulsonite,#800080
Coulsonite,O-2,-2,4.5685,2,2.3,0.4314437011903018,-2,Coulsonite,#800080
Cronstedtite,Fe+2,2,4.7,3,2.171666666666667,0.2936582058787341,2,Cronstedtite,#800080
Cronstedtite,Fe+3,3,4.7,3,2.171666666666667,0.2936582058787341,3,Cronstedtite,#800080
Cronstedtite,Si+4,4,4.7,3,2.171666666666667,0.2936582058787341,4,Cronstedtite,#800080
Cronstedtite,O-2,-2,4.7,3,2.171666666666667,0.2936582058787341,-2,Cronstedtite,#800080
Cronstedtite,H+1,1,4.7,3,2.171666666666667,0.2936582058787341,1,Cronstedtite,#800080
Cubanite,Cu+1,1,4,2,2.035,0.1792770156948865,1,Cubanite,#800080
Cubanite,Fe+2,2,4,2,2.035,0.1792770156948865,2,Cubanite,#800080
Cubanite,Fe+3,3,4,2,2.035,0.1792770156948865,3,Cubanite,#800080
Cubanite,S-2,-2,4,2,2.035,0.1792770156948865,-2,Cubanite,#800080
Daubreelite,Fe+2,2,4.62,2,2.0233333333333334,0.24193916536092305,2,Daubreelite,#800080
Daubreelite,Cr+3,3,4.62,2,2.0233333333333334,0.24193916536092305,3,Daubreelite,#800080
Daubreelite,S-2,-2,4.62,2,2.0233333333333334,0.24193916536092305,-2,Daubreelite,#800080
Epidote,Ca+2,2,4,5,1.9966666666666666,0.40715943090790796,2,Epidote,#800080
Epidote,Al,NA,4,5,1.9966666666666666,0.40715943090790796,NA,Epidote,#800080
Epidote,Fe+3,3,4,5,1.9966666666666666,0.40715943090790796,3,Epidote,#800080
Epidote,Si+4,4,4,5,1.9966666666666666,0.40715943090790796,4,Epidote,#800080
Epidote,O-2,-2,4,5,1.9966666666666666,0.40715943090790796,-2,Epidote,#800080
