cluster_ID,Degree centrality (normalized),Closeness centrality,Number of known localities,Maximum known age (Ga) of mineral,Mean mineral electronegativity,COV mineral electronegativity
6,0.8571428571428571,0.003289473684210526,2,4,1.9466666666666668,0.4365854110792049
6,0.7142857142857143,0.0032679738562091504,1,4.567609999999999,1.928,0.48121209172229334
6,0.5714285714285714,0.003067484662576687,2,4.5685,2.0425,0.49811238588990825
6,0.7142857142857143,0.0033333333333333335,4,4,2.026,0.485980436327233
6,0.5714285714285714,0.0032467532467532465,2,4.567609999999999,2.0300000000000002,0.47476713842859497
1,0.42857142857142855,0.002645502645502646,15,4,2.1966666666666668,0.1708396092442747
6,0.8571428571428571,0.0033783783783783786,8,4.7,1.885,0.4462639074229774
1,0.2857142857142857,0.002272727272727273,3,4.62,1.87,0.030250557483916415
1,0.42857142857142855,0.00228310502283105,1,4.62,1.9766666666666666,0.09563201941826524
5,0.8571428571428571,0.003205128205128205,1,4,2.38,0.2472502545387273
2,0.42857142857142855,0.002645502645502646,1,4,2.1533333333333333,0.1790386710418083
2,0.42857142857142855,0.0024509803921568627,6,4,2.1033333333333335,0.19696665703785887
2,0.42857142857142855,0.0024509803921568627,34,4,2.1033333333333335,0.19696665703785887
6,0.7142857142857143,0.0032679738562091504,2,4,2.196,0.33093148123127053
2,0.42857142857142855,0.0032258064516129032,7,4.7,2.31,0.42523516677094486
1,0.2857142857142857,0.0024875621890547263,1,4.62,2.19,0.23247346230790597
2,0.42857142857142855,0.0032258064516129032,2,4.5685,2.3,0.4314437011903018
6,0.7142857142857143,0.0033557046979865775,3,4.7,2.171666666666667,0.2936582058787341
2,0.5714285714285714,0.0029411764705882357,2,4,2.035,0.1792770156948865
2,0.42857142857142855,0.002645502645502646,2,4.62,2.0233333333333334,0.24193916536092305
6,0.8571428571428571,0.003105590062111801,5,4,1.9966666666666666,0.40715943090790796
6,0.42857142857142855,0.0032258064516129032,1,4.567609999999999,2.39,0.38075313807531375
6,1,0.0033112582781456954,1,4,1.8442857142857143,0.45793776489805893
1,0.2857142857142857,0.002272727272727273,1,4,1.965,0.0971597103920447
6,0.42857142857142855,0.003048780487804878,4,4.62,2.49,0.33866162835637514
6,0.7142857142857143,0.0033557046979865775,2,4.7,2.24,0.30714480377290093
6,0.5714285714285714,0.0032467532467532465,2,4,2.24,0.30714480377290093
1,0.42857142857142855,0.0025,1,4.62,2.0966666666666667,0.18821810603432415
6,0.5714285714285714,0.0032467532467532465,2,4.567609999999999,2.0425,0.49811238588990825
5,0.2857142857142857,0.0030303030303030303,5,4.62,2.635,0.4320462685807747
6,0.42857142857142855,0.0032258064516129032,2,4.5685,2.2933333333333334,0.43566116694016305
3,0.7142857142857143,0.002304147465437788,2,4.7,2.1180000000000003,0.07645227053025976
