mineral_name,mineral_id,max_age_locality,min_age_locality,mindat_id,locality_longname,age_type
Arsenopyrite,955,4,2.5,109676,"Scuddles Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Arsenopyrite,955,4,2.5,255064,"Delnite Mine, Deloro Township, Porcupine Mining District, Timmins Area, Cochrane District, Ontario, Canada",O
Arsenopyrite,955,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Arsenopyrite,955,4,2.5,256957,"LaRonde Mine (LaRonde Penna Deposit; Penna Shaft), Abitibi RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,256855,"Beattie-Donchester Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,256854,"Central Duparquet Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,8598,"Beattie Mine, Duparquet, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,194599,"Normetal Mine (Abana Mine), Normetal, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,257043,"Manitou-Barvue Mine (Golden Manitou Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Arsenopyrite,955,4,2.5,36825,"Jardine Mine (Mineral Hill Mine), Jardine Mining District (Sheepeater Mining District; Bear Gulch Mining District), Park Co., Montana, USA",O
Augite,987,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Augite,987,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Augite,987,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Augite,987,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Augite,987,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Augite,987,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
