mineral_name,chemistry_elements
Hanawaltite,Hg
Hanawaltite,O
Hanawaltite,Cl
Hancockite,Ca
Hancockite,Pb
Hancockite,Fe
Hancockite,Al
Hancockite,Si
Hancockite,O
Hancockite,H
Hanksite,K
Hanksite,Na
Hanksite,S
Hanksite,O
Hanksite,C
Hanksite,Cl
Hannayite,N
Hannayite,H
Hannayite,Mg
Hannayite,P
Hannayite,O
Hannebachite,Ca
Hannebachite,S
Hannebachite,O
Hannebachite,H
Haradaite,Sr
Haradaite,V
Haradaite,Si
Haradaite,O
Hardystonite,Ca
Hardystonite,Zn
Hardystonite,Si
Hardystonite,O
Harkerite,Ca
Harkerite,Mg
Harkerite,Al
Harkerite,Si
Harkerite,O
Harkerite,B
Harkerite,C
Harkerite,H
Harmotome,Ba
Harmotome,Si
Harmotome,Al
Harmotome,O
Harmotome,H
Harrisonite,Ca
Harrisonite,Fe
Harrisonite,Si
Harrisonite,O
Harrisonite,P
Harstigite,Ca
Harstigite,Be
Harstigite,Mn
Harstigite,Si
Harstigite,O
Harstigite,H
Hashemite,Ba
Hashemite,Cr
Hashemite,O
Hastingsite,Na
Hastingsite,Ca
Hastingsite,Fe
Hastingsite,Si
Hastingsite,Al
Hastingsite,O
Hastingsite,H
Hatchite,Ag
Hatchite,Pb
Hatchite,Tl
Hatchite,As
Hatchite,S
Hatrurite,Ca
Hatrurite,Si
Hatrurite,O
Hauchecornite,Ni
Hauchecornite,Bi
Hauchecornite,Sb
Hauchecornite,S
Hauerite,Mn
Hauerite,S
Hausmannite,Mn
Hausmannite,O
Hauyne,Na
Hauyne,Ca
Hauyne,Si
Hauyne,Al
Hauyne,O
Hauyne,S
Hawleyite,Cd
Hawleyite,S
Hawthorneite,Ba
Hawthorneite,Mg
Hawthorneite,Ti
Hawthorneite,Cr
Hawthorneite,Fe
Hawthorneite,O
Haxonite,Fe
Haxonite,Ni
Haxonite,C
Haycockite,Cu
Haycockite,Fe
Haycockite,S
Heazlewoodite,Ni
Heazlewoodite,S
Hechtsbergite,Bi
Hechtsbergite,O
Hechtsbergite,V
Hechtsbergite,H
Hectorite,Na
Hectorite,Mg
Hectorite,Li
Hectorite,Si
Hectorite,O
Hectorite,F
Hectorite,H
Hedenbergite,Ca
Hedenbergite,Fe
Hedenbergite,Si
Hedenbergite,O
Hedyphane,Ca
Hedyphane,Pb
Hedyphane,As
Hedyphane,O
Hedyphane,Cl
Heinrichite,Ba
Heinrichite,U
Heinrichite,O
Heinrichite,As
Heinrichite,H
Hejtmanite,Ba
Hejtmanite,Mn
Hejtmanite,Ti
Hejtmanite,Si
Hejtmanite,O
Hejtmanite,H
Hejtmanite,F
Heliophyllite,Pb
Heliophyllite,As
Heliophyllite,O
Heliophyllite,Cl
Hellandite-(Ce),Ca
Hellandite-(Ce),REE
Hellandite-(Ce),Ce
Hellandite-(Ce),Al
Hellandite-(Ce),B
Hellandite-(Ce),Si
Hellandite-(Ce),O
Hellandite-(Ce),H
Hellandite-(Y),Ca
Hellandite-(Y),REE
Hellandite-(Y),Y
Hellandite-(Y),Al
Hellandite-(Y),B
Hellandite-(Y),Si
Hellandite-(Y),O
Hellandite-(Y),H
Hellyerite,Ni
Hellyerite,C
Hellyerite,O
Hellyerite,H
Helmutwinklerite,Pb
Helmutwinklerite,Zn
Helmutwinklerite,As
Helmutwinklerite,O
Helmutwinklerite,H
Helvine,Be
Helvine,Mn
Helvine,Si
Helvine,O
Helvine,S
Hematite,Fe
Hematite,O
Hematolite,Mn
Hematolite,Mg
Hematolite,Al
Hematolite,As
Hematolite,O
Hematolite,H
Hematophanite,Pb
Hematophanite,Fe
Hematophanite,O
Hematophanite,Cl
Hematophanite,H
Hemihedrite,Zn
Hemihedrite,Pb
Hemihedrite,Cr
Hemihedrite,O
Hemihedrite,Si
Hemihedrite,H
Hemimorphite,Zn
Hemimorphite,Si
Hemimorphite,O
Hemimorphite,H
Hemloite,Ti
Hemloite,V
Hemloite,Fe
Hemloite,Al
Hemloite,As
Hemloite,O
Hemloite,H
Hemusite,Cu
Hemusite,Sn
Hemusite,Mo
Hemusite,S
Heneuite,Ca
Heneuite,Mg
Heneuite,P
Heneuite,O
Heneuite,C
Heneuite,H
Henmilite,Ca
Henmilite,Cu
Henmilite,B
Henmilite,O
Henmilite,H
Hennomartinite,Sr
Hennomartinite,Mn
Hennomartinite,Si
Hennomartinite,O
Hennomartinite,H
Henritermierite,Ca
Henritermierite,Mn
Henritermierite,Si
Henritermierite,O
Henritermierite,H
Henryite,Cu
Henryite,Ag
Henryite,Te
Henrymeyerite,Ba
Henrymeyerite,Ti
Henrymeyerite,Fe
Henrymeyerite,O
Hentschelite,Cu
Hentschelite,Fe
Hentschelite,P
Hentschelite,O
Hentschelite,H
Hercynite,Fe
Hercynite,Al
Hercynite,O
Herderite,Ca
Herderite,Be
Herderite,P
Herderite,O
Herderite,F
Hessite,Ag
Hessite,Te
Hetaerolite,Zn
Hetaerolite,Mn
Hetaerolite,O
Heterogenite,Co
Heterogenite,O
Heterogenite,H
Heteromorphite,Pb
Heteromorphite,Sb
Heteromorphite,S
Heterosite,Fe
Heterosite,P
Heterosite,O
Heulandite-Ca,Ca
Heulandite-Ca,Na
Heulandite-Ca,K
Heulandite-Ca,Si
Heulandite-Ca,Al
Heulandite-Ca,O
Heulandite-Ca,H
Heulandite-K,K
Heulandite-K,Ca
Heulandite-K,Na
Heulandite-K,Si
Heulandite-K,Al
Heulandite-K,O
Heulandite-K,H
Heulandite-Na,Na
Heulandite-Na,Ca
Heulandite-Na,K
Heulandite-Na,Si
Heulandite-Na,Al
Heulandite-Na,O
Heulandite-Na,H
Heulandite-Sr,Sr
Heulandite-Sr,Ca
Heulandite-Sr,Na
Heulandite-Sr,Si
Heulandite-Sr,Al
Heulandite-Sr,O
Heulandite-Sr,H
Hewettite,Ca
Hewettite,V
Hewettite,O
Hewettite,H
Hexahydrite,Mg
Hexahydrite,S
Hexahydrite,O
Hexahydrite,H
Hexahydroborite,Ca
Hexahydroborite,B
Hexahydroborite,O
Hexahydroborite,H
Heyite,Pb
Heyite,Fe
Heyite,O
Heyite,V
Heyrovskyite,Pb
Heyrovskyite,Bi
Heyrovskyite,S
Hiarneite,Ca
Hiarneite,Mn
Hiarneite,Na
Hiarneite,Zr
Hiarneite,Sb
Hiarneite,Ti
Hiarneite,Fe
Hiarneite,O
Hibbingite,Fe
Hibbingite,O
Hibbingite,H
Hibbingite,Cl
Hibonite,Ca
Hibonite,Ce
Hibonite,Al
Hibonite,Ti
Hibonite,Mg
Hibonite,O
Hidalgoite,Pb
Hidalgoite,Al
Hidalgoite,S
Hidalgoite,O
Hidalgoite,As
Hidalgoite,H
Hilairite,Na
Hilairite,Zr
Hilairite,Si
Hilairite,O
Hilairite,H
Hillebrandite,Ca
Hillebrandite,Si
Hillebrandite,O
Hillebrandite,H
Hingganite-(Y),Be
Hingganite-(Y),Y
Hingganite-(Y),Si
Hingganite-(Y),O
Hingganite-(Y),H
Hingganite-(Yb),Be
Hingganite-(Yb),Yb
Hingganite-(Yb),Si
Hingganite-(Yb),O
Hingganite-(Yb),H
Hinsdalite,Pb
Hinsdalite,Al
Hinsdalite,S
Hinsdalite,O
Hinsdalite,P
Hinsdalite,H
Hisingerite,Fe
Hisingerite,Si
Hisingerite,O
Hisingerite,H
Hocartite,Ag
Hocartite,Fe
Hocartite,Sn
Hocartite,S
Hochelagaite,Ca
Hochelagaite,Nb
Hochelagaite,O
Hochelagaite,H
Hodgkinsonite,Zn
Hodgkinsonite,Mn
Hodgkinsonite,Si
Hodgkinsonite,O
Hodgkinsonite,H
Hodrusite,Cu
Hodrusite,Bi
Hodrusite,S
Hoganite,Cu
Hoganite,C
Hoganite,H
Hoganite,O
Hogtuvaite,Ca
Hogtuvaite,Fe
Hogtuvaite,O
Hogtuvaite,Si
Hogtuvaite,Be
Hogtuvaite,Al
Hohmannite,Fe
Hohmannite,O
Hohmannite,S
Hohmannite,H
Holdawayite,Mn
Holdawayite,C
Holdawayite,O
Holdawayite,H
Holdawayite,Cl
Holdenite,Mn
Holdenite,Zn
Holdenite,As
Holdenite,O
Holdenite,Si
Holdenite,H
Hollandite,Ba
Hollandite,Mn
Hollandite,O
Hollingworthite,Rh
Hollingworthite,As
Hollingworthite,S
Holmquistite,Li
Holmquistite,Mg
Holmquistite,Al
Holmquistite,Si
Holmquistite,O
Holmquistite,H
Holtedahlite,Mg
Holtedahlite,P
Holtedahlite,O
Holtedahlite,H
Holtedahlite,C
Holtite,Ta
Holtite,Al
Holtite,B
Holtite,Si
Holtite,O
Homilite,Ca
Homilite,Fe
Homilite,B
Homilite,Si
Homilite,O
Honessite,Ni
Honessite,Fe
Honessite,S
Honessite,O
Honessite,H
Hopeite,Zn
Hopeite,P
Hopeite,O
Hopeite,H
Hornesite,Mg
Hornesite,As
Hornesite,O
Hornesite,H
Horvathite-(Y),Na
Horvathite-(Y),Y
Horvathite-(Y),C
Horvathite-(Y),O
Horvathite-(Y),F
Howlite,Ca
Howlite,B
Howlite,Si
Howlite,O
Howlite,H
Hsianghualite,Li
Hsianghualite,Ca
Hsianghualite,Be
Hsianghualite,Si
Hsianghualite,O
Hsianghualite,F
Huanghoite-(Ce),Ba
Huanghoite-(Ce),Ce
Huanghoite-(Ce),C
Huanghoite-(Ce),O
Huanghoite-(Ce),F
Huangite,Ca
Huangite,Al
Huangite,S
Huangite,O
Huangite,H
Hubnerite,Mn
Hubnerite,W
Hubnerite,O
Huemulite,Na
Huemulite,Mg
Huemulite,V
Huemulite,O
Huemulite,H
Hugelite,Pb
Hugelite,U
Hugelite,O
Hugelite,As
Hugelite,H
Hulsite,Fe
Hulsite,O
Hulsite,B
Humboldtine,Fe
Humboldtine,C
Humboldtine,O
Humboldtine,H
Humite,Mg
Humite,Si
Humite,O
Humite,F
Humite,H
Hummerite,K
Hummerite,Mg
Hummerite,V
Hummerite,O
Hummerite,H
Hunchunite,Au
Hunchunite,Pb
Hungchaoite,Mg
Hungchaoite,B
Hungchaoite,O
Hungchaoite,H
Huntite,Ca
Huntite,Mg
Huntite,C
Huntite,O
Hureaulite,Mn
Hureaulite,P
Hureaulite,O
Hureaulite,H
Hurlbutite,Ca
Hurlbutite,Be
Hurlbutite,P
Hurlbutite,O
Hutchinsonite,Tl
Hutchinsonite,Pb
Hutchinsonite,As
Hutchinsonite,S
Huttonite,Th
Huttonite,Si
Huttonite,O
Hyalotekite,Ba
Hyalotekite,Pb
Hyalotekite,K
Hyalotekite,Ca
Hyalotekite,Y
Hyalotekite,B
Hyalotekite,Be
Hyalotekite,Si
Hyalotekite,O
Hyalotekite,F
Hydrobasaluminite,Al
Hydrobasaluminite,S
Hydrobasaluminite,O
Hydrobasaluminite,H
Hydrobiotite,K
Hydrobiotite,Mg
Hydrobiotite,Fe
Hydrobiotite,Si
Hydrobiotite,Al
Hydrobiotite,O
Hydrobiotite,H
Hydroboracite,Ca
Hydroboracite,Mg
Hydroboracite,B
Hydroboracite,O
Hydroboracite,H
Hydrocalumite,Ca
Hydrocalumite,Al
Hydrocalumite,O
Hydrocalumite,H
Hydrocalumite,Cl
Hydrocalumite,C
Hydrocerussite,Pb
Hydrocerussite,C
Hydrocerussite,O
Hydrocerussite,H
Hydrodelhayelite,K
Hydrodelhayelite,Ca
Hydrodelhayelite,Si
Hydrodelhayelite,Al
Hydrodelhayelite,O
Hydrodelhayelite,H
Hydrodresserite,Ba
Hydrodresserite,Al
Hydrodresserite,C
Hydrodresserite,O
Hydrodresserite,H
Hydroglauberite,Na
Hydroglauberite,Ca
Hydroglauberite,S
Hydroglauberite,O
Hydroglauberite,H
Hydrohalite,Na
Hydrohalite,Cl
Hydrohalite,H
Hydrohalite,O
Hydrohonessite,Ni
Hydrohonessite,Fe
Hydrohonessite,S
Hydrohonessite,O
Hydrohonessite,H
Hydromagnesite,Mg
Hydromagnesite,C
Hydromagnesite,O
Hydromagnesite,H
Hydrombobomkulite,Ni
Hydrombobomkulite,Cu
Hydrombobomkulite,Al
Hydrombobomkulite,N
Hydrombobomkulite,O
Hydrombobomkulite,S
Hydrombobomkulite,H
Hydroniumjarosite,H
Hydroniumjarosite,O
Hydroniumjarosite,Fe
Hydroniumjarosite,S
Hydrotalcite,Mg
Hydrotalcite,Al
Hydrotalcite,C
Hydrotalcite,O
Hydrotalcite,H
Hydrotungstite,W
Hydrotungstite,O
Hydrotungstite,H
Hydrowoodwardite,Cu
Hydrowoodwardite,Al
Hydrowoodwardite,S
Hydrowoodwardite,O
Hydrowoodwardite,H
Hydroxyapophyllite-(K),K
Hydroxyapophyllite-(K),Ca
Hydroxyapophyllite-(K),Si
Hydroxyapophyllite-(K),O
Hydroxyapophyllite-(K),H
Hydroxyapophyllite-(K),F
Hydroxycancrinite,Na
Hydroxycancrinite,Ca
Hydroxycancrinite,K
Hydroxycancrinite,Al
Hydroxycancrinite,Si
Hydroxycancrinite,O
Hydroxycancrinite,H
Hydroxycancrinite,C
Hydroxylapatite,Ca
Hydroxylapatite,P
Hydroxylapatite,O
Hydroxylapatite,H
Hydroxylbastnasite-(Ce),Ce
Hydroxylbastnasite-(Ce),C
Hydroxylbastnasite-(Ce),O
Hydroxylbastnasite-(Ce),H
Hydroxylbastnasite-(Nd),Nd
Hydroxylbastnasite-(Nd),C
Hydroxylbastnasite-(Nd),O
Hydroxylbastnasite-(Nd),H
Dansite-(Mn),Na
Dansite-(Mn),Mn
Dansite-(Mn),S
Dansite-(Mn),O
Dansite-(Mn),Cl
Hydroxylclinohumite,Mg
Hydroxylclinohumite,Si
Hydroxylclinohumite,O
Hydroxylclinohumite,H
Hydroxylellestadite,Ca
Hydroxylellestadite,Si
Hydroxylellestadite,O
Hydroxylellestadite,S
Hydroxylellestadite,H
Hydroxylherderite,Ca
Hydroxylherderite,Be
Hydroxylherderite,P
Hydroxylherderite,O
Hydroxylherderite,H
Hydrozincite,Zn
Hydrozincite,C
Hydrozincite,O
Hydrozincite,H
Hypercinnabar,Hg
Hypercinnabar,S
Hyttsjoite,Pb
Hyttsjoite,Ba
Hyttsjoite,Ca
Hyttsjoite,Mn
Hyttsjoite,Fe
Hyttsjoite,Si
Hyttsjoite,O
Hyttsjoite,Cl
Hyttsjoite,H
Ianthinite,U
Ianthinite,O
Ianthinite,H
Ice,H
Ice,O
Idaite,Cu
Idaite,Fe
Idaite,S
Idrialite,C
Idrialite,H
Iimoriite-(Y),Y
Iimoriite-(Y),Si
Iimoriite-(Y),O
Iimoriite-(Y),C
Ikaite,Ca
Ikaite,C
Ikaite,O
Ikaite,H
Ikranite,Na
Ikranite,H
Ikranite,O
Ikranite,Ca
Ikranite,Mn
Ikranite,REE
Ikranite,Fe
Ikranite,Zr
Ikranite,Si
Ikranite,Cl
Ikunolite,Bi
Ikunolite,S
Ilesite,Mn
Ilesite,S
Ilesite,O
Ilesite,H
Ilinskite,Na
Ilinskite,Cu
Ilinskite,O
Ilinskite,Se
Ilinskite,Cl
Ilmenite,Fe
Ilmenite,Ti
Ilmenite,O
Iltisite,Hg
Iltisite,Ag
Iltisite,S
Iltisite,Cl
Ilvaite,Ca
Ilvaite,Fe
Ilvaite,O
Ilvaite,Si
Ilvaite,H
Slavkovite,Cu
Slavkovite,As
Slavkovite,O
Slavkovite,H
Imandrite,Na
Imandrite,Ca
Imandrite,Fe
Imandrite,Si
Imandrite,O
Imhofite,Tl
Imhofite,As
Imhofite,S
Imiterite,Ag
Imiterite,Hg
Imiterite,S
Imogolite,Al
Imogolite,Si
Imogolite,O
Imogolite,H
Inaglyite,Pb
Inaglyite,Cu
Inaglyite,Ir
Inaglyite,S
Inderite,Mg
Inderite,B
Inderite,O
Inderite,H
Indialite,Mg
Indialite,Al
Indialite,Si
Indialite,O
Indigirite,Mg
Indigirite,Al
Indigirite,C
Indigirite,O
Indigirite,H
Indium,In
Inesite,Ca
Inesite,Mn
Inesite,Si
Inesite,O
Inesite,H
Ingersonite,Ca
Ingersonite,Mn
Ingersonite,Sb
Ingersonite,O
Ingodite,Bi
Ingodite,Te
Ingodite,S
Innelite,Ba
Innelite,Ti
Innelite,Na
Innelite,Ca
Innelite,Si
Innelite,O
Innelite,S
Innelite,P
Innelite,H
Insizwaite,Pt
Insizwaite,Bi
Intersilite,Na
Intersilite,Mn
Intersilite,Ti
Intersilite,Nb
Intersilite,Si
Intersilite,O
Intersilite,H
Inyoite,Ca
Inyoite,B
Inyoite,O
Inyoite,H
Iodargyrite,Ag
Iodargyrite,I
Iowaite,Mg
Iowaite,Fe
Iowaite,O
Iowaite,H
Iowaite,Cl
Iquiqueite,K
Iquiqueite,Na
Iquiqueite,Mg
Iquiqueite,Cr
Iquiqueite,O
Iquiqueite,B
Iquiqueite,H
Iranite,Pb
Iranite,Cu
Iranite,Cr
Iranite,O
Iranite,Si
Iranite,H
Irarsite,Ir
Irarsite,As
Irarsite,S
Irhtemite,Ca
Irhtemite,Mg
Irhtemite,As
Irhtemite,O
Irhtemite,H
Iridarsenite,Ir
Iridarsenite,As
Iridium,Ir
Iriginite,U
Iriginite,O
Iriginite,Mo
Iriginite,H
Iron,Fe
Irtyshite,Na
Irtyshite,Ta
Irtyshite,O
Isocubanite,Cu
Isocubanite,Fe
Isocubanite,S
Isoferroplatinum,Pt
Isoferroplatinum,Fe
Isokite,Ca
Isokite,Mg
Isokite,P
Isokite,O
Isokite,F
Isolueshite,Na
Isolueshite,Nb
Isolueshite,O
Isomertieite,Pd
Isomertieite,Sb
Isomertieite,As
Isovite,Cr
Isovite,Fe
Isovite,C
Itoite,Pb
Itoite,Ge
Itoite,O
Itoite,S
Itoite,H
Ixiolite,Ta
Ixiolite,Mn
Ixiolite,Nb
Ixiolite,O
Izoklakeite,Pb
Izoklakeite,Cu
Izoklakeite,Fe
Izoklakeite,Sb
Izoklakeite,Bi
Izoklakeite,S
Jachymovite,U
Jachymovite,O
Jachymovite,S
Jachymovite,H
Jacobsite,Mn
Jacobsite,Fe
Jacobsite,O
Jadeite,Na
Jadeite,Al
Jadeite,Si
Jadeite,O
Jaffeite,Ca
Jaffeite,Si
Jaffeite,O
Jaffeite,H
Jagoite,Pb
Jagoite,Fe
Jagoite,Si
Jagoite,O
Jagoite,Cl
Jahnsite-(CaMnFe),Ca
Jahnsite-(CaMnFe),Mn
Jahnsite-(CaMnFe),Fe
Jahnsite-(CaMnFe),P
Jahnsite-(CaMnFe),O
Jahnsite-(CaMnFe),H
Jahnsite-(CaMnMg),Ca
Jahnsite-(CaMnMg),Mn
Jahnsite-(CaMnMg),Mg
Jahnsite-(CaMnMg),Fe
Jahnsite-(CaMnMg),P
Jahnsite-(CaMnMg),O
Jahnsite-(CaMnMg),H
Jahnsite-(CaMnMn),Ca
Jahnsite-(CaMnMn),Mn
Jahnsite-(CaMnMn),Fe
Jahnsite-(CaMnMn),P
Jahnsite-(CaMnMn),O
Jahnsite-(CaMnMn),H
Jahnsite-(MnMnMn),Mn
Jahnsite-(MnMnMn),Fe
Jahnsite-(MnMnMn),P
Jahnsite-(MnMnMn),O
Jahnsite-(MnMnMn),H
Jalpaite,Ag
Jalpaite,Cu
Jalpaite,S
Jamborite,Ni
Jamborite,Co
Jamborite,O
Jamborite,H
Jamborite,S
Jamesite,Pb
Jamesite,Zn
Jamesite,Fe
Jamesite,As
Jamesite,O
Jamesite,H
Jamesonite,Pb
Jamesonite,Fe
Jamesonite,Sb
Jamesonite,S
Janggunite,Mn
Janggunite,Fe
Janggunite,O
Janggunite,H
Janhaugite,Na
Janhaugite,Mn
Janhaugite,Ti
Janhaugite,Si
Janhaugite,O
Janhaugite,H
Janhaugite,F
Jankovicite,Tl
Jankovicite,Sb
Jankovicite,As
Jankovicite,S
Jarlite,Na
Jarlite,Sr
Jarlite,Mg
Jarlite,Al
Jarlite,F
Jarlite,O
Jarlite,H
Jarosewichite,Mn
Jarosewichite,As
Jarosewichite,O
Jarosewichite,H
Jarosite,K
Jarosite,Fe
Jarosite,S
Jarosite,O
Jarosite,H
Jaskolskiite,Cu
Jaskolskiite,Pb
Jaskolskiite,Sb
Jaskolskiite,Bi
Jaskolskiite,S
Jasmundite,Ca
Jasmundite,O
Jasmundite,Si
Jasmundite,S
Jeanbandyite,Fe
Jeanbandyite,Sn
Jeanbandyite,O
Jeanbandyite,H
Jedwabite,Fe
Jedwabite,Ta
Jeffreyite,Ca
Jeffreyite,Na
Jeffreyite,Be
Jeffreyite,Al
Jeffreyite,Si
Jeffreyite,O
Jeffreyite,H
Jennite,Ca
Jennite,Si
Jennite,O
Jennite,H
Jensenite,Cu
Jensenite,Te
Jensenite,O
Jensenite,H
Jentschite,Tl
Jentschite,Pb
Jentschite,As
Jentschite,Sb
Jentschite,S
Jeppeite,K
Jeppeite,Ba
Jeppeite,Ti
Jeppeite,Fe
Jeppeite,O
Jeremejevite,Al
Jeremejevite,B
Jeremejevite,O
Jeremejevite,F
Jerrygibbsite,Mn
Jerrygibbsite,Si
Jerrygibbsite,O
Jerrygibbsite,H
Jervisite,Na
Jervisite,Sc
Jervisite,Si
Jervisite,O
Jianshuiite,Mg
Jianshuiite,Mn
Jianshuiite,O
Jianshuiite,H
Jimboite,Mn
Jimboite,B
Jimboite,O
Jimthompsonite,Mg
Jimthompsonite,Si
Jimthompsonite,O
Jimthompsonite,H
Jinshajiangite,Ba
Jinshajiangite,Na
Jinshajiangite,Fe
Jinshajiangite,Ti
Jinshajiangite,Si
Jinshajiangite,O
Jinshajiangite,H
Jinshajiangite,F
Joaquinite-(Ce),Na
Joaquinite-(Ce),Ba
Joaquinite-(Ce),Fe
Joaquinite-(Ce),Ti
Joaquinite-(Ce),Ce
Joaquinite-(Ce),Si
Joaquinite-(Ce),O
Joaquinite-(Ce),H
Joesmithite,Pb
Joesmithite,Ca
Joesmithite,Mg
Joesmithite,Fe
Joesmithite,Si
Joesmithite,Be
Joesmithite,O
Joesmithite,H
Johachidolite,Ca
Johachidolite,Al
Johachidolite,B
Johachidolite,O
Johannite,Cu
Johannite,U
Johannite,O
Johannite,S
Johannite,H
Johannsenite,Ca
Johannsenite,Mn
Johannsenite,Si
Johannsenite,O
Johillerite,Na
Johillerite,Cu
Johillerite,Mg
Johillerite,As
Johillerite,O
Johnbaumite,Ca
Johnbaumite,As
Johnbaumite,O
Johnbaumite,H
Johninnesite,Na
Johninnesite,Mn
Johninnesite,Mg
Johninnesite,As
Johninnesite,O
Johninnesite,Si
Johninnesite,H
Johnsomervilleite,Na
Johnsomervilleite,Ca
Johnsomervilleite,Mg
Johnsomervilleite,Fe
Johnsomervilleite,P
Johnsomervilleite,O
Jokokuite,Mn
Jokokuite,S
Jokokuite,O
Jokokuite,H
Jolliffeite,Ni
Jolliffeite,As
Jolliffeite,Se
Jonesite,K
Jonesite,Ba
Jonesite,Ti
Jonesite,Si
Jonesite,Al
Jonesite,O
Jonesite,H
Jordanite,Pb
Jordanite,As
Jordanite,Sb
Jordanite,S
Jordisite,Mo
Jordisite,S
Jorgensenite,Na
Jorgensenite,Sr
Jorgensenite,Al
Jorgensenite,F
Jorgensenite,O
Jorgensenite,H
Joseite-A,Bi
Joseite-A,Te
Joseite-A,S
Joseite-B,Bi
Joseite-B,Te
Joseite-B,S
Jouravskite,Ca
Jouravskite,Mn
Jouravskite,S
Jouravskite,O
Jouravskite,C
Jouravskite,H
Juabite,Ca
Juabite,Cu
Juabite,Te
Juabite,O
Juabite,As
Juabite,H
Juanitaite,Cu
Juanitaite,Ca
Juanitaite,Fe
Juanitaite,Bi
Juanitaite,As
Juanitaite,O
Juanitaite,H
Jungite,Ca
Jungite,Zn
Jungite,Fe
Jungite,P
Jungite,O
Jungite,H
Junitoite,Ca
Junitoite,Zn
Junitoite,Si
Junitoite,O
Junitoite,H
Junoite,Cu
Junoite,Pb
Junoite,Bi
Junoite,S
Junoite,Se
Juonniite,Ca
Juonniite,Mg
Juonniite,Sc
Juonniite,P
Juonniite,O
Juonniite,H
Jurbanite,Al
Jurbanite,S
Jurbanite,O
Jurbanite,H
Kaatialaite,Fe
Kaatialaite,H
Kaatialaite,As
Kaatialaite,O
Kadyrelite,Hg
Kadyrelite,O
Kadyrelite,Br
Kadyrelite,H
Kaersutite,Na
Kaersutite,Ca
Kaersutite,Mg
Kaersutite,Al
Kaersutite,Ti
Kaersutite,Si
Kaersutite,O
Kahlerite,Fe
Kahlerite,U
Kahlerite,O
Kahlerite,As
Kahlerite,H
Kainite,K
Kainite,Mg
Kainite,S
Kainite,O
Kainite,Cl
Kainite,H
Kainosite-(Y),Ca
Kainosite-(Y),Y
Kainosite-(Y),Si
Kainosite-(Y),O
Kainosite-(Y),C
Kainosite-(Y),H
Kalborsite,K
Kalborsite,Al
Kalborsite,B
Kalborsite,Si
Kalborsite,O
Kalborsite,H
Kalborsite,Cl
Kaliborite,K
Kaliborite,H
Kaliborite,Mg
Kaliborite,B
Kaliborite,O
Kalicinite,K
Kalicinite,H
Kalicinite,C
Kalicinite,O
Kalifersite,K
Kalifersite,Fe
Kalifersite,Si
Kalifersite,O
Kalifersite,H
Kalininite,Zn
Kalininite,Cr
Kalininite,S
Kalinite,K
Kalinite,Al
Kalinite,S
Kalinite,O
Kalinite,H
Kaliophilite,K
Kaliophilite,Al
Kaliophilite,Si
Kaliophilite,O
Hydropyrochlore,H
Hydropyrochlore,O
Hydropyrochlore,Nb
Kalsilite,K
Kalsilite,Al
Kalsilite,Si
Kalsilite,O
Kambaldaite,Na
Kambaldaite,Ni
Kambaldaite,C
Kambaldaite,O
Kambaldaite,H
Kamchatkite,K
Kamchatkite,Cu
Kamchatkite,O
Kamchatkite,S
Kamchatkite,Cl
Kamiokite,Fe
Kamiokite,Mo
Kamiokite,O
Kamitugaite,Pb
Kamitugaite,Al
Kamitugaite,U
Kamitugaite,O
Kamitugaite,P
Kamitugaite,H
Kamotoite-(Y),Y
Kamotoite-(Y),O
Kamotoite-(Y),U
Kamotoite-(Y),C
Kamotoite-(Y),H
Kampfite,Ba
Kampfite,Si
Kampfite,Al
Kampfite,O
Kampfite,C
Kampfite,Cl
Kamphaugite-(Y),Ca
Kamphaugite-(Y),Y
Kamphaugite-(Y),C
Kamphaugite-(Y),O
Kamphaugite-(Y),H
Kanemite,H
Kanemite,Na
Kanemite,Si
Kanemite,O
Kankite,Fe
Kankite,As
Kankite,O
Kankite,H
Kanoite,Mn
Kanoite,Mg
Kanoite,Si
Kanoite,O
Kanonerovite,Na
Kanonerovite,Mn
Kanonerovite,P
Kanonerovite,O
Kanonerovite,H
Kaolinite,Al
Kaolinite,Si
Kaolinite,O
Kaolinite,H
Kapitsaite-(Y),Ba
Kapitsaite-(Y),Y
Kapitsaite-(Y),Si
Kapitsaite-(Y),B
Kapitsaite-(Y),O
Kapitsaite-(Y),F
Karelianite,V
Karelianite,O
Karibibite,Fe
Karibibite,As
Karibibite,O
Karibibite,H
Karlite,Mg
Karlite,Al
Karlite,B
Karlite,O
Karlite,H
Karlite,Cl
Kashinite,Ir
Kashinite,S
Kasolite,Pb
Kasolite,U
Kasolite,O
Kasolite,Si
Kasolite,H
Kassite,Ca
Kassite,Ti
Kassite,O
Kassite,H
Kastningite,Mn
Kastningite,Al
Kastningite,P
Kastningite,O
Kastningite,H
Katoite,Ca
Katoite,Al
Katoite,O
Katoite,H
Ferro-katophorite,Na
Ferro-katophorite,Ca
Ferro-katophorite,Fe
Ferro-katophorite,Al
Ferro-katophorite,Si
Ferro-katophorite,O
Ferro-katophorite,H
Katoptrite,Mn
Katoptrite,Al
Katoptrite,Sb
Katoptrite,O
Katoptrite,Si
Kawazulite,Bi
Kawazulite,Te
Kawazulite,Se
Kazakhstanite,Fe
Kazakhstanite,V
Kazakhstanite,O
Kazakhstanite,H
Kazakovite,Na
Kazakovite,Mn
Kazakovite,Ti
