mineral_name,chemistry_elements
Afghanite,Cl
Afwillite,Ca
Afwillite,Si
Afwillite,O
Afwillite,H
Agardite-(Ce),Ce
Agardite-(Ce),Cu
Agardite-(Ce),As
Agardite-(Ce),O
Agardite-(Ce),H
Agardite-(La),La
Agardite-(La),Cu
Agardite-(La),As
Agardite-(La),O
Agardite-(La),H
Agardite-(Nd),Nd
Agardite-(Nd),Cu
Agardite-(Nd),As
Agardite-(Nd),O
Agardite-(Nd),H
Agardite-(Y),Y
Agardite-(Y),Cu
Agardite-(Y),As
Agardite-(Y),O
Agardite-(Y),H
Agrellite,Na
Agrellite,Ca
Agrellite,Si
Agrellite,O
Agrellite,F
Aguilarite,Ag
Aguilarite,Se
Aguilarite,S
Aheylite,Fe
Aheylite,Al
Aheylite,P
Aheylite,O
Aheylite,H
Ahlfeldite,Ni
Ahlfeldite,Se
Ahlfeldite,O
Ahlfeldite,H
Aikinite,Cu
Aikinite,Pb
Aikinite,Bi
Aikinite,S
Ajoite,K
Ajoite,Cu
Ajoite,Al
Ajoite,Si
Ajoite,O
Ajoite,H
Akaganeite,Fe
Akaganeite,Ni
Akaganeite,O
Akaganeite,H
Akaganeite,Cl
Akdalaite,Al
Akdalaite,O
Akdalaite,H
Akermanite,Ca
Akermanite,Mg
Akermanite,Si
Akermanite,O
Akhtenskite,Mn
Akhtenskite,O
Akrochordite,Mn
Akrochordite,As
Akrochordite,O
Akrochordite,H
Aksaite,Mg
Aksaite,B
Aksaite,O
Aksaite,H
Aktashite,Cu
Aktashite,Hg
Aktashite,As
Aktashite,S
Alabandite,Mn
Alabandite,S
Alacranite,As
Alacranite,S
Alamosite,Pb
Alamosite,Si
Alamosite,O
Alarsite,Al
Alarsite,As
Alarsite,O
Albite,Na
Albite,Al
Albite,Si
Albite,O
Albrechtschraufite,Ca
Albrechtschraufite,Mg
Albrechtschraufite,U
Albrechtschraufite,O
Albrechtschraufite,C
Albrechtschraufite,F
Albrechtschraufite,H
Alforsite,Ba
Alforsite,P
Alforsite,O
Alforsite,Cl
Algodonite,Cu
Algodonite,As
Aliettite,Ca
Aliettite,Mg
Aliettite,Si
Aliettite,Al
Aliettite,O
Aliettite,H
Allanite-(Ce),Ca
Allanite-(Ce),Ce
Allanite-(Ce),Al
Allanite-(Ce),Fe
Allanite-(Ce),Si
Allanite-(Ce),O
Allanite-(Ce),H
Allanite-(Y),Ca
Allanite-(Y),Y
Allanite-(Y),Al
Allanite-(Y),Fe
Allanite-(Y),Si
Allanite-(Y),O
Allanite-(Y),H
Allargentum,Ag
Allargentum,Sb
Alleghanyite,Mn
Alleghanyite,Si
Alleghanyite,O
Alleghanyite,H
Alloclasite,Co
Alloclasite,As
Alloclasite,S
Allophane,Al
Allophane,O
Allophane,Si
Allophane,H
Alluaivite,Na
Alluaivite,Ca
Alluaivite,Mn
Alluaivite,Ti
Alluaivite,Nb
Alluaivite,Si
Alluaivite,O
Alluaivite,Cl
Alluaivite,H
Alluaudite,Na
Alluaudite,Ca
Alluaudite,Mn
Alluaudite,Mg
Alluaudite,Fe
Alluaudite,P
Alluaudite,O
Almandine,Fe
Almandine,Al
Almandine,Si
Almandine,O
Alsakharovite-Zn,Na
Alsakharovite-Zn,Sr
Alsakharovite-Zn,K
Alsakharovite-Zn,Zn
Alsakharovite-Zn,Ti
Alsakharovite-Zn,Nb
Alsakharovite-Zn,Si
Alsakharovite-Zn,O
Alsakharovite-Zn,H
Alstonite,Ba
Alstonite,Ca
Alstonite,C
Alstonite,O
Altaite,Pb
Altaite,Te
Althausite,Mg
Althausite,P
Althausite,O
Althausite,H
Althausite,F
Althupite,Al
Althupite,Th
Althupite,U
Althupite,O
Althupite,P
Althupite,H
Altisite,Na
Altisite,K
Altisite,Ti
Altisite,Al
Altisite,Si
Altisite,O
Altisite,Cl
Aluminite,Al
Aluminite,S
Aluminite,O
Aluminite,H
Aluminoceladonite,K
Aluminoceladonite,Mg
Aluminoceladonite,Al
Aluminoceladonite,Si
Aluminoceladonite,O
Aluminoceladonite,H
Aluminocopiapite,Al
Aluminocopiapite,Mg
Aluminocopiapite,Fe
Aluminocopiapite,S
Aluminocopiapite,O
Aluminocopiapite,H
Alumohydrocalcite,Ca
Alumohydrocalcite,Al
Alumohydrocalcite,C
Alumohydrocalcite,O
Alumohydrocalcite,H
Alumoklyuchevskite,K
Alumoklyuchevskite,Cu
Alumoklyuchevskite,Al
Alumoklyuchevskite,O
Alumoklyuchevskite,S
Pharmacoalumite,K
Pharmacoalumite,Al
Pharmacoalumite,As
Pharmacoalumite,O
Pharmacoalumite,H
Alumotantite,Al
Alumotantite,Ta
Alumotantite,O
Alunite,K
Alunite,Al
Alunite,S
Alunite,O
Alunite,H
Alunogen,Al
Alunogen,S
Alunogen,O
Alunogen,H
Amakinite,Fe
Amakinite,O
Amakinite,H
Amarantite,Fe
Amarantite,O
Amarantite,S
Amarantite,H
Amarillite,Na
Amarillite,Fe
Amarillite,S
Amarillite,O
Amarillite,H
Amblygonite,Li
Amblygonite,Al
Amblygonite,P
Amblygonite,O
Amblygonite,F
Amesite,Mg
Amesite,Al
Amesite,Si
Amesite,O
Amesite,H
Amicite,K
Amicite,Na
Amicite,Si
Amicite,Al
Amicite,O
Amicite,H
Aminoffite,Ca
Aminoffite,Be
Aminoffite,O
Aminoffite,H
Aminoffite,Si
Ammonioalunite,N
Ammonioalunite,H
Ammonioalunite,Al
Ammonioalunite,S
Ammonioalunite,O
Ammonioborite,N
Ammonioborite,H
Ammonioborite,B
Ammonioborite,O
Ammoniojarosite,N
Ammoniojarosite,H
Ammoniojarosite,Fe
Ammoniojarosite,S
Ammoniojarosite,O
Analcime,Na
Analcime,Al
Analcime,Si
Analcime,O
Analcime,H
Anandite,Ba
Anandite,Fe
Anandite,Si
Anandite,O
Anandite,S
Anandite,H
Anapaite,Ca
Anapaite,Fe
Anapaite,P
Anapaite,O
Anapaite,H
Anatase,Ti
Anatase,O
Ancylite-(Ce),Ce
Ancylite-(Ce),Sr
Ancylite-(Ce),C
Ancylite-(Ce),O
Ancylite-(Ce),H
Ancylite-(La),La
Ancylite-(La),Sr
Ancylite-(La),C
Ancylite-(La),O
Ancylite-(La),H
Andalusite,Al
Andalusite,Si
Andalusite,O
Andersonite,Na
Andersonite,Ca
Andersonite,U
Andersonite,O
Andersonite,C
Andersonite,H
Andorite VI,Ag
Andorite VI,Pb
Andorite VI,Sb
Andorite VI,S
Andradite,Ca
Andradite,Fe
Andradite,Si
Andradite,O
Anduoite,Ru
Anduoite,As
Andyrobertsite,K
Andyrobertsite,Cd
Andyrobertsite,Cu
Andyrobertsite,As
Andyrobertsite,O
Andyrobertsite,H
Anglesite,Pb
Anglesite,S
Anglesite,O
Anhydrite,Ca
Anhydrite,S
Anhydrite,O
Anilite,Cu
Anilite,S
Ankerite,Ca
Ankerite,Fe
Ankerite,C
Ankerite,O
Annabergite,Ni
Annabergite,As
Annabergite,O
Annabergite,H
Annite,K
Annite,Fe
Annite,Al
Annite,Si
Annite,O
Annite,H
Anorthite,Ca
Anorthite,Al
Anorthite,Si
Anorthite,O
Antarcticite,Ca
Antarcticite,Cl
Antarcticite,H
Antarcticite,O
Anthoinite,Al
Anthoinite,W
Anthoinite,O
Anthoinite,H
Anthonyite,Cu
Anthonyite,O
Anthonyite,H
Anthophyllite,Mg
Anthophyllite,Si
Anthophyllite,O
Anthophyllite,H
Antigorite,Mg
Antigorite,Si
Antigorite,O
Antigorite,H
Antimonselite,Sb
Antimonselite,Se
Antimony,Sb
Antlerite,Cu
Antlerite,S
Antlerite,O
Antlerite,H
Anyuiite,Au
Anyuiite,Pb
Apachite,Cu
Apachite,Si
Apachite,O
Apachite,H
Aphthitalite,K
Aphthitalite,Na
Aphthitalite,S
Aphthitalite,O
Apjohnite,Mn
Apjohnite,Al
Apjohnite,S
Apjohnite,O
Apjohnite,H
Aplowite,Co
Aplowite,S
Aplowite,O
Aplowite,H
Apuanite,Fe
Apuanite,Sb
Apuanite,O
Apuanite,S
Aqualite,H
Aqualite,O
Aqualite,Na
Aqualite,K
Aqualite,Sr
Aqualite,Ca
Aqualite,Zr
Aqualite,Si
Aqualite,Cl
Aragonite,Ca
Aragonite,C
Aragonite,O
Arakiite,Zn
Arakiite,Mn
Arakiite,Fe
Arakiite,As
Arakiite,O
Arakiite,H
Aramayoite,Ag
Aramayoite,Sb
Aramayoite,Bi
Aramayoite,S
Aravaipaite,Pb
Aravaipaite,Al
Aravaipaite,F
Aravaipaite,H
Aravaipaite,O
Arcanite,K
Arcanite,S
Arcanite,O
Archerite,H
Archerite,K
Archerite,P
Archerite,O
Arctite,Na
Arctite,Ca
Arctite,Ba
Arctite,P
Arctite,O
Arctite,F
Arcubisite,Ag
Arcubisite,Cu
Arcubisite,Bi
Arcubisite,S
Ardaite,Pb
Ardaite,Sb
Ardaite,S
Ardaite,Cl
Ardealite,Ca
Ardealite,P
Ardealite,O
Ardealite,H
Ardealite,S
Ardennite-(As),Mn
Ardennite-(As),Al
Ardennite-(As),Mg
Ardennite-(As),As
Ardennite-(As),O
Ardennite-(As),Si
Ardennite-(As),H
Arfvedsonite,Na
Arfvedsonite,Fe
Arfvedsonite,Si
Arfvedsonite,O
Arfvedsonite,H
Argentojarosite,Ag
Argentojarosite,Fe
Argentojarosite,S
Argentojarosite,O
Argentojarosite,H
