"interval_no","record_type","scale_no","level","interval_name","abbrev","parent_no","color","late_age","early_age","reference_no"
"751","interval","1","1","Phanerozoic","","0","#9AD9DD","0.00000","541.00000","47900"
"1","interval","1","2","Cenozoic","Cz","751","#F2F91D","0.00000","66.00000","47900"
"12","interval","1","3","Quaternary","","1","#F9F97F","0.00000","2.58800","47900"
"32","interval","1","4","Holocene","","12","#FEF2E0","0.00000","0.01170","47900"
"3002","interval","1","5","Holocene","","32","#FEF2E0","0.00000","0.01170","47900"
"33","interval","1","4","Pleistocene","","12","#FFF2AE","0.01170","2.58800","47900"
"922","interval","1","5","Late Pleistocene","","33","#FFF2D3","0.01170","0.12600","15443"
"923","interval","1","5","Middle Pleistocene","","33","#FFF2C7","0.12600","0.78100","15443"
"740","interval","1","5","Calabrian","","33","#FFF2BA","0.78100","1.80600","47900"
"741","interval","1","5","Gelasian","","33","#FFEDB3","1.80600","2.58800","47900"
"25","interval","1","3","Neogene","Ng","1","#FFE619","2.58800","23.03000","47900"
"34","interval","1","4","Pliocene","","25","#FFFF99","2.58800","5.33300","47900"
"96","interval","1","5","Piacenzian","","34","#FFFFBF","2.58800","3.60000","47900"
"97","interval","1","5","Zanclean","","34","#FFFFB3","3.60000","5.33300","47900"
"35","interval","1","4","Miocene","","25","#FFFF00","5.33300","23.03000","47900"
"98","interval","1","5","Messinian","","35","#FFFF73","5.33300","7.24600","47900"
"99","interval","1","5","Tortonian","","35","#FFFF66","7.24600","11.62000","47900"
"100","interval","1","5","Serravallian","","35","#FFFF59","11.62000","13.82000","47900"
"101","interval","1","5","Langhian","","35","#FFFF4D","13.82000","15.97000","47900"
"102","interval","1","5","Burdigalian","","35","#FFFF41","15.97000","20.44000","47900"
"103","interval","1","5","Aquitanian","","35","#FFFF33","20.44000","23.03000","47900"
"26","interval","1","3","Paleogene","Pg","1","#FD9A52","23.03000","66.00000","47900"
"36","interval","1","4","Oligocene","","26","#FDC07A","23.03000","33.90000","47900"
"104","interval","1","5","Chattian","","36","#FEE6AA","23.03000","28.10000","47900"
"105","interval","1","5","Rupelian","","36","#FED99A","28.10000","33.90000","47900"
"37","interval","1","4","Eocene","","26","#FDB46C","33.90000","56.00000","47900"
"106","interval","1","5","Priabonian","","37","#FDCDA1","33.90000","38.00000","47900"
"107","interval","1","5","Bartonian","","37","#FDC091","38.00000","41.30000","47900"
"108","interval","1","5","Lutetian","","37","#FCB482","41.30000","47.80000","47900"
"109","interval","1","5","Ypresian","","37","#FCA773","47.80000","56.00000","47900"
"38","interval","1","4","Paleocene","","26","#FDA75F","56.00000","66.00000","47900"
"110","interval","1","5","Thanetian","","38","#FDBF6F","56.00000","59.20000","47900"
"743","interval","1","5","Selandian","","38","#FEBF65","59.20000","61.60000","47900"
"111","interval","1","5","Danian","","38","#FDB462","61.60000","66.00000","47900"
"2","interval","1","2","Mesozoic","Mz","751","#67C5CA","66.00000","252.17000","47900"
"14","interval","1","3","Cretaceous","K","2","#7FC64E","66.00000","145.00000","47900"
"39","interval","1","4","Late Cretaceous","","14","#A6D84A","66.00000","100.50000","47900"
"112","interval","1","5","Maastrichtian","","39","#F2FA8C","66.00000","72.10000","47900"
"113","interval","1","5","Campanian","","39","#E6F47F","72.10000","83.60000","47900"
"114","interval","1","5","Santonian","","39","#D9EF74","83.60000","86.30000","47900"
"115","interval","1","5","Coniacian","","39","#CCE968","86.30000","89.80000","47900"
"116","interval","1","5","Turonian","","39","#BFE35D","89.80000","93.90000","47900"
"117","interval","1","5","Cenomanian","","39","#B3DE53","93.90000","100.50000","47900"
"40","interval","1","4","Early Cretaceous","","14","#8CCD57","100.50000","145.00000","47900"
"118","interval","1","5","Albian","","40","#CCEA97","100.50000","113.00000","47900"
"119","interval","1","5","Aptian","","40","#BFE48A","113.00000","125.00000","47900"
"120","interval","1","5","Barremian","","40","#B3DF7F","125.00000","129.40000","47900"
"121","interval","1","5","Hauterivian","","40","#A6D975","129.40000","132.90000","47900"
"122","interval","1","5","Valanginian","","40","#99D36A","132.90000","139.80000","47900"
"123","interval","1","5","Berriasian","","40","#8CCD60","139.80000","145.00000","47900"
"15","interval","1","3","Jurassic","J","2","#34B2C9","145.00000","201.30000","47900"
"41","interval","1","4","Late Jurassic","","15","#B3E3EE","145.00000","163.50000","47900"
"124","interval","1","5","Tithonian","","41","#D9F1F7","145.00000","152.10000","47900"
"125","interval","1","5","Kimmeridgian","","41","#CCECF4","152.10000","157.30000","47900"
"126","interval","1","5","Oxfordian","","41","#BFE7F1","157.30000","163.50000","47900"
"42","interval","1","4","Middle Jurassic","","15","#80CFD8","163.50000","174.10000","47900"
"127","interval","1","5","Callovian","","42","#BFE7E5","163.50000","166.10000","47900"
"128","interval","1","5","Bathonian","","42","#B3E2E3","166.10000","168.30000","47900"
"129","interval","1","5","Bajocian","","42","#A6DDE0","168.30000","170.30000","47900"
"130","interval","1","5","Aalenian","","42","#9AD9DD","170.30000","174.10000","47900"
"43","interval","1","4","Early Jurassic","","15","#42AED0","174.10000","201.30000","47900"
