"interval_no","record_type","scale_no","level","interval_name","abbrev","parent_no","color","late_age","early_age","reference_no"
"131","interval","1","5","Toarcian","","43","#99CEE3","174.10000","182.70000","47900"
"132","interval","1","5","Pliensbachian","","43","#80C5DD","182.70000","190.80000","47900"
"133","interval","1","5","Sinemurian","","43","#67BCD8","190.80000","199.30000","47900"
"134","interval","1","5","Hettangian","","43","#4EB3D3","199.30000","201.30000","47900"
"16","interval","1","3","Triassic","Tr","2","#812B92","201.30000","252.17000","47900"
"44","interval","1","4","Late Triassic","","16","#BD8CC3","201.30000","237.00000","47900"
"135","interval","1","5","Rhaetian","","44","#E3B9DB","201.30000","208.50000","47900"
"136","interval","1","5","Norian","","44","#D6AAD3","208.50000","228.00000","47900"
"137","interval","1","5","Carnian","","44","#C99BCB","228.00000","237.00000","47900"
"45","interval","1","4","Middle Triassic","","16","#B168B1","237.00000","247.20000","47900"
"138","interval","1","5","Ladinian","","45","#C983BF","237.00000","242.00000","47900"
"139","interval","1","5","Anisian","","45","#BC75B7","242.00000","247.20000","47900"
"46","interval","1","4","Early Triassic","","16","#983999","247.20000","252.17000","47900"
"652","interval","1","5","Olenekian","","46","#B051A5","247.20000","251.20000","47900"
"653","interval","1","5","Induan","","46","#A4469F","251.20000","252.17000","47900"
"3","interval","1","2","Paleozoic","Pz","751","#99C08D","252.17000","541.00000","47900"
"17","interval","1","3","Permian","P","3","#F04028","252.17000","298.90000","47900"
"771","interval","1","4","Lopingian","","17","#FBA794","252.17000","259.90000","47900"
"715","interval","1","5","Changhsingian","","771","#FCC0B2","252.17000","254.17000","9184"
"716","interval","1","5","Wuchiapingian","","771","#FCB4A2","254.17000","259.90000","9184"
"772","interval","1","4","Guadalupian","","17","#FB745C","259.90000","272.30000","47900"
"145","interval","1","5","Capitanian","","772","#FB9A85","259.90000","265.10000","5954"
"146","interval","1","5","Wordian","","772","#FB8D76","265.10000","268.80000","5954"
"717","interval","1","5","Roadian","","772","#FB8069","268.80000","272.30000","9184"
"773","interval","1","4","Cisuralian","","17","#EF5845","272.30000","298.90000","47900"
"148","interval","1","5","Kungurian","","773","#E38776","272.30000","279.30000","5954"
"149","interval","1","5","Artinskian","","773","#E37B68","279.30000","290.10000","5954"
"150","interval","1","5","Sakmarian","","773","#E36F5C","290.10000","295.50000","5954"
"151","interval","1","5","Asselian","","773","#E36350","295.50000","298.90000","5954"
"18","interval","1","3","Carboniferous","C","3","#67A599","298.90000","358.90000","47900"
"27","interval","1","4","Pennsylvanian","","18","#99C2B5","298.90000","323.20000","47900"
"49","interval","1","5","Gzhelian","","27","#CCD4C7","298.90000","303.70000","5954"
"50","interval","1","5","Kasimovian","","27","#BFD0C5","303.70000","307.00000","5954"
"51","interval","1","5","Moscovian","","27","#B3CBB9","307.00000","315.20000","5954"
"52","interval","1","5","Bashkirian","","27","#99C2B6","315.20000","323.20000","5954"
"28","interval","1","4","Mississippian","","18","#678F66","323.20000","358.90000","47900"
"53","interval","1","5","Serpukhovian","","28","#BFC26B","323.20000","330.90000","5954"
"54","interval","1","5","Visean","","28","#A6B96C","330.90000","346.70000","5954"
"55","interval","1","5","Tournaisian","","28","#8CB06C","346.70000","358.90000","5954"
"19","interval","1","3","Devonian","D","3","#CB8C37","358.90000","419.20000","47900"
"56","interval","1","4","Late Devonian","","19","#F1E19D","358.90000","382.70000","47900"
"177","interval","1","5","Famennian","","56","#F2EDC5","358.90000","372.20000","47900"
"178","interval","1","5","Frasnian","","56","#F2EDAD","372.20000","382.70000","47900"
"57","interval","1","4","Middle Devonian","","19","#F1C868","382.70000","393.30000","47900"
"179","interval","1","5","Givetian","","57","#F1E185","382.70000","387.70000","47900"
"180","interval","1","5","Eifelian","","57","#F1D576","387.70000","393.30000","47900"
"58","interval","1","4","Early Devonian","","19","#E5AC4D","393.30000","419.20000","47900"
"181","interval","1","5","Emsian","","58","#E5D075","393.30000","407.60000","47900"
"182","interval","1","5","Pragian","","58","#E5C468","407.60000","410.80000","47900"
"183","interval","1","5","Lochkovian","","58","#E5B75A","410.80000","419.20000","47900"
"20","interval","1","3","Silurian","S","3","#B3E1B6","419.20000","443.40000","47900"
"59","interval","1","4","Pridoli","","20","#E6F5E1","419.20000","423.00000","47900"
"3001","interval","1","5","Pridoli","","59","#E6F5E1","419.20000","423.00000","47900"
"60","interval","1","4","Ludlow","","20","#BFE6CF","423.00000","427.40000","47900"
"184","interval","1","5","Ludfordian","","60","#D9F0DF","423.00000","425.60000","47900"
"185","interval","1","5","Gorstian","","60","#CCECDD","425.60000","427.40000","47900"
"61","interval","1","4","Wenlock","","20","#B3E1C2","427.40000","433.40000","47900"
"785","interval","1","5","Homerian","","61","#CCEBD1","427.40000","430.50000","47900"
"188","interval","1","5","Sheinwoodian","","61","#BFE6C3","430.50000","433.40000","47900"
"62","interval","1","4","Llandovery","","20","#99D7B3","433.40000","443.40000","47900"
"189","interval","1","5","Telychian","","62","#BFE6D1","433.40000","438.50000","47900"
"190","interval","1","5","Aeronian","","62","#B3E1C2","438.50000","440.80000","47900"
"191","interval","1","5","Rhuddanian","","62","#A6DCB5","440.80000","443.40000","47900"
"21","interval","1","3","Ordovician","O","3","#009270","443.40000","485.40000","47900"
"29","interval","1","4","Late Ordovician","","21","#7FCA93","443.40000","458.40000","47900"
"192","interval","1","5","Hirnantian","","29","#A6DBAB","443.40000","445.20000","47900"
"1008","interval","1","5","Katian","","29","#99D69F","445.20000","453.00000","47900"
"1009","interval","1","5","Sandbian","","29","#8CD094","453.00000","458.40000","47900"
"30","interval","1","4","Middle Ordovician","","21","#4DB47E","458.40000","470.00000","47900"
"556","interval","1","5","Darriwilian","","30","#74C69C","458.40000","467.30000","47900"
"1079","interval","1","5","Dapingian","","30","#66C092","467.30000","470.00000","47900"
"31","interval","1","4","Early Ordovician","","21","#1A9D6F","470.00000","485.40000","47900"
"1010","interval","1","5","Floian","","31","#41B087","470.00000","477.70000","47900"
"559","interval","1","5","Tremadocian","","31","#33A97E","477.70000","485.40000","47900"
"22","interval","1","3","Cambrian","Cm","3","#7FA056","485.40000","541.00000","47900"
"780","interval","1","4","Furongian","","22","#B3E095","485.40000","497.00000","47900"
"1112","interval","1","5","Stage 10","","780","#E6F5C9","485.40000","489.50000","47900"
"1113","interval","1","5","Jiangshanian","","780","#D9F0BB","489.50000","494.00000","47900"
"1114","interval","1","5","Paibian","","780","#CCEBAE","494.00000","497.00000","47900"
"1109","interval","1","4","Series 3","","22","#A6CF86","497.00000","509.00000","47900"
"1087","interval","1","5","Guzhangian","","1109","#CCDFAA","497.00000","500.50000","47900"
"1116","interval","1","5","Drumian","","1109","#BFD99D","500.50000","504.50000","47900"
"1117","interval","1","5","Stage 5","","1109","#B3D492","504.50000","509.00000","47900"
"1110","interval","1","4","Series 2","","22","#99C078","509.00000","521.00000","47900"
"1118","interval","1","5","Stage 4","","1110","#B3CA8E","509.00000","514.00000","47900"
"1119","interval","1","5","Stage 3","","1110","#A6C583","514.00000","521.00000","47900"
"1111","interval","1","4","Terreneuvian","","22","#8CB06C","521.00000","541.00000","47900"
"1120","interval","1","5","Stage 2","","1111","#A6BA80","521.00000","529.00000","47900"
"1121","interval","1","5","Fortunian","","1111","#99B575","529.00000","541.00000","47900"
"752","interval","1","1","Proterozoic","","0","#F73563","541.00000","2500.00000","47900"
"754","interval","1","2","Neoproterozoic","","752","#FEB342","541.00000","1000.00000","47900"
"761","interval","1","3","Ediacaran","","754","#FED96A","541.00000","635.00000","47900"
"762","interval","1","3","Cryogenian","","754","#FECC5C","635.00000","850.00000","47900"
"763","interval","1","3","Tonian","","754","#FEBF4E","850.00000","1000.00000","47900"
"755","interval","1","2","Mesoproterozoic","","752","#FDB462","1000.00000","1600.00000","47900"
"764","interval","1","3","Stenian","","755","#FED99A","1000.00000","1200.00000","47900"
"765","interval","1","3","Ectasian","","755","#F3CC8A","1200.00000","1400.00000","47900"
"766","interval","1","3","Calymmian","","755","#FDC07A","1400.00000","1600.00000","47900"
"756","interval","1","2","Paleoproterozoic","","752","#F74370","1600.00000","2500.00000","47900"
"767","interval","1","3","Statherian","","756","#F875A7","1600.00000","1800.00000","47900"
"768","interval","1","3","Orosirian","","756","#F76898","1800.00000","2050.00000","47900"
"769","interval","1","3","Rhyacian","","756","#F75B89","2050.00000","2300.00000","47900"
"770","interval","1","3","Siderian","","756","#F74F7C","2300.00000","2500.00000","47900"
"753","interval","1","1","Archean","","0","#F0047F","2500.00000","4000.00000","15443"
"757","interval","1","2","Neoarchean","","753","#F99BC1","2500.00000","2800.00000","15443"
"758","interval","1","2","Mesoarchean","","753","#F768A9","2800.00000","3200.00000","15443"
"759","interval","1","2","Paleoarchean","","753","#F444A9","3200.00000","3600.00000","15443"
"760","interval","1","2","Eoarchean","","753","#DA037F","3600.00000","4000.00000","15443"
"11","interval","1","1","Hadean","","0","#AE027E","4000.00000","4600.00000","5954"
