mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Althupite,845,AlTh(UO<sub>2</sub>)<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub>·15H<sub>2</sub>O,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O
Altisite,846,Na<sub>3</sub>K<sub>6</sub>Ti<sub>2</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>Cl<sub>3</sub>,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_
Aluminite,847,Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·7H<sub>2</sub>O,Al_2_S^6+^O_4_(OH)_4_·7H_2_O
Aluminoceladonite,850,"K(Mg,Fe^2+^)Al(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>",KMgAlSi_4_O_10_(OH)_2_
Aluminocopiapite,851,"(Al,Mg)Fe^3+^<sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH,O)<sub>2</sub>·20H<sub>2</sub>O","(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O"
Alumohydrocalcite,856,CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O,CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O
Alumoklyuchevskite,857,K<sub>3</sub>Cu^2+^<sub>3</sub>AlO<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>,K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_
Pharmacoalumite,858,KAl<sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·6.5H<sub>2</sub>O,KAl_4_(As^5+^O_4_)_3_(OH)_4_·6.5H_2_O
Alumotantite,859,AlTaO<sub>4</sub>,AlTa^5+^O_4_
Alunite,860,KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,KAl_3_(SO_4_)_2_(OH)_6_
