mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Clino-ferro-ferri-holmquistite,1847,[box]Li<sub>2</sub>(Fe^2+^<sub>3</sub>Fe^3+^<sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Li_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_
Ferriallanite-(Ce),1852,CaCe(Fe^3+^AlFe^2+^)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),CaCe^3+^Fe^2+^Fe^3+^Al(SiO_4_)(Si_2_O_7_)O(OH)
Ferro-ferri-nyboite,1854,NaNa<sub>2</sub>(Fe^2+^<sub>3</sub>Fe^3+^<sub>2</sub>)(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>,NaNa_2_(Fe^2+^_3_Fe^3+^_2_)(Si_7_Al)O_22_(OH)_2_
Ferricopiapite,1855,Fe^3+^<sub>0.67</sub>Fe^3+^<sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>·20H<sub>2</sub>O,Fe^3+^_2/3_Fe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O
Ferrierite-Mg,1857,"[Mg<sub>2</sub>(K,Na)<sub>2</sub>Ca<sub>0.5</sub>](Si<sub>29</sub>Al<sub>7</sub>)O<sub>72</sub>·18H<sub>2</sub>O","[Mg_2_(K,Na)_2_Ca_0.5_](Si_29_Al_7_)O_72_·18H_2_O"
Ferrierite-Na,1858,"(Na,K)<sub>5</sub>(Si<sub>31</sub>Al<sub>5</sub>)O<sub>72</sub>·18H<sub>2</sub>O","(Na,K)_5_(Si_31_Al_5_)O_72_·18H_2_O"
Ferrihydrite,1859,Fe^3+^<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>,Fe^3+^_10_O_14_(OH)_2_
Ferri-katophorite,1860,Na(NaCa)(Mg<sub>4</sub>Fe^3+^)(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>,Na(NaCa)(Mg_4_Fe^3+^)(Si_7_Al)O_22_(OH)_2_
Ferrilotharmeyerite,1861,CaZnFe^3+^(AsO<sub>4</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,CaZn^2+^Fe^3+^(As^5+^O_4_)_2_(OH)·H_2_O
Ferrimolybdite,1862,Fe^3+^<sub>2</sub>(Mo^6+^O<sub>4</sub>)<sub>3</sub>·7H<sub>2</sub>O,Fe^3+^_2_(Mo^6+^O_4_)_3_·7H_2_O
Ferrinatrite,1863,Na<sub>3</sub>Fe^3+^(SO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Na_3_Fe^3+^(S^6+^O_4_)_3_·3H_2_O
Ferri-pedrizite,1864,NaLi<sub>2</sub>(Mg<sub>2</sub>Fe^3+^<sub>2</sub>Li)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,NaLi_2_[Fe^3+^_2_Mg_2_Li]Si_8_O_22_(OH)_2_
Ferripyrophyllite,1865,Fe^3+^Si<sub>2</sub>O<sub>5</sub>(OH),Fe^3+^Si_2_O_5_(OH)
Ferrisicklerite,1866,"Li_1-x_(Fe^3+^,Mn^2+^)(PO<sub>4</sub>)","Li_1-x_(Fe^3+^,Mn^2+^)PO_4_"
Ferristrunzite,1867,Fe^3+^Fe^3+^<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Fe^3+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_3_·5H_2_O
Ferrisurite,1868,Pb<sub>2.4</sub>Fe^3+^<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(CO<sub>3</sub>)<sub>1.7</sub>(OH)<sub>3</sub>·nH<sub>2</sub>O,Pb^2+^_2.4_Fe^3+^_2_Si_4_O_10_(CO_3_)_1.7_(OH)_3_·nH_2_O
Ferrisymplesite,1869,Fe^3+^<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Fe^3+^_3_(As^5+^O_4_)_2_(OH)_3_·5H_2_O
Ferri-winchite,1873,[box](NaCa)(Mg<sub>4</sub>Fe^3+^)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]NaCa(Mg_4_Fe^3+^)Si_8_O_22_(OH)_2_
Ferro-actinolite,1874,[box]Ca<sub>2</sub>(Mg_2.5-0.0_Fe^2+^_2.5-5.0_)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Ca_2_Mg_2.5-0_Fe^2+^_2.5-5_Si_8_O_22_(OH)_2_
Ferroaluminoceladonite,1875,KFe^2+^AlSi<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>,KFe^2+^AlSi_4_O_10_(OH)_2_
Ferro-anthophyllite,1876,[box]Fe^2+^<sub>2</sub>Fe^2+^<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Fe^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_
Ferro-edenite,1878,NaCa<sub>2</sub>Fe^2+^<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>,NaCa_2_Fe^2+^_5_(Si_7_Al)O_22_(OH)_2_
Ferroalluaudite,1879,NaFe^2+^Fe^3+^<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>,NaFe^2+^Fe^3+^_2_(PO_4_)_3_
Axinite-(Fe),1880,Ca<sub>4</sub>Fe^2+^<sub>2</sub>Al<sub>4</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>30</sub>](OH)<sub>2</sub>,Ca_4_Fe^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_
Ferrobustamite,1882,CaFe^2+^Si<sub>2</sub>O<sub>6</sub>,CaFe^2+^Si_2_O_6_
Ferrocarpholite,1883,Fe^2+^Al<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>(OH)<sub>4</sub>,Fe^2+^Al_2_Si_2_O_6_(OH)_4_
Ferroceladonite,1884,KFe^2+^Fe^3+^Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>,KFe^2+^Fe^3+^Si_4_O_10_(OH)_2_
Columbite-(Fe),1887,Fe^2+^Nb<sub>2</sub>O<sub>6</sub>,Fe^2+^Nb^5+^_2_O_6_
Ferro-gedrite,1888,[box]Fe^2+^<sub>2</sub>(Fe^2+^<sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,[box]Fe^2+^_2_(Fe^2+^_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_
Ferrohexahydrite,1890,Fe^2+^(SO<sub>4</sub>)·6H<sub>2</sub>O,Fe^2+^S^6+^O_4_·6H_2_O
Ferrohogbomite-2N2S,1891,"(Fe,Mg,Zn,Al)<sub>3</sub>(Al,Ti,Fe)<sub>8</sub>O<sub>15</sub>(OH)","(Fe^2+^,Mg,Zn^2+^,Al)_3_(Al,Ti^4+^,Fe^3+^)_8_O_15_(OH)"
Ferro-holmquistite,1892,[box]Li<sub>2</sub>(Fe^2+^<sub>3</sub>Al<sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Li_2_(Fe^2+^_3_Al_2_)Si_8_O_22_(OH)_2_
Ferro-hornblende,1893,[box]Ca<sub>2</sub>(Fe^2+^<sub>4</sub>Al)(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>,[box]Ca_2_(Fe^2+^_4_Al)(Si_7_Al)O_22_(OH)_2_
Ferrokentbrooksite,1895,"Na<sub>15</sub>Ca<sub>6</sub>Fe^2+^<sub>3</sub>Zr<sub>3</sub>Nb(Si<sub>25</sub>O<sub>73</sub>)(O,OH,H<sub>2</sub>O)<sub>3</sub>(F,Cl)<sub>2</sub>","Na_15_Ca_6_Fe^2+^_3_Zr^4+^_3_Nb^5+^(Si_25_O_73_)(O,OH,H_2_O)_3_(F,Cl)_2_"
Ferrokesterite,1896,"Cu<sub>2</sub>(Fe,Zn)SnS<sub>4</sub>","Cu^1+^_2_(Fe^2+^,Zn^2+^)Sn^4+^S^2-^_4_"
Ferrokinoshitalite,1897,BaFe^2+^<sub>3</sub>(Si<sub>2</sub>Al<sub>2</sub>)O<sub>10</sub>(OH)<sub>2</sub>,BaFe^2+^_3_(Si_2_Al_2_)O_10_(OH)_2_
Ferrolaueite,1898,Fe^2+^Fe^3+^<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O
Ferronickelplatinum,1900,Pt<sub>2</sub>FeNi,Pt_2_FeNi
Ferronigerite-2N1S,1901,"(Al,Fe,Zn)<sub>2</sub>(Al,Sn)<sub>6</sub>O<sub>11</sub>(OH)","(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)"
Ferronigerite-6N6S,1902,"(Al,Fe,Zn)<sub>3</sub>(Al,Sn,Fe)<sub>8</sub>O<sub>15</sub>(OH)","(Al,Fe^3+^,Zn^2+^)_3_(Al,Sn^4+^,Fe^3+^)_8_O_15_(OH)"
Ferronordite-(Ce),1903,Na<sub>3</sub>SrCeFe^2+^Si<sub>6</sub>O<sub>17</sub>,Na_3_SrCe^3+^Fe^2+^Si_6_O_17_
Ferronordite-(La),1904,Na<sub>3</sub>SrLaFe^2+^Si<sub>6</sub>O<sub>17</sub>,Na_3_SrLa^3+^Fe^2+^Si_6_O_17_
Ferro-pargasite,1906,NaCa<sub>2</sub>(Fe^2+^<sub>4</sub>Al)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,NaCa_2_(Fe^2+^_4_Al)(Si_6_Al_2_)O_22_(OH)_2_
Pyrosmalite-(Fe),1907,Fe^2+^<sub>8</sub>Si<sub>6</sub>O<sub>15</sub>(OH)<sub>10</sub>,Fe^2+^_8_Si_6_O_15_(OH)_10_
Ferro-richterite,1909,Na(NaCa)Fe^2+^<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,NaNaCaFe^2+^_5_Si_8_O_22_(OH)_2_
Ferroselite,1910,FeSe<sub>2</sub>,FeSe_2_
Ferrosilite,1911,Fe^2+^<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>,Fe^2+^_2_Si_2_O_6_
Ferrostrunzite,1912,Fe^2+^Fe^3+^<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O,Fe^2+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_2_·6H_2_O
Ferrotaaffeite-6N3S,1913,BeFe^2+^<sub>2</sub>Al<sub>6</sub>O<sub>12</sub>,BeFe^2+^_2_Al_6_O_12_
Tantalite-(Fe),1914,Fe^2+^Ta<sub>2</sub>O<sub>6</sub>,Fe^2+^Ta_2_O_6_
Tapiolite-(Fe),1915,Fe^2+^Ta<sub>2</sub>O<sub>6</sub>,Fe^2+^Ta_2_O_6_
Ferrotitanowodginite,1916,Fe^2+^TiTa<sub>2</sub>O<sub>8</sub>,Fe^2+^Ti^4+^Ta^5+^_2_O_8_
Ferrotychite,1918,Na<sub>6</sub>Fe^2+^<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>(SO<sub>4</sub>),Na_6_Fe^2+^_2_(CO_3_)_4_(S^6+^O_4_)
Ferrowodginite,1920,Fe^2+^Sn^4+^Ta<sub>2</sub>O<sub>8</sub>,Fe^2+^Sn^4+^Ta^5+^_2_O_8_
Ferrowyllieite,1921,"(Na,Ca,Mn^2+^)<sub>2</sub>Fe^2+^<sub>2</sub>Al(PO<sub>4</sub>)<sub>3</sub>",Na_2_Fe^2+^_2_Al(PO_4_)_3_
Fersmanite,1923,"Ca<sub>4</sub>(Na,Ca)<sub>4</sub>(Ti,Nb)<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>8</sub>F<sub>3</sub>","Ca_4_(Na,Ca)_4_(Ti^4+^,Nb^5+^)_4_(Si_2_O_7_)_2_O_8_F_3_"
Fersmite,1924,"(Ca,Ce,Na)(Nb,Ta,Ti)<sub>2</sub>(O,OH,F)<sub>6</sub>","(Ca,Ce^3+^,Na)(Nb^5+^,Ta^5+^,Ti^4+^)_2_(O,OH,F)_6_"
Feruvite,1925,CaFe^2+^<sub>3</sub>(Al<sub>5</sub>Mg)(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH),CaFe^2+^_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Fervanite,1926,Fe^3+^<sub>4</sub>V^5+^<sub>4</sub>O<sub>16</sub>·5H<sub>2</sub>O,Fe^3+^_4_V^5+^_4_O_16_·5H_2_O
Fetiasite,1927,"(Fe^2+^,Fe^3+^,Ti^4+^)<sub>3</sub>O<sub>2</sub>As^3+^<sub>2</sub>O<sub>5</sub>","(Fe^2+^,Fe^3+^,Ti^4+^)_3_O_2_As^3+^_2_O_5_"
Fettelite,1928,[Ag<sub>6</sub>As<sub>2</sub>S<sub>7</sub>][Ag<sub>10</sub>HgAs<sub>2</sub>S<sub>8</sub>],Ag_16_HgAs_4_S_15_
Fibroferrite,1930,Fe^3+^(SO<sub>4</sub>)(OH)·5H<sub>2</sub>O,Fe^3+^S^6+^O_4_(OH)·5H_2_O
Fichtelite,1931,C<sub>19</sub>H<sub>34</sub>,C_19_H_34_
Fiedlerite,1932,Pb<sub>3</sub>Cl<sub>4</sub>F(OH)·H<sub>2</sub>O,Pb^2+^_3_Cl_4_F(OH)·H_2_O
Filipstadite,1933,(Fe^3+^<sub>0.5</sub>Sb^5+^<sub>0.5</sub>)Mn^2+^<sub>2</sub>O<sub>4</sub>,(Fe^3+^_0.5_Sb^5+^_0.5_)Mn^2+^_2_O_4_
Fillowite,1934,Na<sub>2</sub>CaMn^2+^<sub>7</sub>(PO<sub>4</sub>)<sub>6</sub>,Na_2_CaMn^2+^_7_(PO_4_)_6_
Finnemanite,1936,Pb<sub>5</sub>(As^3+^O<sub>3</sub>)<sub>3</sub>Cl,Pb^2+^_5_(As^3+^O_3_)_3_Cl
Fischesserite,1937,Ag<sub>3</sub>AuSe<sub>2</sub>,Ag_3_AuSe_2_
Flagstaffite,1938,C<sub>10</sub>H<sub>22</sub>O<sub>3</sub>,C_10_H_22_O_3_
Fleischerite,1939,Pb<sub>3</sub>Ge(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Pb^2+^_3_Ge^4+^(S^6+^O_4_)_2_(OH)_6_·3H_2_O
Fletcherite,1940,CuNi<sub>2</sub>S<sub>4</sub>,Cu^2+^Ni^3+^_2_S^2-^_4_
Flinkite,1941,Mn^2+^<sub>2</sub>Mn^3+^(AsO<sub>4</sub>)(OH)<sub>4</sub>,Mn^2+^_2_Mn^3+^As^5+^O_4_(OH)_4_
Florencite-(Ce),1942,CeAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Ce^3+^Al_3_(PO_4_)_2_(OH)_6_
Florencite-(La),1943,LaAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,La^3+^Al_3_(PO_4_)_2_(OH)_6_
Florencite-(Nd),1944,NdAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Nd^3+^Al_3_(PO_4_)_2_(OH)_6_
Florensovite,1946,Cu(Cr<sub>1.5</sub>Sb<sub>0.5</sub>)S<sub>4</sub>,Cu^1+^(Cr^3+^_1.5_Sb^5+^_0.5_)S^2-^_4_
Fluckite,1947,CaMn^2+^(AsO<sub>3</sub>OH)<sub>2</sub>·2H<sub>2</sub>O,CaMn^2+^(As^5+^O_3_OH)_2_·2H_2_O
Fluellite,1948,Al<sub>2</sub>(PO<sub>4</sub>)F<sub>2</sub>(OH)·7H<sub>2</sub>O,Al_2_(PO_4_)F_2_(OH)·7H_2_O
Fluoborite,1949,Mg<sub>3</sub>(BO<sub>3</sub>)F<sub>3</sub>,Mg_3_(BO_3_)F_3_
Fluocerite-(Ce),1950,CeF<sub>3</sub>,Ce^3+^F_3_
Fluocerite-(La),1951,LaF<sub>3</sub>,La^3+^F_3_
Fluorannite,1952,KFe^2+^<sub>3</sub>(Si<sub>3</sub>Al)O<sub>10</sub>F<sub>2</sub>,KFe^2+^_3_(Si_3_Al)O_10_F_2_
Fluorapatite,1953,Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>F,Ca_5_(PO_4_)_3_F
Fluorapophyllite-(K),1954,KCa<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>F·8H<sub>2</sub>O,KCa_4_Si_8_O_20_F·8H_2_O
Fluorbritholite-(Ce),1955,"(Ce,Ca)<sub>5</sub>(SiO<sub>4</sub>)<sub>3</sub>F","(Ce^3+^,Ca)_5_(SiO_4_)_3_F"
Fluorcaphite,1956,SrCaCa<sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>F,SrCaCa_3_(PO_4_)_3_F
Fluorellestadite,1957,Ca<sub>5</sub>(SiO<sub>4</sub>)<sub>1.5</sub>(SO<sub>4</sub>)<sub>1.5</sub>F,Ca_5_(SiO_4_)_1.5_(S^6+^O_4_)_1.5_F
Fluorite,1958,CaF<sub>2</sub>,CaF_2_
Fluoro-edenite,1959,NaCa<sub>2</sub>Mg<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>F<sub>2</sub>,NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_
Ferro-ferri-fluoro-leakeite,1960,NaNa<sub>2</sub>(Fe^2+^<sub>2</sub>Fe^3+^<sub>2</sub>Li)Si<sub>8</sub>O<sub>22</sub>F<sub>2</sub>,NaNa_2_(Fe^2+^_2_Fe^3+^_2_Li)Si_8_O_22_F_2_
Magnesio-fluoro-arfvedsonite,1961,NaNa<sub>2</sub>(Mg<sub>4</sub>Fe^3+^)Si<sub>8</sub>O<sub>22</sub>F<sub>2</sub>,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_
Fluoro-richterite,1963,Na(NaCa)Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>F<sub>2</sub>,Na(NaCa)Mg_5_Si_8_O_22_F_2_
Foggite,1965,CaAl(PO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,CaAlPO_4_(OH)_2_·H_2_O
Foitite,1966,[box](Fe^2+^<sub>2</sub>Al)Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH),[box](Fe^2+^_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Fontanite,1967,Ca(UO<sub>2</sub>)<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>O<sub>2</sub>·6H<sub>2</sub>O,Ca(U^6+^O_2_)_3_(CO_3_)_2_O_2_·6H_2_O
Foordite,1968,Sn^2+^Nb<sub>2</sub>O<sub>6</sub>,Sn^2+^Nb^5+^_2_O_6_
Formanite-(Y),1969,YTaO<sub>4</sub>,Y^3+^Ta^5+^O_4_
Formicaite,1970,Ca(CHOO)<sub>2</sub>,Ca(CHOO)_2_
Fornacite,1971,CuPb<sub>2</sub>(CrO<sub>4</sub>)(AsO<sub>4</sub>)(OH),Cu^2+^Pb^2+^_2_(Cr^6+^O_4_)(As^5+^O_4_)(OH)
Forsterite,1972,Mg<sub>2</sub>(SiO<sub>4</sub>),Mg_2_SiO_4_
Foshagite,1973,Ca<sub>4</sub>(SiO<sub>3</sub>)<sub>3</sub>(OH)<sub>2</sub>,Ca_4_(SiO_3_)_3_(OH)_2_
Fourmarierite,1975,Pb_1-x_O_3-2x_(UO<sub>2</sub>)<sub>4</sub>(OH)_4+2x_·4H<sub>2</sub>O,Pb^2+^_1-x_O_3-2x_(U^6+^O_2_)_4_(OH)_4+2x_·4H_2_O
Fraipontite,1976,"(Zn,Al)<sub>3</sub>(Si,Al)<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","(Zn^2+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_"
Francevillite,1977,Ba(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·5H<sub>2</sub>O,Ba(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O
Francisite,1980,Cu<sub>3</sub>Bi(Se^4+^O<sub>3</sub>)<sub>2</sub>O<sub>2</sub>Cl,Cu^2+^_3_Bi^3+^(Se^4+^O_3_)_2_O_2_Cl
Franckeite,1981,Pb<sub>21.7</sub>Sn<sub>9.3</sub>Fe<sub>4.0</sub>Sb<sub>8.1</sub>S<sub>56.9</sub>,Pb_21.7_Sn_9.3_Fe_4.0_Sb_8.1_S_56.9_
Francoanellite,1982,K<sub>3</sub>Al<sub>5</sub>(PO<sub>3</sub>OH)<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O
Francoisite-(Nd),1983,Nd(UO<sub>2</sub>)<sub>3</sub>O(OH)(PO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Nd^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O
Franconite,1984,NaNb<sub>2</sub>O<sub>5</sub>(OH)·3H<sub>2</sub>O,NaNb^5+^_2_O_5_(OH)·3H_2_O
Frankamenite,1985,"K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>Si<sub>12</sub>O<sub>30</sub>(F,OH)<sub>4</sub>·H<sub>2</sub>O","K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O"
Frankdicksonite,1986,BaF<sub>2</sub>,BaF_2_
Frankhawthorneite,1987,Cu<sub>2</sub>Te^6+^O<sub>4</sub>(OH)<sub>2</sub>,Cu^2+^_2_Te^6+^O_4_(OH)_2_
Franklinfurnaceite,1988,Ca<sub>2</sub>Mn^2+^<sub>3</sub>Mn^3+^Fe^3+^Zn<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>(OH)<sub>8</sub>,Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn^2+^_2_Si_2_O_10_(OH)_8_
Franklinite,1989,ZnFe^3+^<sub>2</sub>O<sub>4</sub>,Zn^2+^Fe^3+^_2_O_4_
Franklinphilite,1990,"(K,Na)<sub>4</sub>(Mn^2+^,Mg,Zn)<sub>48</sub>(Si,Al)<sub>72</sub>(O,OH)<sub>216</sub>·6H<sub>2</sub>O","(K,Na)_4_(Mn^2+^,Mg,Zn^2+^)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O"
Fransoletite,1991,Ca<sub>3</sub>Be<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O
Franzinite,1992,"(Na,K)<sub>30</sub>Ca<sub>10</sub>(Si<sub>30</sub>Al<sub>30</sub>)O<sub>120</sub>(SO<sub>4</sub>)<sub>10</sub>·2H<sub>2</sub>O","(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(S^6+^O_4_)_10_·2H_2_O"
Freboldite,1993,CoSe,CoSe
Fredrikssonite,1994,Mg<sub>2</sub>Mn^3+^O<sub>2</sub>(BO<sub>3</sub>),Mg_2_Mn^3+^O_2_(BO_3_)
Freedite,1995,Cu^1+^Pb<sub>8</sub>(As^3+^O<sub>3</sub>)<sub>2</sub>O<sub>3</sub>Cl<sub>5</sub>,Cu^1+^Pb^2+^_8_(As^3+^O_3_)_2_O_3_Cl_5_
Freibergite,1996,Ag<sub>6</sub>[Cu<sub>4</sub>Fe<sub>2</sub>]Sb<sub>4</sub>S<sub>12</sub>,Ag^1+^_6_[Cu^1+^_4_Fe^2+^_2_]Sb^3+^_4_S^2-^_12_
Freieslebenite,1997,AgPbSbS<sub>3</sub>,AgPbSbS_3_
Fresnoite,1998,Ba<sub>2</sub>TiO(Si<sub>2</sub>O<sub>7</sub>),Ba_2_Ti^4+^O(Si_2_O_7_)
Freudenbergite,1999,Na(Ti^4+^<sub>3</sub>Fe^3+^)O<sub>8</sub>,Na(Ti^4+^_3_Fe^3+^)O_8_
Friedelite,2000,Mn^2+^<sub>8</sub>Si<sub>6</sub>O<sub>15</sub>(OH)<sub>10</sub>,Mn^2+^_8_Si_6_O_15_(OH)_10_
Friedrichite,2001,Cu<sub>5</sub>Pb<sub>5</sub>Bi<sub>7</sub>S<sub>18</sub>,Cu_5_Pb_5_Bi_7_S_18_
Fritzscheite,2002,"Mn^2+^(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>,PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,P^5+^O_4_)_2_·4H_2_O"
Frohbergite,2003,FeTe<sub>2</sub>,FeTe_2_
Frolovite,2004,Ca[B(OH)<sub>4</sub>]<sub>2</sub>,Ca[B(OH)_4_]_2_
Frondelite,2005,(Mn^2+^<sub>0.5</sub>Fe^3+^<sub>0.5</sub>)<sub>2</sub>Fe^3+^<sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>5</sub>,(Mn^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_
Froodite,2006,PdBi<sub>2</sub>,PdBi_2_
Fukalite,2008,Ca<sub>4</sub>Si<sub>2</sub>O<sub>6</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>,Ca_4_Si_2_O_6_(CO_3_)(OH)_2_
Fukuchilite,2009,Cu<sub>3</sub>FeS<sub>8</sub>,Cu^2+^_3_Fe^2+^(S_2_)^2-^_4_
Fuloppite,2011,Pb<sub>3</sub>Sb<sub>8</sub>S<sub>15</sub>,Pb_3_Sb_8_S_15_
Furongite,2012,Al<sub>4</sub>(UO<sub>2</sub>)<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>19.5</sub>,Al_13_(U^6+^O_2_)_7_(PO_4_)_13_(OH)_14_·58H_2_O
Furutobeite,2013,"(Cu,Ag)<sub>6</sub>PbS<sub>4</sub>","(Cu,Ag)_6_PbS_4_"
Gabrielsonite,2014,PbFe^3+^(AsO<sub>3</sub>)O,Pb^2+^Fe^3+^(As^3+^O_3_)O
Gadolinite-(Ce),2015,Ce<sub>2</sub>Fe^2+^Be<sub>2</sub>O<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>,Fe^2+^Be_2_Ce^3+^_2_(SiO_4_)_2_O_2_
Gadolinite-(Y),2016,Y<sub>2</sub>Fe^2+^Be<sub>2</sub>O<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>,Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
Gagarinite-(Y),2017,NaCaYF<sub>6</sub>,NaCaY^3+^F_6_
Gageite,2018,Mn^2+^<sub>21</sub>Si<sub>8</sub>O<sub>27</sub>(OH)<sub>20</sub>,Mn^2+^_21_Si_8_O_27_(OH)_20_
Gahnite,2020,ZnAl<sub>2</sub>O<sub>4</sub>,Zn^2+^Al_2_O_4_
Gaidonnayite,2021,Na<sub>2</sub>ZrSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O,Na_2_Zr^4+^Si_3_O_9_·2H_2_O
