mineral_name,element,element_redox_mineral
Alacranite,As,NA
Alacranite,S,NA
Alamosite,Pb,2
Alamosite,Si,4
Alamosite,O,-2
Alarsite,Al,NA
Alarsite,As,5
Alarsite,O,-2
Albite,Na,1
Albite,Al,NA
Albite,Si,4
Albite,O,-2
Albrechtschraufite,Ca,2
Albrechtschraufite,Mg,2
Albrechtschraufite,U,6
Albrechtschraufite,O,-2
Albrechtschraufite,C,NA
Albrechtschraufite,F,-1
Albrechtschraufite,H,1
Alforsite,Ba,2
Alforsite,P,NA
Alforsite,O,-2
Alforsite,Cl,-1
Algodonite,Cu,NA
Algodonite,As,NA
Aliettite,Ca,2
Aliettite,Mg,2
Aliettite,Si,4
Aliettite,Al,NA
Aliettite,O,-2
Aliettite,H,1
Allanite-(Ce),Ca,2
Allanite-(Ce),Ce,NA
Allanite-(Ce),Al,NA
Allanite-(Ce),Fe,2
Allanite-(Ce),Si,4
Allanite-(Ce),O,-2
Allanite-(Ce),H,1
Allanite-(Y),Ca,2
Allanite-(Y),Y,NA
Allanite-(Y),Al,NA
Allanite-(Y),Fe,2
Allanite-(Y),Si,4
Allanite-(Y),O,-2
Allanite-(Y),H,1
Allargentum,Ag,NA
Allargentum,Sb,NA
Alleghanyite,Mn,2
Alleghanyite,Si,4
Alleghanyite,O,-2
Alleghanyite,H,1
Alloclasite,Co,3
Alloclasite,As,NA
Alloclasite,S,NA
Allophane,Al,NA
Allophane,O,-2
Allophane,Si,4
Allophane,H,1
Alluaivite,Na,1
Alluaivite,Ca,2
Alluaivite,Mn,2
Alluaivite,Ti,4
Alluaivite,Nb,5
Alluaivite,Si,4
Alluaivite,O,-2
Alluaivite,Cl,-1
Alluaivite,H,1
Alluaudite,Na,1
Alluaudite,Ca,2
Alluaudite,Mn,2
Alluaudite,Mn,2
Alluaudite,Mg,2
Alluaudite,Fe,2
Alluaudite,Fe,3
Alluaudite,P,NA
Alluaudite,O,-2
Almandine,Fe,2
Almandine,Al,NA
Almandine,Si,4
Almandine,O,-2
Alsakharovite-Zn,Na,1
Alsakharovite-Zn,Sr,2
Alsakharovite-Zn,K,1
Alsakharovite-Zn,Zn,2
Alsakharovite-Zn,Ti,4
Alsakharovite-Zn,Nb,5
Alsakharovite-Zn,Si,4
Alsakharovite-Zn,O,-2
Alsakharovite-Zn,H,1
Alstonite,Ba,2
Alstonite,Ca,2
Alstonite,C,NA
Alstonite,O,-2
Altaite,Pb,2
Altaite,Te,-2
Althausite,Mg,2
Althausite,P,NA
Althausite,O,-2
Althausite,H,1
Althausite,F,-1
Althupite,Al,NA
Althupite,Th,4
Althupite,U,6
Althupite,O,-2
Althupite,P,NA
Althupite,H,1
Altisite,Na,1
Altisite,K,1
Altisite,Ti,4
Altisite,Al,NA
Altisite,Si,4
Altisite,O,-2
