mineral_name,element,element_redox_mineral
Hejtmanite,Ti,4
Hejtmanite,Si,4
Hejtmanite,O,-2
Hejtmanite,H,1
Hejtmanite,F,-1
Heliophyllite,Pb,2
Heliophyllite,As,3
Heliophyllite,O,-2
Heliophyllite,Cl,-1
Hellandite-(Ce),Ca,2
Hellandite-(Ce),REE,NA
Hellandite-(Ce),Ce,NA
Hellandite-(Ce),Al,NA
Hellandite-(Ce),B,NA
Hellandite-(Ce),Si,4
Hellandite-(Ce),O,-2
Hellandite-(Ce),H,1
Hellandite-(Y),Ca,2
Hellandite-(Y),REE,NA
Hellandite-(Y),Y,NA
Hellandite-(Y),Al,NA
Hellandite-(Y),B,NA
Hellandite-(Y),Si,4
Hellandite-(Y),O,-2
Hellandite-(Y),H,1
Hellyerite,Ni,2
Hellyerite,C,NA
Hellyerite,O,-2
Hellyerite,H,1
Helmutwinklerite,Pb,2
Helmutwinklerite,Zn,2
Helmutwinklerite,As,5
Helmutwinklerite,O,-2
Helmutwinklerite,H,1
Helvine,Be,2
Helvine,Mn,2
Helvine,Si,4
Helvine,O,-2
Helvine,S,-2
Hematite,Fe,3
Hematite,O,-2
Hematolite,Mn,2
Hematolite,Mg,2
Hematolite,Al,NA
Hematolite,As,3
Hematolite,As,5
Hematolite,O,-2
Hematolite,H,1
Hematophanite,Pb,2
Hematophanite,Fe,3
Hematophanite,O,-2
Hematophanite,Cl,-1
Hematophanite,H,1
Hemihedrite,Zn,2
Hemihedrite,Pb,2
Hemihedrite,Cr,6
Hemihedrite,O,-2
Hemihedrite,Si,4
Hemihedrite,H,1
Hemimorphite,Zn,2
Hemimorphite,Si,4
Hemimorphite,O,-2
Hemimorphite,H,1
Hemloite,Ti,4
Hemloite,V,3
Hemloite,Fe,3
Hemloite,Al,NA
Hemloite,As,3
Hemloite,O,-2
Hemloite,H,1
Hemusite,Cu,1
Hemusite,Cu,2
Hemusite,Sn,4
Hemusite,Mo,4
Hemusite,S,-2
Heneuite,Ca,2
Heneuite,Mg,2
Heneuite,P,5
Heneuite,O,-2
Heneuite,C,NA
Heneuite,H,1
Henmilite,Ca,2
Henmilite,Cu,2
Henmilite,B,NA
Henmilite,O,-2
Henmilite,H,1
Hennomartinite,Sr,2
Hennomartinite,Mn,3
Hennomartinite,Si,4
Hennomartinite,O,-2
Hennomartinite,H,1
Henritermierite,Ca,2
Henritermierite,Mn,3
Henritermierite,Si,4
Henritermierite,O,-2
Henritermierite,H,1
Henryite,Cu,NA
Henryite,Ag,NA
Henryite,Te,NA
Henrymeyerite,Ba,2
Henrymeyerite,Ti,4
Henrymeyerite,Fe,2
Henrymeyerite,O,-2
Hentschelite,Cu,2
Hentschelite,Fe,3
Hentschelite,P,NA
Hentschelite,O,-2
Hentschelite,H,1
Hercynite,Fe,2
Hercynite,Al,NA
Hercynite,O,-2
Herderite,Ca,2
Herderite,Be,2
Herderite,P,NA
Herderite,O,-2
Herderite,F,-1
Hessite,Ag,NA
Hessite,Te,NA
Hetaerolite,Zn,2
Hetaerolite,Mn,3
Hetaerolite,O,-2
Heterogenite,Co,3
Heterogenite,O,-2
Heterogenite,H,1
Heteromorphite,Pb,NA
Heteromorphite,Sb,NA
Heteromorphite,S,NA
Heterosite,Fe,3
Heterosite,P,NA
Heterosite,O,-2
Heulandite-Ca,Ca,2
Heulandite-Ca,Na,1
Heulandite-Ca,K,1
Heulandite-Ca,Si,4
Heulandite-Ca,Al,NA
Heulandite-Ca,O,-2
Heulandite-Ca,H,1
Heulandite-K,K,1
Heulandite-K,Ca,2
Heulandite-K,Na,1
Heulandite-K,Si,4
Heulandite-K,Al,NA
Heulandite-K,O,-2
Heulandite-K,H,1
Heulandite-Na,Na,1
Heulandite-Na,Ca,2
Heulandite-Na,K,1
Heulandite-Na,Si,4
Heulandite-Na,Al,NA
Heulandite-Na,O,-2
Heulandite-Na,H,1
Heulandite-Sr,Sr,2
Heulandite-Sr,Ca,2
Heulandite-Sr,Na,1
Heulandite-Sr,Si,4
Heulandite-Sr,Al,NA
Heulandite-Sr,O,-2
Heulandite-Sr,H,1
Hewettite,Ca,2
Hewettite,V,5
Hewettite,O,-2
Hewettite,H,1
Hexahydrite,Mg,2
Hexahydrite,S,6
Hexahydrite,O,-2
Hexahydrite,H,1
Hexahydroborite,Ca,2
Hexahydroborite,B,NA
Hexahydroborite,O,-2
Hexahydroborite,H,1
Heyite,Pb,2
Heyite,Fe,2
Heyite,O,-2
Heyite,V,5
Heyrovskyite,Pb,NA
Heyrovskyite,Bi,NA
Heyrovskyite,S,NA
Hiarneite,Ca,2
Hiarneite,Mn,2
Hiarneite,Mn,3
Hiarneite,Na,1
Hiarneite,Zr,4
Hiarneite,Sb,5
Hiarneite,Ti,4
Hiarneite,Fe,3
Hiarneite,O,-2
Hibbingite,Fe,2
Hibbingite,O,-2
Hibbingite,H,1
Hibbingite,Cl,-1
Hibonite,Ca,2
Hibonite,Ce,NA
Hibonite,Al,NA
Hibonite,Ti,4
Hibonite,Ti,3
Hibonite,Mg,2
Hibonite,O,-2
Hidalgoite,Pb,2
Hidalgoite,Al,NA
Hidalgoite,S,6
Hidalgoite,O,-2
Hidalgoite,As,5
Hidalgoite,H,1
Hilairite,Na,1
Hilairite,Zr,4
Hilairite,Si,4
Hilairite,O,-2
Hilairite,H,1
Hillebrandite,Ca,2
Hillebrandite,Si,4
Hillebrandite,O,-2
Hillebrandite,H,1
Hingganite-(Y),Be,2
Hingganite-(Y),Y,3
Hingganite-(Y),Si,4
Hingganite-(Y),O,-2
Hingganite-(Y),H,1
Hingganite-(Yb),Be,2
Hingganite-(Yb),Yb,3
Hingganite-(Yb),Si,4
Hingganite-(Yb),O,-2
Hingganite-(Yb),H,1
Hinsdalite,Pb,2
Hinsdalite,Al,NA
Hinsdalite,S,6
Hinsdalite,O,-2
Hinsdalite,P,5
Hinsdalite,H,1
Hisingerite,Fe,3
Hisingerite,Si,4
Hisingerite,O,-2
Hisingerite,H,1
Hocartite,Ag,1
Hocartite,Fe,2
Hocartite,Sn,4
Hocartite,S,-2
Hochelagaite,Ca,2
Hochelagaite,Nb,5
Hochelagaite,O,-2
Hochelagaite,H,1
Hodgkinsonite,Zn,2
Hodgkinsonite,Mn,2
Hodgkinsonite,Si,4
Hodgkinsonite,O,-2
Hodgkinsonite,H,1
Hodrusite,Cu,NA
Hodrusite,Bi,NA
Hodrusite,S,NA
Hoganite,Cu,2
Hoganite,C,NA
Hoganite,H,1
Hoganite,O,-2
Hogtuvaite,Ca,2
Hogtuvaite,Fe,2
Hogtuvaite,Fe,3
Hogtuvaite,O,-2
Hogtuvaite,Si,4
Hogtuvaite,Be,2
Hogtuvaite,Al,NA
Hohmannite,Fe,3
Hohmannite,O,-2
Hohmannite,S,6
Hohmannite,H,1
Holdawayite,Mn,2
Holdawayite,C,NA
Holdawayite,O,-2
Holdawayite,H,1
Holdawayite,Cl,-1
Holdenite,Mn,2
Holdenite,Zn,2
Holdenite,As,5
Holdenite,O,-2
Holdenite,Si,4
Holdenite,H,1
Hollandite,Ba,2
Hollandite,Mn,4
Hollandite,Mn,3
Hollandite,O,-2
Hollingworthite,Rh,3
Hollingworthite,As,NA
Hollingworthite,S,NA
Holmquistite,Li,1
Holmquistite,Mg,2
Holmquistite,Al,NA
Holmquistite,Si,4
Holmquistite,O,-2
Holmquistite,H,1
Holtedahlite,Mg,2
Holtedahlite,P,NA
Holtedahlite,O,-2
Holtedahlite,H,1
Holtedahlite,C,NA
Holtite,Ta,NA
Holtite,Al,NA
Holtite,B,NA
Holtite,Si,4
Holtite,O,-2
Homilite,Ca,2
Homilite,Fe,2
Homilite,B,NA
Homilite,Si,4
Homilite,O,-2
Honessite,Ni,2
Honessite,Fe,3
Honessite,S,NA
Honessite,O,-2
Honessite,H,1
Hopeite,Zn,2
Hopeite,P,5
Hopeite,O,-2
Hopeite,H,1
Hornesite,Mg,2
Hornesite,As,5
Hornesite,O,-2
Hornesite,H,1
Horvathite-(Y),Na,1
Horvathite-(Y),Y,3
Horvathite-(Y),C,NA
Horvathite-(Y),O,-2
Horvathite-(Y),F,-1
Howlite,Ca,2
Howlite,B,NA
Howlite,Si,4
Howlite,O,-2
Howlite,H,1
Hsianghualite,Li,1
Hsianghualite,Ca,2
Hsianghualite,Be,2
Hsianghualite,Si,4
Hsianghualite,O,-2
Hsianghualite,F,-1
Huanghoite-(Ce),Ba,2
Huanghoite-(Ce),Ce,NA
Huanghoite-(Ce),C,NA
Huanghoite-(Ce),O,-2
Huanghoite-(Ce),F,-1
Huangite,Ca,2
Huangite,Al,NA
Huangite,S,6
Huangite,O,-2
Huangite,H,1
Hubnerite,Mn,2
Hubnerite,W,6
Hubnerite,O,-2
Huemulite,Na,1
Huemulite,Mg,2
Huemulite,V,5
Huemulite,O,-2
Huemulite,H,1
Hugelite,Pb,2
Hugelite,U,6
Hugelite,O,-2
Hugelite,As,5
Hugelite,H,1
Hulsite,Fe,2
Hulsite,Fe,3
Hulsite,O,-2
Hulsite,B,NA
Humboldtine,Fe,2
Humboldtine,C,NA
Humboldtine,O,-2
Humboldtine,H,1
Humite,Mg,2
Humite,Si,4
Humite,O,-2
Humite,F,-1
Humite,H,1
Hummerite,K,1
Hummerite,Mg,2
Hummerite,V,5
Hummerite,O,-2
Hummerite,H,1
Hunchunite,Au,NA
Hunchunite,Pb,NA
Hungchaoite,Mg,2
Hungchaoite,B,NA
Hungchaoite,O,-2
Hungchaoite,H,1
Huntite,Ca,2
Huntite,Mg,2
Huntite,C,NA
Huntite,O,-2
Hureaulite,Mn,2
Hureaulite,P,5
Hureaulite,P,5
Hureaulite,O,-2
Hureaulite,H,1
Hurlbutite,Ca,2
Hurlbutite,Be,2
Hurlbutite,P,NA
Hurlbutite,O,-2
Hutchinsonite,Tl,NA
Hutchinsonite,Pb,NA
Hutchinsonite,As,NA
Hutchinsonite,S,NA
Huttonite,Th,NA
Huttonite,Si,4
Huttonite,O,-2
Hyalotekite,Ba,2
Hyalotekite,Pb,2
Hyalotekite,K,1
Hyalotekite,Ca,2
Hyalotekite,Y,3
Hyalotekite,B,NA
Hyalotekite,Be,2
Hyalotekite,Si,4
Hyalotekite,O,-2
Hyalotekite,F,-1
Hydrobasaluminite,Al,NA
Hydrobasaluminite,S,6
Hydrobasaluminite,O,-2
Hydrobasaluminite,H,1
Hydrobiotite,K,1
Hydrobiotite,Mg,2
Hydrobiotite,Fe,2
Hydrobiotite,Si,4
Hydrobiotite,Al,NA
Hydrobiotite,O,-2
Hydrobiotite,H,1
Hydroboracite,Ca,2
Hydroboracite,Mg,2
Hydroboracite,B,NA
Hydroboracite,O,-2
Hydroboracite,H,1
Hydrocalumite,Ca,2
Hydrocalumite,Al,NA
Hydrocalumite,O,-2
Hydrocalumite,H,1
Hydrocalumite,Cl,-1
Hydrocalumite,C,NA
Hydrocerussite,Pb,2
Hydrocerussite,C,NA
Hydrocerussite,O,-2
Hydrocerussite,H,1
Hydrodelhayelite,K,1
Hydrodelhayelite,Ca,2
Hydrodelhayelite,Si,4
Hydrodelhayelite,Al,NA
Hydrodelhayelite,O,-2
Hydrodelhayelite,H,1
Hydrodresserite,Ba,2
Hydrodresserite,Al,NA
Hydrodresserite,C,NA
Hydrodresserite,O,-2
Hydrodresserite,H,1
Hydroglauberite,Na,1
Hydroglauberite,Ca,2
Hydroglauberite,S,6
Hydroglauberite,O,-2
Hydroglauberite,H,1
Hydrohalite,Na,1
Hydrohalite,Cl,-1
Hydrohalite,H,1
Hydrohalite,O,-2
Hydrohonessite,Ni,2
Hydrohonessite,Fe,3
Hydrohonessite,S,6
Hydrohonessite,O,-2
Hydrohonessite,H,1
Hydromagnesite,Mg,2
Hydromagnesite,C,NA
Hydromagnesite,O,-2
Hydromagnesite,H,1
Hydrombobomkulite,Ni,2
Hydrombobomkulite,Cu,2
Hydrombobomkulite,Al,NA
Hydrombobomkulite,N,5
Hydrombobomkulite,O,-2
Hydrombobomkulite,S,6
Hydrombobomkulite,H,1
Hydroniumjarosite,H,1
Hydroniumjarosite,O,-2
Hydroniumjarosite,Fe,3
Hydroniumjarosite,S,6
Hydrotalcite,Mg,2
Hydrotalcite,Al,NA
Hydrotalcite,C,NA
Hydrotalcite,O,-2
Hydrotalcite,H,1
Hydrotungstite,W,6
Hydrotungstite,O,-2
Hydrotungstite,H,1
Hydrowoodwardite,Cu,2
Hydrowoodwardite,Al,NA
Hydrowoodwardite,S,6
Hydrowoodwardite,O,-2
Hydrowoodwardite,H,1
Hydroxyapophyllite-(K),K,1
Hydroxyapophyllite-(K),Ca,2
Hydroxyapophyllite-(K),Si,4
Hydroxyapophyllite-(K),O,-2
Hydroxyapophyllite-(K),H,1
Hydroxyapophyllite-(K),F,-1
Hydroxycancrinite,Na,1
Hydroxycancrinite,Ca,2
Hydroxycancrinite,K,1
Hydroxycancrinite,Al,NA
Hydroxycancrinite,Si,4
Hydroxycancrinite,O,-2
Hydroxycancrinite,H,1
Hydroxycancrinite,C,NA
Hydroxylapatite,Ca,2
Hydroxylapatite,P,5
Hydroxylapatite,O,-2
Hydroxylapatite,H,1
Hydroxylbastnasite-(Ce),Ce,NA
Hydroxylbastnasite-(Ce),C,NA
Hydroxylbastnasite-(Ce),O,-2
Hydroxylbastnasite-(Ce),H,1
Hydroxylbastnasite-(Nd),Nd,NA
Hydroxylbastnasite-(Nd),C,NA
Hydroxylbastnasite-(Nd),O,-2
Hydroxylbastnasite-(Nd),H,1
Dansite-(Mn),Na,1
Dansite-(Mn),Mn,2
Dansite-(Mn),S,NA
Dansite-(Mn),O,-2
Dansite-(Mn),Cl,-1
Hydroxylclinohumite,Mg,2
Hydroxylclinohumite,Si,4
Hydroxylclinohumite,O,-2
Hydroxylclinohumite,H,1
Hydroxylellestadite,Ca,2
Hydroxylellestadite,Si,4
Hydroxylellestadite,O,-2
Hydroxylellestadite,S,NA
Hydroxylellestadite,H,1
Hydroxylherderite,Ca,2
Hydroxylherderite,Be,2
Hydroxylherderite,P,5
Hydroxylherderite,O,-2
Hydroxylherderite,H,1
Hydrozincite,Zn,2
Hydrozincite,C,NA
Hydrozincite,O,-2
Hydrozincite,H,1
Hypercinnabar,Hg,NA
Hypercinnabar,S,NA
Hyttsjoite,Pb,NA
Hyttsjoite,Ba,2
Hyttsjoite,Ca,2
Hyttsjoite,Mn,2
Hyttsjoite,Fe,3
Hyttsjoite,Si,4
Hyttsjoite,O,-2
Hyttsjoite,Cl,-1
Hyttsjoite,H,1
Ianthinite,U,4
Ianthinite,U,6
Ianthinite,O,-2
Ianthinite,H,1
Ice,H,1
Ice,O,-2
Idaite,Cu,NA
Idaite,Fe,NA
Idaite,S,-2
Idrialite,C,NA
Idrialite,H,1
Iimoriite-(Y),Y,3
Iimoriite-(Y),Si,4
Iimoriite-(Y),O,-2
Iimoriite-(Y),C,NA
Ikaite,Ca,2
Ikaite,C,NA
Ikaite,O,-2
Ikaite,H,1
Ikranite,Na,1
Ikranite,H,1
Ikranite,O,-2
Ikranite,Ca,2
Ikranite,Mn,2
Ikranite,REE,NA
Ikranite,Fe,3
Ikranite,Zr,4
Ikranite,Si,4
Ikranite,Cl,-1
Ikunolite,Bi,NA
Ikunolite,S,NA
Ilesite,Mn,2
Ilesite,S,6
Ilesite,O,-2
Ilesite,H,1
Ilinskite,Na,1
Ilinskite,Cu,2
Ilinskite,O,-2
Ilinskite,Se,4
Ilinskite,Cl,-1
Ilmenite,Fe,2
Ilmenite,Ti,4
Ilmenite,O,-2
Iltisite,Hg,NA
Iltisite,Ag,NA
Iltisite,S,NA
Iltisite,Cl,-1
Ilvaite,Ca,2
Ilvaite,Fe,2
Ilvaite,Fe,3
Ilvaite,O,-2
Ilvaite,Si,4
Ilvaite,H,1
Slavkovite,Cu,2
Slavkovite,As,5
Slavkovite,As,5
Slavkovite,O,-2
Slavkovite,H,1
Imandrite,Na,1
Imandrite,Ca,2
Imandrite,Fe,3
Imandrite,Si,4
Imandrite,O,-2
Imhofite,Tl,NA
Imhofite,As,NA
Imhofite,S,NA
Imiterite,Ag,NA
Imiterite,Hg,NA
Imiterite,S,NA
Imogolite,Al,NA
Imogolite,Si,4
Imogolite,O,-2
Imogolite,H,1
Inaglyite,Pb,NA
Inaglyite,Cu,NA
Inaglyite,Ir,NA
Inaglyite,S,NA
Inderite,Mg,2
Inderite,B,NA
Inderite,O,-2
Inderite,H,1
Indialite,Mg,2
Indialite,Al,NA
Indialite,Si,4
Indialite,O,-2
Indigirite,Mg,2
Indigirite,Al,NA
Indigirite,C,NA
Indigirite,O,-2
Indigirite,H,1
Indium,In,NA
Inesite,Ca,2
Inesite,Mn,2
Inesite,Si,4
Inesite,O,-2
Inesite,H,1
Ingersonite,Ca,2
Ingersonite,Mn,2
Ingersonite,Sb,5
Ingersonite,O,-2
Ingodite,Bi,NA
Ingodite,Te,NA
Ingodite,S,NA
Innelite,Ba,2
Innelite,Ti,4
Innelite,Ti,4
Innelite,Na,1
Innelite,Ca,2
Innelite,Si,4
Innelite,O,-2
Innelite,S,6
Innelite,P,5
Innelite,H,1
Insizwaite,Pt,NA
Insizwaite,Bi,NA
Intersilite,Na,1
Intersilite,Mn,2
Intersilite,Ti,4
Intersilite,Nb,5
Intersilite,Si,4
Intersilite,O,-2
Intersilite,H,1
Inyoite,Ca,2
Inyoite,B,NA
Inyoite,O,-2
Inyoite,H,1
Iodargyrite,Ag,1
Iodargyrite,I,-1
Iowaite,Mg,2
Iowaite,Fe,3
Iowaite,O,-2
Iowaite,H,1
Iowaite,Cl,-1
Iquiqueite,K,1
Iquiqueite,Na,1
Iquiqueite,Mg,2
Iquiqueite,Cr,6
Iquiqueite,O,-2
Iquiqueite,B,NA
Iquiqueite,H,1
Iranite,Pb,2
Iranite,Cu,2
Iranite,Cr,6
Iranite,O,-2
Iranite,Si,4
Iranite,H,1
Irarsite,Ir,3
Irarsite,As,NA
Irarsite,S,NA
Irhtemite,Ca,2
Irhtemite,Mg,2
Irhtemite,As,5
Irhtemite,As,5
Irhtemite,O,-2
Irhtemite,H,1
Iridarsenite,Ir,NA
Iridarsenite,As,NA
Iridium,Ir,NA
Iriginite,U,6
Iriginite,O,-2
Iriginite,Mo,6
Iriginite,H,1
Iron,Fe,NA
Irtyshite,Na,1
Irtyshite,Ta,5
Irtyshite,O,-2
Isocubanite,Cu,1
Isocubanite,Fe,2
Isocubanite,Fe,3
Isocubanite,S,-2
Isoferroplatinum,Pt,NA
Isoferroplatinum,Fe,NA
Isokite,Ca,2
Isokite,Mg,2
Isokite,P,5
Isokite,O,-2
Isokite,F,-1
Isolueshite,Na,1
Isolueshite,Nb,5
Isolueshite,O,-2
Isomertieite,Pd,NA
Isomertieite,Sb,NA
Isomertieite,As,NA
Isovite,Cr,NA
Isovite,Fe,NA
Isovite,C,NA
Itoite,Pb,2
Itoite,Ge,NA
Itoite,O,-2
Itoite,S,6
Itoite,H,1
Ixiolite,Ta,5
Ixiolite,Mn,2
Ixiolite,Nb,5
Ixiolite,O,-2
Izoklakeite,Pb,NA
Izoklakeite,Cu,NA
Izoklakeite,Fe,NA
Izoklakeite,Sb,NA
Izoklakeite,Bi,NA
Izoklakeite,S,NA
Jachymovite,U,6
Jachymovite,O,-2
Jachymovite,S,6
Jachymovite,H,1
Jacobsite,Mn,2
Jacobsite,Fe,3
Jacobsite,O,-2
Jadeite,Na,1
Jadeite,Al,NA
Jadeite,Si,4
Jadeite,O,-2
Jaffeite,Ca,2
Jaffeite,Si,4
Jaffeite,O,-2
Jaffeite,H,1
Jagoite,Pb,2
Jagoite,Pb,2
Jagoite,Fe,3
Jagoite,Fe,3
Jagoite,Fe,3
Jagoite,Si,4
Jagoite,O,-2
Jagoite,Cl,-1
Jahnsite-(CaMnFe),Ca,2
Jahnsite-(CaMnFe),Mn,2
Jahnsite-(CaMnFe),Fe,2
Jahnsite-(CaMnFe),Fe,3
Jahnsite-(CaMnFe),P,5
Jahnsite-(CaMnFe),O,-2
Jahnsite-(CaMnFe),H,1
Jahnsite-(CaMnMg),Ca,2
Jahnsite-(CaMnMg),Mn,2
Jahnsite-(CaMnMg),Mg,2
Jahnsite-(CaMnMg),Fe,3
Jahnsite-(CaMnMg),P,5
Jahnsite-(CaMnMg),O,-2
Jahnsite-(CaMnMg),H,1
Jahnsite-(CaMnMn),Ca,2
Jahnsite-(CaMnMn),Mn,2
Jahnsite-(CaMnMn),Mn,2
Jahnsite-(CaMnMn),Fe,3
Jahnsite-(CaMnMn),P,5
Jahnsite-(CaMnMn),O,-2
Jahnsite-(CaMnMn),H,1
Jahnsite-(MnMnMn),Mn,2
Jahnsite-(MnMnMn),Mn,2
Jahnsite-(MnMnMn),Mn,2
Jahnsite-(MnMnMn),Fe,3
Jahnsite-(MnMnMn),P,5
Jahnsite-(MnMnMn),O,-2
Jahnsite-(MnMnMn),H,1
Jalpaite,Ag,1
Jalpaite,Cu,1
Jalpaite,S,-2
Jamborite,Ni,2
Jamborite,Co,3
Jamborite,O,-2
Jamborite,H,1
Jamborite,S,6
Jamesite,Pb,2
Jamesite,Zn,2
Jamesite,Zn,2
Jamesite,Fe,3
Jamesite,Fe,3
Jamesite,As,5
Jamesite,O,-2
Jamesite,H,1
Jamesonite,Pb,2
Jamesonite,Fe,2
Jamesonite,Sb,3
Jamesonite,S,-2
Janggunite,Mn,4
Janggunite,Mn,2
Janggunite,Fe,3
Janggunite,O,-2
Janggunite,H,1
Janhaugite,Na,1
Janhaugite,Mn,2
Janhaugite,Ti,4
Janhaugite,Si,4
Janhaugite,O,-2
Janhaugite,H,1
Janhaugite,F,-1
Jankovicite,Tl,NA
Jankovicite,Sb,NA
Jankovicite,As,NA
Jankovicite,S,NA
Jarlite,Na,1
Jarlite,Sr,2
Jarlite,Mg,2
Jarlite,Al,NA
Jarlite,F,-1
Jarlite,O,-2
Jarlite,H,1
Jarosewichite,Mn,3
Jarosewichite,Mn,2
Jarosewichite,As,5
Jarosewichite,O,-2
Jarosewichite,H,1
Jarosite,K,1
Jarosite,Fe,3
Jarosite,S,6
Jarosite,O,-2
Jarosite,H,1
Jaskolskiite,Cu,NA
Jaskolskiite,Pb,NA
Jaskolskiite,Sb,NA
Jaskolskiite,Bi,NA
Jaskolskiite,S,NA
Jasmundite,Ca,2
Jasmundite,O,-2
Jasmundite,Si,4
Jasmundite,S,-2
Jeanbandyite,Fe,3
Jeanbandyite,Sn,4
Jeanbandyite,O,-2
Jeanbandyite,H,1
Jedwabite,Fe,NA
Jedwabite,Ta,NA
Jeffreyite,Ca,2
Jeffreyite,Na,1
Jeffreyite,Be,2
Jeffreyite,Al,NA
Jeffreyite,Si,4
Jeffreyite,O,-2
Jeffreyite,H,1
Jennite,Ca,2
Jennite,Si,4
Jennite,O,-2
Jennite,H,1
Jensenite,Cu,2
Jensenite,Te,6
Jensenite,O,-2
Jensenite,H,1
Jentschite,Tl,NA
Jentschite,Pb,NA
Jentschite,As,NA
Jentschite,Sb,NA
Jentschite,S,NA
Jeppeite,K,1
Jeppeite,Ba,2
Jeppeite,Ti,4
Jeppeite,Fe,3
Jeppeite,O,-2
Jeremejevite,Al,NA
Jeremejevite,B,NA
Jeremejevite,O,-2
Jeremejevite,F,-1
Jerrygibbsite,Mn,2
Jerrygibbsite,Si,4
Jerrygibbsite,O,-2
Jerrygibbsite,H,1
Jervisite,Na,1
Jervisite,Sc,3
Jervisite,Si,4
Jervisite,O,-2
Jianshuiite,Mg,2
Jianshuiite,Mn,4
Jianshuiite,O,-2
Jianshuiite,H,1
Jimboite,Mn,2
Jimboite,B,NA
Jimboite,O,-2
Jimthompsonite,Mg,2
Jimthompsonite,Si,4
Jimthompsonite,O,-2
Jimthompsonite,H,1
Jinshajiangite,Ba,2
Jinshajiangite,Na,1
Jinshajiangite,Fe,2
Jinshajiangite,Ti,4
Jinshajiangite,Si,4
Jinshajiangite,O,-2
Jinshajiangite,H,1
Jinshajiangite,F,-1
Joaquinite-(Ce),Na,1
Joaquinite-(Ce),Ba,2
Joaquinite-(Ce),Fe,2
Joaquinite-(Ce),Ti,4
Joaquinite-(Ce),Ce,3
Joaquinite-(Ce),Si,4
Joaquinite-(Ce),O,-2
Joaquinite-(Ce),H,1
Joesmithite,Pb,2
Joesmithite,Ca,2
Joesmithite,Mg,2
Joesmithite,Fe,3
Joesmithite,Si,4
Joesmithite,Be,2
Joesmithite,O,-2
Joesmithite,H,1
Johachidolite,Ca,2
Johachidolite,Al,NA
Johachidolite,B,NA
Johachidolite,O,-2
Johannite,Cu,2
Johannite,U,6
Johannite,O,-2
Johannite,S,6
Johannite,H,1
Johannsenite,Ca,2
Johannsenite,Mn,2
Johannsenite,Si,4
Johannsenite,O,-2
Johillerite,Na,1
Johillerite,Cu,2
Johillerite,Mg,2
Johillerite,As,5
Johillerite,O,-2
Johnbaumite,Ca,2
Johnbaumite,As,5
Johnbaumite,O,-2
Johnbaumite,H,1
Johninnesite,Na,1
Johninnesite,Mn,2
Johninnesite,Mg,2
Johninnesite,As,5
Johninnesite,O,-2
Johninnesite,Si,4
Johninnesite,H,1
Johnsomervilleite,Na,1
Johnsomervilleite,Ca,2
Johnsomervilleite,Mg,2
Johnsomervilleite,Fe,2
Johnsomervilleite,P,NA
Johnsomervilleite,O,-2
Jokokuite,Mn,2
Jokokuite,S,6
Jokokuite,O,-2
Jokokuite,H,1
Jolliffeite,Ni,NA
Jolliffeite,As,NA
Jolliffeite,Se,NA
Jonesite,K,1
Jonesite,Ba,2
Jonesite,Ti,4
Jonesite,Si,4
Jonesite,Al,NA
Jonesite,O,-2
Jonesite,H,1
Jordanite,Pb,2
Jordanite,As,3
Jordanite,Sb,3
Jordanite,S,-2
Jordisite,Mo,4
Jordisite,S,-2
Jorgensenite,Na,1
Jorgensenite,Sr,2
Jorgensenite,Al,NA
Jorgensenite,F,-1
Jorgensenite,O,-2
Jorgensenite,H,1
Joseite-A,Bi,NA
Joseite-A,Te,NA
Joseite-A,S,NA
Joseite-B,Bi,NA
Joseite-B,Te,NA
Joseite-B,S,NA
Jouravskite,Ca,2
Jouravskite,Mn,4
Jouravskite,S,6
Jouravskite,O,-2
Jouravskite,C,4
Jouravskite,H,1
Juabite,Ca,2
Juabite,Cu,2
Juabite,Te,4
Juabite,O,-2
Juabite,As,5
Juabite,H,1
Juanitaite,Cu,2
Juanitaite,Ca,2
Juanitaite,Fe,2
Juanitaite,Bi,3
Juanitaite,As,5
Juanitaite,O,-2
Juanitaite,H,1
Jungite,Ca,2
Jungite,Zn,NA
Jungite,Fe,3
Jungite,P,5
Jungite,O,-2
Jungite,H,1
Junitoite,Ca,2
Junitoite,Zn,2
Junitoite,Si,4
Junitoite,O,-2
Junitoite,H,1
Junoite,Cu,NA
Junoite,Pb,NA
Junoite,Bi,NA
Junoite,S,NA
Junoite,Se,NA
Juonniite,Ca,2
Juonniite,Mg,2
Juonniite,Sc,3
Juonniite,P,5
Juonniite,O,-2
Juonniite,H,1
Jurbanite,Al,NA
Jurbanite,S,6
Jurbanite,O,-2
Jurbanite,H,1
Kaatialaite,Fe,3
Kaatialaite,H,1
Kaatialaite,As,5
Kaatialaite,O,-2
Kadyrelite,Hg,1
Kadyrelite,O,-2
Kadyrelite,Br,NA
Kadyrelite,H,1
Kaersutite,Na,1
Kaersutite,Ca,2
Kaersutite,Mg,2
Kaersutite,Al,NA
Kaersutite,Ti,4
Kaersutite,Si,4
Kaersutite,O,-2
Kahlerite,Fe,2
Kahlerite,U,6
Kahlerite,O,-2
Kahlerite,As,5
Kahlerite,H,1
Kainite,K,1
Kainite,Mg,2
Kainite,S,6
Kainite,O,-2
Kainite,Cl,-1
Kainite,H,1
Kainosite-(Y),Ca,2
Kainosite-(Y),Y,NA
Kainosite-(Y),Si,4
Kainosite-(Y),O,-2
